"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Commune de Bonnoeuvre","Extension d'un réseau de chaleurvers une école à Bonnoeuvre",48745.91,14623.78,"FEDER ","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / ANCENIS / SAINT-MARS-LA-JAILLE / BONNOEUVRE","Programme opérationnel FEDER - 2007/2013","41","Energie renouvelable: biomasse"
"commune de Distré","Consolidation d'anciennes caves viticoles",58645,14661,"FEDER ","PAYS DE LA LOIRE","MAINE-ET-LOIRE / SAUMUR / SAUMUR-SUD / DISTRE","Programme opérationnel FEDER - 2007/2013","53","Prévention des risques (...)"
"Commune de Lassay-Les-Châteaux","FEDER - Installation d'une chaufferie au bois déchiqueté pour les salles multifonction, ommnisport et la piscine à Lassay-les-Châteaux",162818.61,48845.58,"FEDER ","PAYS DE LA LOIRE","MAYENNE / MAYENNE / LASSAY-LES-CHATEAUX / LASSAY-LES-CHATEAUX","Programme opérationnel FEDER - 2007/2013","41","Energie renouvelable: biomasse"
"Commune de Laval","FEDER - Aménagement d'un city stade dans le quartier des Fourches",41791.74,10447.94,"FEDER ","PAYS DE LA LOIRE","MAYENNE / LAVAL / LAVAL / LAVAL","Programme opérationnel FEDER - 2007/2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"Commune de Laval","FEDER - Quartier des Fourches - Rénovation du gymnase Constant Laisis",88376.94,22094.23,"FEDER ","PAYS DE LA LOIRE","MAYENNE / LAVAL / LAVAL / LAVAL","Programme opérationnel FEDER - 2007/2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"conseil dans les domaines de l'architecture, de l'urbanisme, de l'environnement et des paysages","Architecture et urbanisme durables- Voyage à Fribourg pour les élus et les agents de collectivités de la Loire-Atlantique",40225.29,12067.65,"FEDER ","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel FEDER - 2007/2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CONSEIL GENERAL DE LA MAYENNE","FEDER - Acquisition de la BD ORTHO IGN 2006 sur le département de la Mayenne",59500,14875,"FEDER ","PAYS DE LA LOIRE","MAYENNE","Programme opérationnel FEDER - 2007/2013","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"CONSEIL GENERAL DE LA MAYENNE","FEDER - Création d'un centre d'interprétation de l'architecture et du patrimoine au château de Ste Suzanne",1405985.59,351496,"FEDER ","PAYS DE LA LOIRE","MAYENNE / LAVAL / SAINTE-SUZANNE / SAINTE-SUZANNE","Programme opérationnel FEDER - 2007/2013","58","Protection et préservation du patrimoine culturel"
"CONSEIL GENERAL DE LA MAYENNE","FEDER - Réalisation d'une caractérisation des ordures ménagères suivant la méthode MODECOM",54752.88,16426,"FEDER ","PAYS DE LA LOIRE","Multilocalisation","Programme opérationnel FEDER - 2007/2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CONSEIL GENERAL DE LA MAYENNE","FEDER - Réalisation d'un plan de communication sur la prévention des déchets",22365.2,6709.56,"FEDER ","PAYS DE LA LOIRE","MAYENNE","Programme opérationnel FEDER - 2007/2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CONSEIL GENERAL DE LA SARTHE","Acquisition d'une BD Ortho",67979,16994.75,"FEDER ","PAYS DE LA LOIRE","SARTHE","Programme opérationnel FEDER - 2007/2013","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"CONSEIL GENERAL DE LA SARTHE","Animation de réseaux des structures d'insertion 2008",25100,12550,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA SARTHE","Animation de réseaux des structures d'insertion 2009",25100,12550,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL GENERAL DE LA SARTHE","Assistance à maîtrise d'ouvrage pour projets numériques",45926.4,0,"FEDER ","PAYS DE LA LOIRE","SARTHE","Programme opérationnel FEDER - 2007/2013","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"CONSEIL GENERAL DE LA SARTHE","Assistance technique 2007",21000,10500,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"CONSEIL GENERAL DE LA SARTHE","Assistance technique 2008",25100,12550,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"CONSEIL GENERAL DE LA SARTHE","Assistance technique 2009",25100,12550,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"CONSEIL GENERAL DE LA SARTHE","Modernisation du barrage de Foulon",428975.3,107243.83,"FEDER ","PAYS DE LA LOIRE","SARTHE / MAMERS / FERTE-BERNARD / LA FERTE-BERNARD","Programme opérationnel FEDER - 2007/2013","53","Prévention des risques (...)"
"CONSEIL GENERAL DE LA SARTHE","Modernisation du barrage de Saint Georges",2000000,500000,"FEDER ","PAYS DE LA LOIRE","SARTHE / LE MANS / MANS / LE MANS","Programme opérationnel FEDER - 2007/2013","53","Prévention des risques (...)"
