"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ASSOCIATION DEVELOPPEMENT FORET ET INDUSTRIES DU BOIS EN FC (ADIB)","AMEUBLEMENT 2009","255,000 €","89,819 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ASSOCIATION EFOR39","Création d'une épicerie multi services à Port Lesney","103,083 €","31,797 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"ASSOCIATION EUROPE EN FRANCHE-COMTE","Stand Europe à la foire comtoise 2010","8,383 €","4,191 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"86","Evaluation et études; information et communication"
"ASSOCIATION EUROPE EN FRANCHE-COMTE","Stand  Programmes européens FEDER-FSE  au Trophées CGPME le 19 septembre 2008","5,980 €","5,980 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"86","Evaluation et études; information et communication"
"Association Juratic","Sensibiliser et accompagner les entreprises aux usages des TIC","213,895 €","85,558 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"ASSOCIATION LUNETIERE TECHNOLOGIQUE (ALUTEC)","PROGRAMME DE DEVELOPPEMENT TECHNOLOGIQUE DE LA LUNETTERIE 2007/2009","1,134,000 €","436,597 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Montbéliardaise d'aide aux travailleurs (A.MA.T)","Programme de démolition du foyer de mandeure","381,443 €","133,505 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"ASSOCIATION POLE VEHICULE DU FUTUR","LES CLES DE LA PERFORMANCE","566,587 €","182,295 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ASSOCIATION POUR LA FORMATION D'APPRENTIS DE L'INDUSTRIE","Evolution du plateau technique en usinage commande numérique","248,768 €","124,384 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ASSOCIATION POUR LA FORMATION PROFESSIONELLE DES ADULTES (AFPA)","Création d'un plateau technique cuisine et restaurant pédagogique AFPA Besançon","881,378 €","440,689 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION POUR LA FORMATION PROFESSIONELLE DES ADULTES (AFPA)","extension centre AFPA Vesoul","638,415 €","191,524 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION POUR LE DEVELOPPEMENT DES INDUSTRIES DU BOIS (ADIB) ","Actions collectives de développement des scieries","42,042 €","12,247 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ASSOCIATION POUR LE DEVELOPPEMENT DES INDUSTRIES DU BOIS (ADIB) ","Actions collectives en faveur de la construction bois, menuiserie, charpente en franche-Comté - programme 2009/2010","270,700 €","134,385 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
