"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"DSI","SAGE EDITIONS PILOTEES",1063,425.2,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","SAGE ORGANISER GERER LA PAIE",1972,788.8,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","SENSIBILISATION AUX HANDICAPS",8161,3264.4,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","SST RECYCLAGE",493,197.2,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","WORD NIVEAU 1",3263,1305.2,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DSI","WORD PUBLIPOSTAGE",1186,474.4,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DURAND Rémi","MODERNISATION DU CAMPING LES CALQUIERES",86199,12929,"FEDER ","MIDI-PYRENEES","AVEYRON / MILLAU / SEVERAC-LE-CHATEAU","FEDER Compétitivité Régionale et Emploi","57","Autres outils d'amélioration des services touristiques"
"DUTEIL ARNAUNE S.A.","Projet investissement 2007-2010",1000000,75000,"FEDER ","MIDI-PYRENEES","HAUTES-PYRENEES / BAGNERES-DE-BIGORRE / BAGNERES-DE-BIGORRE / BAGNERES-DE-BIGORRE / RESTE DE LA COMMUNE","FEDER Compétitivité Régionale et Emploi","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"DYN'R","Contrat d'appui TPE",327520,40375,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / MURET / MURET / MURET","FEDER Compétitivité Régionale et Emploi","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"EADS France (European Aeronautic Defense and Space company) ","FOUDRE",3321949,750000,"FEDER ","MIDI-PYRENEES",,"FEDER Compétitivité Régionale et Emploi","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"EBM WEBSOURCING","PROJET ISTA3 - AAP6",663380,149260,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE-9E / RAMONVILLE-SAINT-AGNE","FEDER Compétitivité Régionale et Emploi","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"Ecole des Métiers - C.F.A. de Tarn et Garonne","DEVELOPPEMENT QUALITATIF 2008",37327.29,16797.28,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN-ET-GARONNE / MONTAUBAN / MONTAUBAN / MONTAUBAN","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Ecole des Métiers - C.F.A. de Tarn et Garonne","DEVELOPPEMENT QUALITATIF 2009 DE L'ECOLE DES METIERS DU TARN ET GARONNE",104908.75,47208.94,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Ecole des Métiers du Lot","DEVELOPPEMENT QUALITATIF 2008",12280,5526,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","LOT / CAHORS / CAHORS / CAHORS","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Ecole Nationale Vétérinaire de Toulouse (ENVT)","Plateforme en infectiologie animale",5000000,1210000,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE","FEDER Compétitivité Régionale et Emploi","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Ecole Nationale Vétérinaire de Toulouse (ENVT)","Plates-formes de recherche cliniques de l'Ecole Nationale Vétérinaire de Toulouse",4800000,1125000,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE / TOULOUSE / RESTE DE LA COMMUNE","FEDER Compétitivité Régionale et Emploi","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Ecole Régionale de la Deuxième Chance","ECOLE DE LA DEUXIEME CHANCE",1485500,500000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE / TOULOUSE","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Ecole Régionale de la Deuxième Chance","Ecole de la Deuxième Chance",1593316,500000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE / TOULOUSE","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Ecole Supérieure dAgriculture de Purpan","Inventaire et évaluation des forêts pyrénéennes anciennes de Midi-Pyrénées",247437,123719,"FEDER ","MIDI-PYRENEES","Multilocalisation","FEDER Compétitivité Régionale et Emploi","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Ecole Supérieure dAgriculture de Purpan","recensement des habitats du pique prune et son cortège faunistique",55039,27519,"FEDER ","MIDI-PYRENEES","Multilocalisation","FEDER Compétitivité Régionale et Emploi","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"EDICAD","PROJET COLLECTIF PASSEPORT FORMATION 2007",15486,6968.7,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","LOT / CAHORS / CAHORS / CAHORS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"EFI BATIMENT","Aide aux postes d'insertion en entreprise d'insertion",67767,29043,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"EFI BATIMENT","Aide aux postes d'insertion en entreprise d'insertion",77448,29043,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"EFI BATIMENT","AMELIORER LES PARCOURS D'INSERTION DES PUBLICS ACCOMPAGNES",12423.74,5590.68,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"EFI BATIMENT","Plan de professionnalisation par le bâtiment dans le Pays du Couserans- Ariège",99800,49900,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"EGALITERE","SOUTIEN ET DEVELOPPEMENT DE L'ENTREPRENARIAT DES FEMMES",33900,10000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"EMBALLAGES CARTONNAGES OCCITANS (ECO)","CONTRAT D'APPUI TPE",514400,40000,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / MURET / SAINT-LYS / FONTENILLES","FEDER Compétitivité Régionale et Emploi","8","Autres investissements en entreprises"
"EMMAUS INSERT","CHANTIER D'INSERTION  REPARATION ET VENTE ELECTROMENAGER  2007",41750,16500,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / ALBI / ALBI / ALBI / 101","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"EMMAUS INSERT","CHANTIER D'INSERTION  REPARATION ET VENTE ELECTROMENAGER  2008",65000,36000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / ALBI / ALBI / ALBI / 101","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ENERGIE M4","Accompagnement de personnes en difficulté d'insertion sociale et professionnelle",45773,16043,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","GERS / MIRANDE / MARCIAC","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ENERGIE M4","Suivi et accompagnement vers l'emploi",17000,7000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","GERS / MIRANDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
