"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Association pour le Développement de l'Echangeur Régional","2ème observatoire de dématérialisation en Basse-Normandie","33,285 €","13,314 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"Association pour le Développement de l'Echangeur Régional","Dém@tech - 4ème forum de Dématérialisation","63,014 €","18,904 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Association Régionale Biomasse Normandie","Animation d'un Espace Info Energie 2009","115,303 €","67,496 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Association Régionale Biomasse Normandie","Animation volet bois 2008.","169,426 €","50,541 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Association Régionale Biomasse Normandie","Animation volet bois 2009","167,672 €","49,138 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Association Régionale Biomasse Normandie","Espace Info-Energie 2008","119,597 €","35,879 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Association Régionale de l'Industrie Automobile (ARIA)","Programme pour la Compétitivité de l'Automobile en Région (PROCAR)","306,353 €","122,541 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"BAGSTER","Faisabilité sur une modélisation de prototypes dans le cadre d'un atelier d'échantillonage textile impliquant le recrutement d'un ingénieur modéliste.","86,382 €","40,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"BARRAIN SARL","COMPOLIGNE","319,385 €","205,184 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"BMP","Faisabilité pour la conception et le développement de prototypes et produits propres dans le secteur de la chaudronnerie plastique, impliquant le recrutement d'un ingénieur.","74,550 €","37,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Centre des Technologies Nouvelles","Centre de ressources pour l'animation du réseau des Espaces Publics Numériques de Basse Normandie","660,000 €","260,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"12","Technologies de l'information et la communication (RTE-TIC)"
"Centre des Technologies Nouvelles","Plateforme de services d'information pour les entreprises du secteur  Document Numérique  en BN","117,268 €","50,687 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
