"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Chargée de projet relation entreprises",28500,28500,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Chargée de projet relation entreprises 2008",56153,56153,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Structure d'animation du PLIE 2008",201183.8,150902.7,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Structure d'animation du PLIE de l'Agglomération Limoges Métropole",89118,33476.85,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Structure de Gestion du PLIE 2008",53553.2,22688.3,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Structure de Gestion du PLIE de l'Agglomération Limoges Métropole",26776,11344.15,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"Association Plan Local pour l'Insertion et l'Emploi de l'Agglomération Limoges Métropole","Subvention globale PLIE de l'agglomération Limoges Métropole",6114538.9,2668372.9,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Association pour le développement et la promotion du Pôle Européen de la Céramique","Animation du Pôle de compétitivité Céramique - 2009",548442,245000,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES / LIMOGES CANTON DU PALAIS-SUR-VIENNE","Compétitivité régionale - FEDER - Limousin","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Association pour le développement et la promotion du Pôle Européen de la Céramique","Etude de faisabilité d'une plate-forme d'innovation commune au Pôle européen de la céramique et au pôle Elopsys",23900,11950,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association pour l'Innovation, l'Insertion et l'Accompagnement en Limousin","Accompagnement individualisé des bénéficiaires du RMI non salariés agricoles",29600,14800,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
