"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ASSOCIATION GESTIONNAIRE DU CFA INTERPROFESSIONNEL DE L'AUBE","CFA INTERPRO 10 - Mesures qualite apprentissage 2008",566255,209514,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ASSOCIATION GESTIONNAIRE DU CFA INTERPROFESSIONNEL DE L'AUBE","Mesures qualité apprentissage 2007 CFA Interpro 10",437127,174850,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ASSOCIATION NATIONALE POUR LA FORMATION AUTOMOBILE (ANFA)","EDEC branche des services de l'AUTOMOBILE",450890,90220,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION P2MI","Structuration du pôle P2MI - phase 2",342561.48,164611,"FEDER ","CHAMPAGNE-ARDENNE","ARDENNES","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association pour l'Accueil des Sans LOgis","Aide à l'encadrement en atelier et chantier d'insertion permanent",232000,104400,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / SAINT-DIZIER / SAINT-DIZIER / SAINT-DIZIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association pour l'Accueil des Sans LOgis","Atelier Chantier d'Insertion",230000,115000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / SAINT-DIZIER / SAINT-DIZIER / SAINT-DIZIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association pour la Rencontre et l'Insertion par le Travail","A.B.I. 52",30454,15227,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association pour la Rencontre et l'Insertion par le Travail","Aide à l'encadrement en atelier et chantier d'insertion permanent",39500,17775,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE / SAINT-DIZIER / SAINT-DIZIER / SAINT-DIZIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association pour le développement du Viroquois  centre socio-culturel intercommunal Le Lien ","Mobilisation des contrats aidés dans le cadre des ateliers et chantiers d'insertion",100000,,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES / CHARLEVILLE-MEZIERES / GIVET / VIREUX-WALLERAND","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE - ADIE","DEVELOPPEMENT DU MICROCREDIT EN CHAMPAGNE-ARDENNE",300000,150000,"FEDER ","CHAMPAGNE-ARDENNE",,"PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","8","Autres investissements en entreprises"
"ASSOCIATION POUR LE PLIE DE L'AGGLOMERATION DE CHARLEVILLE MEZIERES (APAC)"," Animation du dispositif PLIE ",242850,53565,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
