"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Brevet de Technicien Supérieur Agricole (BTSA). Développement de l'agriculture et des Régions Chaudes (DARC).",199403,149552,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / MACOURIA / MACOURIA","PO FSE GUYANE",,
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Brevet professionnel de Responsable d'Exploitation Agricole",130000,97500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Brevet Professionnelle Responsable d'Exploitation Agricole",130000,97500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat d'Aptitude Professionnelle Agricole Option   Productions horticoles  ",110000,82500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat d'Aptitude Professionnelle Agricole Option  Service en milieu Rural ",130000,97500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat de spécialisation en tourisme vert et accueil du public",50000,37500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat de spécialisation Production, transformation et commercialisation des Produits fermiers.",70357,52768,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / MACOURIA / MACOURIA","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Session préparatoire au certificat de spécialisation   tracteurs et machines agricoles : utilisation et maintenance (LOT 4)",67283,50462,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Centre de Langues","CICEB de Cayenne WAKAPOU 2009",222717,120470,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"Centre de Langues","PREFOB Centre de Langues année 2007-CICEB 1 de Cayenne  ",73500,23362,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"Centre de Langues","PREFOB Centre de Langues année 2008 - CICEB Wacapou 2008",198500,114500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"CENTRE EST GUYANE INITIATIVE","Appui à la réalisation de projet de création et reprise d'entreprises 2008 - CEGI",130310,64500,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE",,
"CENTRE GUYANE INITIATIVE (C.G.I)","Plateforme d'Initiative Locale CGI 2007 - appui, accompagnement et conseils aux créateurs d'entrepri",171379,85689,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / KOUROU / KOUROU","PO FSE GUYANE",,
"CENTRE HOSPITALIER ANDREE ROSEMON","Facteurs influençant les conduites sexuelles à risque dans le milieu de la prostitution - CAPVIH",176508,105900,"FEDER ","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FEDER GUYANE 2007-2013",,
"CENTRE TECHNIQUE INTERPROFESSIONNEL DES OLEAGINEUX METROPOLITAINS - CETIOM","Transfert de technologies innovantes de production de céréales et d'oléoprotéagineux en Guyane",640435,275400,"FEDER ","GUYANE","GUYANE / CAYENNE / MACOURIA / MACOURIA","PO FEDER GUYANE 2007-2013",,
"CETIOM","DAFTA - Développement durable de l'agriculture en forêt tropicale humide amazonienne",802062,497278.44,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
