name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung,gewahrte_betrage,gezahlte_gesamtbetrage
Grone Schulen Niedersachsen gGmbH,FrECh + Job-Kontor - Frauen ergreifen Chancen,2008,,255855.58
Grone Schulen Niedersachsen gGmbH,"KOMPASS - Kompetenzentwicklung i. d. dt. Sprache+passgenaue
betriebl. Qualifizierung f. Migranten u. Analphabeten",2008,,260523.54
MuB Stich GmbH,Aufwind,2008,,260639.04
Landkreis Rotenburg,Gründungswerkstatt Zeven,2008,,263385
Evangelisches Bildungswerk Elbe-Weser gGmbH,"Profil & Co.;Profiling und Coaching als innovative Methoden zur
Integration von Arbeitslosen in den ersten Arbeitsmarkt",2008,,265209.5
Diakonie Kirchenkreis Uelzen gGmbH,mehr Wert - Qualifizierung für Frauen im Verkaufsbereich,2008,,266071.67
"Bundestechnologiezentrum für Elektro- und
Informationstechnik e.V.",PEGASuS,2008,,267513.57
Grone Schulen Niedersachsen gGmbH,"PraxisPlus-betriebliche Qualifizierung für junge Erwachsene
zwischen 18 und 30 Jahren besonders ohne Berufsabschluss",2008,,267773.61
inab Unternehmen für Bildung,sprungbrett.job.einstieg,2008,,267860
Landkreis Uelzen,Gründungswerkstatt Uelzen,2009,,267883
"Berufsbildungswerk der Nieder- sächsichen Wirtschaft g
GmbH","TouLü - Qualifizierung im Bereich Tourismus in der Lüneburger
Heide",2008,,268125.62
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Track Junior,2008,,274298.61
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"LIFT-Langzeitarbeitslose Migranten- Integrieren-Fördern-
Trainieren",2008,,275296.69
Grone Schulen Niedersachsen gGmbH,"Just in Time - Ein Projekt für geringqualifizierte junge Erwachsene
bis 25 Jahre zur Vorbereitung einer soz.pfl. Tätigk.",2008,,275736.49
ProArbeit kommunale Anstalt öffentlichen Rechts,Steigerung der demografischen Unternehmenskompetenz,2008,,276029.5
KONFIDES GmbH,"VIA plus - Projekt zur Integration von Arbeitslosen mit
Migrationshintergrund in den ersten Arbeitsmarkt",2009,,276192.69
Bildungswerk Osterholz e. V.,"MetHa 2008 - Qualifizierung zum/zur Mitarbeiter/in im Metallbau-
/Hauswirtschaftsbereich",2008,,278359.01
"Dienstleistungszentrum IDA
Gemeinwesenorientierte Arbeit im Kreis Uelzen e.V.
Dienstleistungszentrum IDA",Woltersburger Mühle,2008,,279268.73
Bildungswerk ver.di in Niedersachsen e.V.,NeuBauAdQ,2008,,281717.17
Grone Schulen Niedersachsen gGmbH,net > work,2008,,282879.14
Diakonie Kirchenkreis Uelzen gGmbH,Büro- und Medienservice,2008,,290618.7
feffa e. V.,"Frau + Beruf - Beratung - Qualifizierung - Netzwerke für Frauen im
ländlichen Bereich",2008,,292574.1
Stiftung niedersächsischer Gedenkstätten,Entrechtung als Lebenserfahrung,2008,,299865.48
Grone Schulen Niedersachsen gGmbH,Quali 4 Work,2009,,299880.43
Handwerkskammer Braunschweig-Lüneburg-Stade,Ausbildung Plus II,2007,,301735.13
bfw - Unternehmen für Bildung,"Modulare Qualifizierung Garten- und Landschaftsbau sowie
Übergangsmanagement",2008,,301868.58
bfw - Unternehmen für Bildung,"Modulare Qualifizierung Glas- und Gebäudereiniger und
Übergangsmanagement",2008,,303080.34
feffa e. V.,"Frau + Beruf Beratung-Qualifizierung-Netzwerke für Frauen im
ländlichen Raum",2008,,303875.36
"Gemeinwesenorientierte Arbeit im Kreis Uelzen e.V.
Dienstleistungszentrum IDA",Woltersburger Mühle,2009,,310711.31
inab Unternehmen für Bildung,sprungbrett.berufliche.zukunft,2008,,311920.65
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,FRESH - Frau finden einen Einstieg  - von Service bis Handel,2008,,319514.07
neue arbeit Lüneburg gGmbH,neue Arbeit - Integration,2008,,323505.89
Landkreis Cuxhaven,Gründungswerkstatt Cuxhaven,2008,,324998.41
Grone Schulen Niedersachsen gGmbH,Jobs for Life,2009,,327125.85
bfw - Unternehmen für Bildung,EDV - Sozialkompetenz - Fit for Job,2008,,328032.34
Landkreis Soltau-Fallingbostel,Gründungswerkstatt Soltau-Fallingbostel,2009,,328880
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Fresh-Zeven,2008,,329676.25
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Langzeitarbeitslose integrieren, fördern und trainieren (LIFT)",2008,,329702.72
bfw - Unternehmen für Bildung,"Modulare Qualifizierung im Bereich Gala Bau und
Übergangsmanagement für Strafgefangene",2008,,329726.56
neue arbeit Lüneburg gGmbH,neue Arbeit - neue Chancen,2008,,330455.51
Stadt Osterholz-Scharmbeck,LINES,2008,,331461.38
job.sozial GbR,Salzwerkstadt,2009,,335233.9
bfw - Unternehmen für Bildung,Modulare Qualifizierung Glas- und Gebäudereiniger und Übergangsmanagement für Strafgefangene,2008,,335860.93
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,Gründungswerkstatt Harburger Land,2008,,341528
bfw - Unternehmen für Bildung,"E.S.F. Für die Eingliederung soziale und fachliche Kompetenz
erlangen",2008,,342119.33
"Wirtschaftsförderungsgesellschaft mbH für Stadt und
Landkreis Lüneburg",Gründungswerkstatt Lüneburg,2008,,343196
Grone Schulen Niedersachsen gGmbH,MoMo - Modulare Weiterbildung für Frauen in Mobilzeit,2008,,346193.94
KONFIDES GmbH,beFit - Berufliche Eingliederung von Frauen in Teilzeit,2008,,347704.18
Landkreis Soltau-Fallingbostel,Gründungswerkstatt Bad Fallingbostel,2008,,350600
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,JobStream - Aktiv in Wachstumsbranchen integrieren,2008,,357305.47
Grone Schulen Niedersachsen gGmbH,MoMo-Profil,2008,,357453.13
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,Gründungswerkstatt Harburger Land,2009,,365705
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,TRACK Junior - Trainieren - Aktivieren - Coachen - Kooperieren,2008,,369861.48
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Beeinträchtigte Arbeitslose-Langfristig Aktivieren, Nachhaltig
Coachen und Eingliedern (BALANCE)",2008,,372018.69
job.sozial GbR,"job.train Budgetprojekt - Integrationsförderung von
langzeitarbeitslosen Menschen mit psychischen Auffälligkeiten",2008,,379550.17
Handwerkskammer Braunschweig-Lüneburg-Stade,NieZiB,2008,,387960.44
"Wirtschaftsförderungsgesellschaft mbH für Stadt und
Landkreis Lüneburg",Gründungswerkstatt Lüneburg,2009,,394061
job.sozial GbR,salzwerk,2007,,396112.33
Herbergsverein Wohnen und Leben e.V.,KARO,2009,,402038.27
AWL Akademie für Wirtschaft und Logistik,StaBiLo II - Stader Bildungsoffensive Logistik,2008,,404579.1
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,JobKiiPplus - Job und Kinder in der Praxis,2008,,410836.64
Diakonie Kirchenkreis Uelzen gGmbH,"Haus-Wirtschaft - Qualifizierung von Frauen im
hauswirtschaftlichen Bereich",2008,,415437.77
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Fresh plus - Frauen finden einen Einstieg - vom Service bis zum
Handwerk",2008,,421120.95
KONFIDES GmbH,"VIA - Projekt zur Integration von Arbeitslosen mit Migrations-
hintergrund in den ersten Arbeitsmarkt",2008,,422416.22
Kreisvolkshochschule Verden,Gründungsatelier,2009,,426356.1
Kreisvolkshochschule Verden,Gründungsatelier: Existenzgründungsberatung und Qualifizierung für Arbeitslose im Landkreis Verden,2008,,431784
Diakonie Kirchenkreis Uelzen gGmbH,"Grün-Werk, Qualifizierung von Langzeitarbeitslosen im Bereich
Garten und Landschaftspflege",2008,,438384.34
Landkreis Lüchow-Dannenberg,PACE Lüchow-Dannenberg,2008,,438870.8
neue arbeit Lüneburg gGmbH,GASTronomie + HAUSwirtschaft,2008,,446765.21
neue arbeit Lüneburg gGmbH,Neue Arbeit - neue Chancen,2008,,453360.61
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,"Balance-Beeinträchtigte Arbeitslose-Langfristig Aktivieren,
Nachhaltig Coachen und Eingliedern",2008,,467232.8
neue arbeit Lüneburg gGmbH,"neue Arbeit - Qualifizierung; Qualifizierung von
langzeitarbeitslosen Menschen",2009,,487981.97
NAC GmbH,"Projekt zur Qualifizierung erwerbsfähiger Arbeitsloser nach SGB II
- mit dem Ziel der nachhaltigen Integration in den Arbeitsmar",2008,,521979.94
AWL Akademie für Wirtschaft und Logistik,Berufskraftfahrer Umschulung Stade,2008,,528922.2
Bildungswerk der Niedersächsischen Wirtschaft gGmbH,Fresh,2008,,529914.65
Landesverband Metall Niedersachsen/Bremen,"Weiterbildungsoffensive Online mit der Lernwerkstatt
Niedersachsen",2008,,531815.38
Ausbildungspool Bremerhaven e.V. Cuxland,Ausbildungspool Cuxland,2008,,547270.53
Landkreis Osterholz,Jugendwerkstatt Osterholz,2008,,578198.64
Evangelische Jugendhilfe Friedenshort GmbH,"Jugendwerkstatt ""KOMM""",2008,,579764.37
Werkstatt - Gemeinde e.V.,Jugendwerkstatt Rotenburg,2008,,597418.08
Diakonische Einrichtungen e.V.,Juniorbahnhof,2008,,598255.48
Handwerkskammer Lüneburg-Stade,Lehrgänge der überbetrieblichen Ausbildung,2008,,608561
NAC GmbH,Elan - Qualifizierung erwerbsfähiger Arbeitsloser nach SGB II,2009,,648345.92
Grone Schulen Niedersachsen gGmbH,@work,2009,,654453.36
Grone Schulen Niedersachsen gGmbH,Job Projekt 2008,2008,,674591.81
SBB Kompetenz gGmbH,HEIDE 13 - Arbeit in Sicht !,2008,,696127.5
Bildungswerk Niedersächsischer Volkshochschulen GmbH,"Profiling und Qualifizierung von Beschäftigten in Betrieben des
Offshore-Anlagenbau in Cuxhaven",2008,,720934.31
CJD Jugenddorf Celle,"Produktionsschule ""Chancen-Werkstatt""",2008,,732663.03
Arbeit im Landkreis Verden kAöR,Jugendwerkstatt Achim,2008,,752160.06
Stadt Lüneburg,Jugendwerkstatt Lüneburg,2008,,763254.88
AWL Akademie für Wirtschaft und Logistik,StaBiLo - Stader Bildungsoffensive Logistik,2008,,773072
"Bildungswerk Niedersächsischer Volkshochschulen,
Rotenburg",Produktionsschule Rotenburg,2008,,796779.64
Stadt Buchholz in der Nordheide,"Jugendwerkstatt ""Chancen schaffen""",2008,,804876.19
Landkreis Uelzen,Pro-Aktiv-Center Uelzen,2008,,829369.01
Bildungswerk Niedersächsischer Volkshochschulen GmbH,Qualifizierung Stahlbau Elbe-Weser,2009,,833113
Paritätischer Niedersachsen e.V. Kreisgruppe Cuxhaven,Paritätische Jugendwerkstatt,2008,,835458.17
Landkreis Verden,Pro - Aktiv Center im Landkreis Verden,2008,,851881.52
Jugendwerkstatt Celle gGmbH,Jugendwerkstatt Celle gGmbH,2008,,857290.05
Diakonische Einrichtungen e.V.,Jugendwerkstatt Küsten,2008,,858903.58
Arbeit im Landkreis Verden kAöR,Jugendwerkstatt Verden,2008,,865791.85
Jugendwerkstatt Walze e.V.,Walze e.V.,2008,,877908.24
Landkreis Rotenburg,Pro-Aktiv-Center,2008,,882043
Landkreis Osterholz,Pro - Aktiv - Center (PACE) Osterholz,2008,,882412.96
Landkreis Soltau-Fallingbostel,Pro - Aktiv - Center des Landkreises Soltau - Fallingbostel,2008,,903963
Landkreis Soltau-Fallingbostel,"Jugendwerkstatt ""TuWat""",2008,,904857.92
Samtgemeinde Land Wursten,Jugendwerkstatt Dorum,2008,,913545.78
"Caritasverband für die Landkreise Uelzen und Lüchow-
Dannenberg e.V.",Jugendwerkstatt Uelzen,2008,,949256.94
Gemeinwesenorientierte Arbeit im Kreis Uelzen e.V.,Produktionsschule Uelzen (PSU),2008,,989095.69
Grone Schulen Niedersachsen gGmbH,"50plus-Kompetenzzentrum zus. Teilprojekt des
Beschäftigungspaktes ""Reife Leistung!""",2008,,1051395.02
"Bildungswerk Niedersächsischer VHS GmbH
Jugendwerkstatt Stade",Jugendwerkstatt Stade,2008,,1134793.31
"Industrie- und Handelskammer Stade für den Elbe-Weser-
Raum",Regionale Anlaufstelle (RAS) für individuelle Weiterbildung,2007,,1200826.75
Landkreis Harburg,Pro-Aktiv-Center,2008,,1217055.88
IHK Lüneburg-Wolfsburg,Regionale Anlaufstelle (RAS) für individuelle Weiterbildung,2007,,1325180.84
Handwerkskammer Braunschweig-Lüneburg-Stade,Lehrgänge der überbetrieblichen Berufsausbildung,2009,,1440889.5
ProArbeit kommunale Anstalt öffentlichen Rechts,Regionale Anlaufstelle (RAS) für individuelle Weiterbildung,2007,,1462499.97
Landkreis Cuxhaven,Pro - Aktiv Center,2008,,1670554.35
Landkreis Lüneburg,Betrieb eines Pro Aktiv - Centers,2008,,1709492.69
Landkreis Celle,pro-aktiv-center,2008,,1714200
Landkreis Stade,Pro-Aktiv-Center Stade,2008,,1845856.44
Handwerkskammer Braunschweig-Lüneburg-Stade,Regionale Anlaufstelle (RAS) für individuelle Weiterbildung,2007,,1960282.9
