name_der_begunstigten,vorhaben,zeitraum_der_bewilligung,amount,fund_type,uri
"Caritasverband für die Region Schaumberg Blies e.V., Hüttenbergstr. 42, 66538 Neunkirchen Caritasverband für die Region Schaumberg Blies e.V., Hüttenbergstr. 42, 66538 Neunkirchen",Berufliche Integration von Zugewanderten – BIZ WND Berufliche Integration von Zugewanderten – BIZ NK,01.01.2008 – 31.12.2008 01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"G&H Graf und Holste GbR Institut für Qualifizierung und Alltagsbetreuung, Bismarckstr. 11, 66333 Völklingen",Qualifizierung und Beschäftigung Bereichshelfer/in/Alltags betreuer/in,01.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",Perspektiven für die Jugend und Jugendkoordinator Lkr WND - AZB,01.09.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Projekt Denkmalschutz (Gefährdetenhilfe),01.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",Jugendwerkstatt Blieskastel und Werkstatt St. Ingbert,01.04.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Volkshochschule Dillingen e.V., Franz- Méguin-Str. 6c, 66763 Dillingen",Beschäftigung und Qualifizierung Römerpark 2008/2009,19.05.2008 - 18.05.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"SOS-Kinderdorf e.V. - Ausbildungs- und Beschäftigungszentrum Saarbrücken, Seilerstraße 6, 66111 Saarbrücken",Beschäftigung und Qualifizierung von behinderten Jugendlichen,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"SOS-Kinderdorf e.V. (MZG), Am Seffersbach 5, 66663 Merzig",Qualifzierungsmaßnahm e mit Abschluss Pflegediensthelfer/in,01.03.2008 - 28.02.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeiterwohlfahrt Landesverband Saarland e.V., Hohenzollernstraße 45, 66117 Saarbrücken",Ökologischer Garten- und Landschaftsbau,01.04.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeiterwohlfahrt Landesverband Saarland e.V., Hohenzollernstraße 45, 66117 Saarbrücken",Grundqualifizierung Elektro,01.03.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Landkreis St. Wendel, Mommstr. 27, 66606 St. Wendel",Soziale Betreuung § 16 a Kräfte - Lkr WNDt,01.08.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",iLB (informelles Lernen und Beschäftigung),01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
