begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
Bildung & Integration e.V.,22279- Berufliches Sprach- und Kommunikationstraining für den Dienstleistungsbereich 1,03.09.2008,"55.572,29",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildung & Integration e.V.,22278 Berufliches Sprach- und Kommunikationstraining für den Dienstleistungsbereich 2,01.10.2008,"54.004,16",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildung & Integration e.V.,22293 Berufliches Sprach- und Kommunikationstraining für den Dienstleistungsbereich 3,03.11.2008,"58.560,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildung & Integration e.V.,22300 Berufliches Sprach- und Kommunikationstraining für den Dienstleistungsbereich 4,01.12.2008,"54.197,33",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Vorbereitung IHK-Sachkundeprüfung gem. § 34a GewO (MAE),03.03.2008,"57.032,66","57.032,66",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Gebäudetechnik / Hausmeisterdienste,03.03.2008,"27.842,89","27.842,89",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Computerkurs mit ECDL-Prüfung,07.04.2008,"23.406,15","23.406,15",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Vorbereitung IHK-Sachkundeprüfung gem. § 34a GewO,07.04.2008,"53.130,72","53.130,72",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Pflegebasiskurs,21.07.2008,"17.807,09","17.807,09",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Vorbereitung IHK-Sachkundeprüfung gem. § 34a GewO,04.08.2008,"28.941,62","28.941,62",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Vorbereitung IHK-Sachkundeprüfung gem. § 34a GewO,01.09.2008,"32.376,96",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Gebäudetechnik / Hausmeisterdienste,22.09.2008,"29.851,73",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Computerkurs mit Prüfung ECDL-Start,22.09.2008,"25.291,09",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsinstitut Brückner,Vorbereitung IHK-Sachkundeprüfung gem. § 34a GewO,27.10.2008,"32.503,68",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
bildungsmarkt vulkan gGmbH,Qualifizierung in Zusatzjobs Webseitengestaltung (MAE),01.02.2008,"39.474,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
bildungsmarkt vulkan gGmbH,Qualifizierung in Zusatzjobs Web II,01.12.2008,"5.508,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Bildungsmarkt Waldenser gGmbH,Mit Broschüren zum Schulabschluss/ HSA,01.10.2008,"97.214,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
