"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"A","Simon und Stuckart Partnerschaft Beratender Ingenieure","Qualifizierung in kleinen und mittleren Unternehmen - Schulungen für Planungen im Ingenieurbau ALLPLAN BIM 2008",2008,2704.80,
"A","Sonntagscafe'"" An der grünen Oase"" ","Qualifizierung in kleinen und mittleren Unternehmen - Küchenkonditor und Fortbildung Englisch",2008,2905.00,
"A","StH Stahlverarbeitung Hoffmann GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Schweißausbildung MAG, Betonstahlschweißen",2008,9000.00,
"A","Sys-Comm ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung Lexware",2008,2092.30,
"A","Systema Gesellschaft für angewandte Datentechnik mbH","Weiterbildung in kleinen und mittleren Unternehmen - Lehrgang Erhalt von Zertifikaten",2008,6902.00,
"A","Technikhof Markendorf GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Schweißlehrgänge",2008,588.00,
"A","Therapiezentrum Glindow Ibrahim Khourshid","Qualifizierung in kleinen und mittleren Unternehmen - Therapeutische Weiterbildungen",2008,14245.70,
"A","UP Transfer Gesellschaft für Wissens- und Technologietransfer mbH an der Universität Potsdam","INNOPUNKT-Projekt:  ""Ältere - Erfahrung trifft Herausforderung""
 „Campus der Generationen“ Unterstützung von 40 älteren erwerbslosen Akademiker/innen bei der Integration in den Arbeitsmarkt",2008,353878.70,
"A","Uwe Günther Schweißfachbetrieb","Qualifizierung in kleinen und mittleren Unternehmen - Schulung Schweißarbeiten",2008,1171.45,
"A","Vietzke Metallprodukte GmbH & Co.KG ","Qualifizierung in kleinen und mittleren Unternehmen - Business Englisch, Flammenrichten",2008,3444.00,
"A","WEQUA GmbH ","INNOPUNKT-Projekt: ""Ältere - Erfahrung trifft Herausforderung"" - Berufliche Perspektiven im demographischen Wandel -individuelle Berufswegeplanung für 120 ältere Mitarbeiter/Innen in südbrandenburger kleinen und mittleren Unternehmen  welches zum Projektende veröffentlicht wird.",2008,391466.90,
"A","Wohnungsbaugenossenschaft Schwarzheide eG","Qualifizierung in kleinen und mittleren Unternehmen - Individualschulung - PC Grundlagen (Word)",2008,1544.90,
"A","xentasystems i.s. GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Wirtschaftsenglisch, Excel, Access, AEVO, ITIL Diploma Bridge, Prince2, Projektmanagement, MCP, ONT, BSCI, CVOICE",2008,29412.35,
"B","AGUS gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,226044.00,
"B","Akademie für Sozial- und Gesundheitsberufe Beelitz","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2007,150696.00,
"B","ARGE IOS-Regionalpartner Potsdam GbR ","Initiative Oberschule - IOS",2007,214517.33,
