"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","Berufsbildungswerk im Oberlinhaus gGmbH ","frühzeitige Heranführung von Schülerinnen und Schülern mit Behinderungen an das Berufs- und Arbeitsleben durch eine intensive Kooperation mit dem Berufsbildungswerk",2008,274490.43,
"B","Berufsbildungswerk im Oberlinhaus gGmbH ","frühzeitige Heranführung von Schülerinnen und Schülern mit Behinderungen an das Berufs- und Arbeitsleben durch eine intensive Kooperation mit dem Berufsbildungswerk",2008,158739.57,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Ausbildung Straßenwärter 2. Ausbildungsjahr",2008,1300.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Ausbildung Straßenwärter 2. Ausbildungsjahr",2008,1300.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Fachausbildung Brunnenbauer 2. Ausbildungsjahr",2008,1440.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Ausbildung Grundlagenbildung Rohrleitungsbau",2008,2260.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Grundlagenbildung: Mauern, Bewehren, Schalen, Holzbearbeitung, Trockenbau, Fliesen, Estrich",2008,6240.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Grundlagenbildung Straßenwärter 1. Ausbildungsjahr",2008,1660.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Grundlagenbildung Straßenwärter 1. Ausbildungsjahr",2008,1660.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Erstausbildung in der Bauwirtschaft zum Bauwerksmechaniker für Abbruch und Betontrenntechnik",2008,4000.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Fachausbildung 2. Ausbildungsjahr Beton-/Stahlbetonbauer",2008,1340.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Grundlagenbildung Baugeräteführer mit verschiedenen Angeboten nach Bedarf",2008,3160.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Fachausbildung Baugeräteführer im 2. Ausbildungsjahr mit entsprechenden Angeboten",2008,2760.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Fachausbildung Rohrleitungsbauer",2008,2920.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Grundlagenbildung: Mauern, Bewehren, Schalen, Holzbearbeitung, Trockenbau, Fliesen, Estrich",2008,1680.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, fachspezifische Ausbildung des Straßenwärters im 3. Lehrjahr, Vorbereitung auf Prüfung",2008,1560.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Vermessen, Gala, Straßenbau, Technikausbildung mit Vorbereitung zur Abschlussprüfung",2008,1560.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Straßenwärter 3. Lehrjahr Vermessen, Gala, Straßenbau, Technikausbildung mit Vorbereitung zur Abschlussprüfung",2008,780.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Straßenwärter 3. Lehrjahr Vermessen, Gala, Straßenbau, Technikausbildung mit Vorbereitung zur Abschlussprüfung",2008,780.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung zum Beton- und Stahlbetonbauer 1. Lehrjahr",2008,4000.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Betonfertigteilbauer 1. Lehrjahr",2008,1400.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung in der Bauwirtschaft zum Tiefbaufacharbeiter Straßenbau",2008,4000.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung in der Bauwirtschaft zum Betonfertigteilbauer",2008,2000.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung in der Bauwirtschaft zum Betonfertigteilbauer 2. Lehrjahr",2008,5200.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Erstausbildung zum Straßenbauer 1. Lehrjahr",2008,2000.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Erstausbildung zum Zimmerer 1. Lehrjahr",2008,2000.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Erstausbildung in der Bauwirtschaft zum Bauwerksmechaniker 2. Lehrjahr",2008,3900.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung, Erstausbildung in der Bauwirtschaft zum Stahlbetonbauer",2008,2600.00,
"B","Berufsförderungswerk des Bauindustrieverbandes Berlin-Brandenburg e.V.","Verbundausbildung,  Fachausbildung 2. Ausbildungsjahr im Bereich Beton- und Stahlbeton",2008,860.00,
"B","Berufskraftfahrer-und Fahrschul GmbH Ostsachsen GmbH","Ausbildung Verkehrssicherheit, Führen von Fahrzeugen auf öffentlichen Straßen",2008,4500.00,
"B","Bildungsgesellschaft mbH Pritzwalk ","Vermittlung von Kern- und Fachqualifikationen Werkzeugmechaniker 1. Lehrjahr",2008,2680.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Vermittlung von Kern- und Fachqualifikationen Werkzeugmechaniker Einsatzgebiet: Stanztechnik 1. Lehrjahr",2008,53560.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Vermittlung von Kern- und Fachqualifikationen Kaufmann im Groß- und Außenhandel mit Schwerpunkt Großhandel 2. Lehrjahr",2008,900.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Verkäufer mit Schwerpunkt Beratung und Verkauf 2. Lehrjahr",2008,450.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Teilezurichter 2. Lehrjahr",2008,14900.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Werkzeugmechaniker Stanz- und Umformtechnik 3. Lehrjahr",2008,7600.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Industriekauffrau 3. Lehrjahr",2008,2700.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Werkzeugmechaniker Einsatzgebiet: Stanztechnik 1. Lehrjahr",2008,2680.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Zerspanungsmechaniker mit Schwerpunkt Drehtechnik 2. Lehrjahr",2008,3120.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Werkzeugmechaniker Stanz- und Umformtechnik 4. Lehrjahr",2008,5400.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Teilezurichter 1. Lehrjahr",2008,1720.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung Vermittlung von Kern- und Fachqualifikationen Konstruktionsmechaniker Feinblechbautechnik 1. Lehrjahr",2008,2680.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung, Vermittlung anteiliger Grund-/ Fachqualifikationen Kauffrau für Bürokommunikation 1. Lehrjahr
",2008,300.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung, Vermittlung anteiliger Grund- und Fachqualifikationen Feinwerkmechaniker mit Fachrichtung Maschinenbau und Zerspanungsmechaniker mit Fachrichtung Drehmaschinensysteme 1. Lehrjahr

",2008,5100.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung, Vermittlung anteiliger Grund- und Fachqualifikationen Metallbauer mit Fachrichtung Konstruktionstechnik 3. Lehrjahr
",2008,2040.00,
"B","Bildungsgesellschaft mbH Pritzwalk Gemeinnützige Gesellschaft","Verbundausbildung, Vermittlung anteiliger Grund- und Fachqualifikationen Elektroniker mit Fachrichtung Automatisierungstechnik und Werkzeugmechaniker mit Fachrichtung Stanz- und Umformtechnik",2008,33600.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Wasserversorgungstechnik 2. Lehrjahr",2008,10000.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Wasserversorgungstechnik, Fachkraft für Abwassertechnik, Fachkraft für Kreislauf- und Abfallwirtschaft, Mechatroniker 2. Lehrjahr",2008,13400.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Kreislauf- und Abfallwirtschaft 2. Lehrjahr",2008,4000.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Kreislauf- und Abfallwirtschaft 2. Lehrjahr",2008,800.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Anlagenmechaniker, Fachkraft für Kreislauf- und Abfallwirtschaft, Fachkraft für Wasserversorgungstechnik, Industriekauffrau 3. Lehrjahr",2008,9350.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Wasserversorgungstechnik, Fachkraft für Abwassertechnik, Fachkraft für Kreislauf- und Abfallwirtschaft 3. Lehrjahr",2008,5000.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Wasserversorgungstechnik, Fachkraft für Abwassertechnik, Fachkraft für Kreislauf- und Abfallwirtschaft 1. Lehrjahr",2008,9500.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Abwassertechnik, Fachkraft für Kreislauf- und Abfallwirtschaft 1. Lehrjahr",2008,10000.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung Fachkraft für Kreislauf- und Abfallwirtschaft 1. Lehrjahr",2008,2300.00,
"B","Bildungsinstitut für Umweltschutz und Wasserwirtschaft Neubrandenburg e. V.","Durchführung von Teilen der betrieblichen Ausbildung ",2008,3800.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich",2008,84344.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich Landwirte",2008,23650.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich Fischwirte",2008,,2383.00
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Landwirte",2008,2964.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Landwirte/Tierwirte",2008,70425.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Forstwirte",2008,6016.50,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Molkereifacharbeiter/Milchwirtschaftliche Laboranten",2008,9920.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Landwirte",2008,13107.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Fischwirte",2008,1500.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft Forstwirte",2008,1050.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung: Molkereifacharbeiter/Milchwirtschaftlicher Laborant",2008,42160.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung: Molkereifachmann",2008,11160.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Fischwirte",2008,4085.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Fischwirte",2008,4288.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft Landwirte, Tierwirte",2008,127886.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft für Landwirte, Tierwirte",2008,99812.00,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Forstwirte",2008,7543.50,
"B","Bildungsverein der Landwirtschaft Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Forstwirte",2008,5634.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung - Berufsspezifische Grundbildung Analytisches/Präparatives Praktikum, Kommunikations- und Informationssysteme, Probenahme und Analytik",2008,5280.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung - Berufsspezifische Grundbildung Analytisches und Präparatives Praktikum, Kommunikations- - und Informationssysteme, Probenahme und Analytik",2008,13200.00,
"B","Bildungswerk Nordostchemie e. V. ","Berufsspezifische Grundbildung Pharmazeutische Verfahrensweise, Kommunikations- und Informationssysteme, Mikrobiologische Arbeiten",2008,15840.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung. Pharmazeutische Technologie II Zusatzunterweisung Abschlussprüfung Teil 2",2008,6800.00,
"B","Bildungswerk Nordostchemie e. V. ","Analytisches Praktikum II, Präparatives Praktikum II und III Prüfungsvorbereitung / Abschlussprüfung Teil 1",2008,1400.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung Analytisches Praktikum II, Präparatives Praktikum II und III Prüfungsvorbereitung / Abschlussprüfung Teil 1",2008,4200.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung Analytisches Praktikum II, Präparatives Praktikum II und III Prüfungsvorbereitung / Abschlussprüfung Teil 1",2008,1400.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung Analytisches Praktikum II, Präparatives Praktikum II und III Prüfungsvorbereitung / Abschlussprüfung Teil 1",2008,2800.00,
"B","Bildungswerk Nordostchemie e. V. ","Berufsspezifische Grundbildung, Analytisches und Präparatives Praktikum, Kommunikations- und Informationssysteme, Mikrobiologische Arbeiten",2008,5280.00,
"B","Bildungswerk Nordostchemie e. V. ","Berufsspezifische Grundbildung, Analytisches und Präparatives Praktikum, Informations- und Kommunikationssysteme, Probenahe und Analytik",2008,2460.00,
"B","Bildungswerk Nordostchemie e. V. ","Berufsspezifische Grundbildung, Installationstechnik, Verfahrenstechnische Grundoperationen, Messtechnik, Kommunikations- und Informationssysteme",2008,2460.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung Grundbildung: Installationstechnik I, Verfahrenstechnische Grundoperationen, Messtechnik, Kommunikations- und Informationssysteme",2008,2340.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Berufsspezifische Grundbildung, Analytisches und Präparatives Praktikum",2008,4680.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Spektroskopische Methoden",2008,,1680.00
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Pharmazeutische Verfahrenstechnik II / Zusatzunterweisung und Prüfung Teil 1, Pharmazeutische Technologie, Mess-, Steuer- und Regeltechnik",2008,4200.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Verfahrenstechnik II, Zusatzunterweisung und Abschlussprüfung",2008,2000.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Berufsspezifische Grundbildung, EDV, Analytisches und Präparatives Praktikum",2008,1900.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Zusatzunterweisung",2008,1600.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Zusatzunterweisung",2008,400.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Zusatzunterweisung",2008,400.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Zusatzunterweisung",2008,400.00,
"B","Bildungswerk Nordostchemie e. V. ","Verbundausbildung, Instrumentelle Analytik, Zusatzunterweisung / Abschlussprüfung",2008,6800.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,2800.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,700.00,
"B","bildungszentrum energie GmbH ","Ausbildung Elektroniker für Betriebstechnik",2008,7000.00,
"B","bildungszentrum energie GmbH ","Ausbildung Elektroniker für Betriebstechnik",2008,9000.00,
"B","bildungszentrum energie GmbH ","Ausbildung Bürokaufmann/-frau",2008,1290.00,
"B","bildungszentrum energie GmbH ","Ausbildung Industriekaufmann/-frau",2008,1935.00,
"B","bildungszentrum energie GmbH ","Ausbildung Elektroniker für Betriebstechnik",2008,1000.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,8400.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,6300.00,
"B","bildungszentrum energie GmbH ","Ausbildung Elektroniker für Betriebstechnik",2008,14000.00,
"B","bildungszentrum energie GmbH ","Ausbildung Elektroniker für Betriebstechnik",2008,20000.00,
"B","bildungszentrum energie GmbH ","Ausbildung Bürokaufmann",2008,2580.00,
"B","bildungszentrum energie GmbH ","Ausbildung Elektroniker für Betriebstechnik",2008,1500.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,2100.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,1800.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,6300.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,4200.00,
"B","bildungszentrum energie GmbH ","Ausbildung Bürokaufmann/-frau",2008,1935.00,
"B","bildungszentrum energie GmbH ","Ausbildung Bürokaufmann/-frau",2008,2580.00,
"B","bildungszentrum energie GmbH ","Ausbildung Mechatroniker",2008,3580.00,
