"Name of Beneficiary","Project Name","Total budget (EUR)","Size of grants given (BGN)"
"""СИЙТРЕЙД"" ЕООД","""Сийтрейд"" ЕООД –конкурентноспособна компания с европейско присъствие – ангажирана и отговорна за опазване на околната среда. ""","24,000.00 ","12,000.00 "
"""ИКОН"" ООД","""Покриване на международно признат стандарт – ключ за повишаване на конкурентноспособността и фактор за успех""","24,660.00 ","11,999.56 "
"""НИКИ"" ЕООД","""Подобряване на конкурентноспособността на ""НИКИ"" ЕООД посредством внедряване и сертифициране на СУК според изискванията на ISO 9001:2000, CE маркировка и декларации за съответствие""","23,750.00 ","11,875.00 "
"""АРГОС ПРИМА"" ЕООД","""Въвеждане на СУК в Аргос Прима ЕООД за постигане на европейско ниво на обслужване""","24,000.00 ","11,760.00 "
"""ФИЛКАБ - СЛИВЕН"" АД","""Покриване на международно признати стандарти""","23,100.00 ","11,550.00 "
"""МТМ"" ЕООД","""Въвеждане на международно признати стандарти в „МТМ”  ЕООД""","22,800.00 ","11,400.00 "
"""СУИЙТ МЕДЖИК ЕВРОПА"" ЕООД","""Покриване на международно признат стандарт ISO 22000:2005""","22,780.00 ","11,390.00 "
"""МАГ СТУДИО"" ООД","""Въвеждане на система за управление на качеството, съгласно изискванията на ISO 9001:2008 в „Маг Студио” ООД""","22,700.00 ","11,350.00 "
"""ЛЕГЕ КОНСУЛТИНГ"" ЕООД","""Покриване на международно признат стандарт ISO 9001:2000 и повишаване конкурентноспособността на „Леге консултинг” ЕООД чрез въвеждане на интегрирана със СУК софтуерна система за управление на бизнеса""","22,454.00 ","11,227.00 "
"""БИ ТИ ЕС"" ООД","""Внедряване на система за управление на качеството и подобряване на технологията по управляване на процесите""","22,700.00 ","11,123.00 "
"""ИН-80"" ЕООД","""Подготовка, внедряване и сертифициране на международно признат стандарт ISO 9001: 2000""","22,800.00 ","11,078.52 "
"""ДЕЗИНФЕКЦИОННА СТАНЦИЯ ВИДИН"" ЕООД","""Подобряване на управлението и повишаване на качеството в „ДЕЗИНФЕКЦИОННА СТАНЦИЯ ВИДИН” ЕООД""","22,600.00 ","11,074.00 "
"""ДЕЗИНФЕКЦИОННА СТАНЦИЯ""  ЕООД","""Подобряване на управлението и повишаване на качеството в „ДЕЗИНФЕКЦИОННА СТАНЦИЯ” ЕООД""","22,600.00 ","11,074.00 "
"""ДЕЗИНФЕКЦИОННА СТАНЦИЯ ВЕЛИКО ТЪРНОВО""  ЕООД","""Подобряване на управлението и повишаване на качеството в “ДЕЗИНФЕКЦИОННА СТАНЦИЯ ВЕЛИКО ТЪРНОВО” ЕООД""","22,580.00 ","11,064.20 "
"""ДЕЗИНФЕКЦИОННА СТАНЦИЯ""  ЕООД","""Подобряване на управлението и повишаване на качеството в съответствие с изискванията на ISO 9001:2008""","22,550.00 ","11,049.50 "
"""ДЕЗИНФЕКЦИОННА СТАНЦИЯ ДОБРИЧ"" ЕООД","""Подобряване на управлението и повишаване на качеството в съответствие с изискванията на ISO 9001:2008""","22,500.00 ","11,025.00 "
"""ИТЕЛИДЖЪНТ.НЕТ"" ООД","""Повишаване на конкурентоспособността на „Ителиджънт.Нет” ООД посредством покриване на изискванията на стандарта ISO 9001:2008""","21,900.00 ","10,950.00 "
