"Name of the Beneficiary","Name of the Operation","Name and Number of the Procedure","Project proposal No","Year of Allocation/ Year of Final Payment","Ammounts Committed (BGN)","Total Ammounts Paid at the End of the Operation (BGN)"
"Municipality Borovo","Integrated project: Water management in Borovo, Borovo municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 ﾖ 2013","58131-124- 124",2009,"739 883,00",0
"Municipality Botevgrad","Project development: Construction of UWWTP - Botevgrad and bringing collectors","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-15-15",2009,"1 252 547,42",0
"Municipality Brezovo","Sewerage of Brezovo and Choba village and rehabilitation of the water-supply network","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-3-3",2009,"568 420,00",0
"Municipality Burgas","Integrated project: Drinking water and wastewater management - Gorno Ezerovo quarter, Burgas, Burgas region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-165-165",2008,"391 640,00",0
"Municipality Burgas","Integrated project for drinking and wastewater management - Rudnik village and Cherno More - Burgas region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-171-171",2008,"479 090,00",0
"Municipality Burgas","Investment projects for water-supply and sewerage network Burgas - Meden Rudnik","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-17-208",2008,"16 166 904,00",0
"Municipality Burgas","Construction ofDolno Ezerovo quarter sewerage and pressure collector to WWTP","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-100-291",2008,"5 363 499,63",0
"Municipality Byala Slatina","Technical assistance for preparation of integrated investment project for Byala Slatina water sector","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-108-108",2009,"1 399 800,00",0
"Municipality Byala Slatina","Improvement of waste management infrastructure in Byala Slatina municipality","B G161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-56-360",2009,"907 200,00",0
"Municipality Byala, Ruse","Project development: Improvement and development of drinking water and wastewater infrastructure in Byala, Ruse region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-65-65",2009,"1 072 320,00",0
"Municipality Chepelare","Construction of facilities for treatment, composting of waste and installation for preliminary waste treatment, closure and recultivation of municipal landfill in the area of ﾄRakida"" in Chepelare municipality, Smolyan region","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-34-338",2009,"191 400,00",0
"Municipality Cherven Bryag","Technical assistance for preparation of integrated investment project in water sector - Cherven Bryag","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-84-84",2009,"1 383 480,00",0
"Municipality Chiprovtsi","Preparation of integrated project for completion and modernization of water-supply and sewerage network and construction of WWTP, Chiprovtsi municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-16-16",2009,"173 400,00",0
"Municipality Devnya","Technical assistance for preparation of investment project ""Extension and modernization ofWWTP - Devnya""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-46-46",2009,"919 200,00",0
"Municipality Dimitrovgrad","Restoration, protection and sustainable management of the biodiversity in the protected place Zlato pole","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-36-456",2009,"891 133,16",0
"Municipality Dolna Banya","Integrated project for drinking water management of Dolna Banya and construction ofWWTP","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-166-166",2009,"636 500,00",0
"Municipality Dolna Mitropoliya","Technical assistance for preparation of integrated investment project in the water sector ofTrastenik, Dolna Mitropoliya municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-162-162",2009,"1141 200,00",0
"Municipality Dolni Chiflik","Technical assistance for preparation of investment project ""Integrated water management, Dolni Chiflik""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-155-155",2008,"1 965 524,00",0
