"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"SYNAREA CONSULTANTS","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"24,548.00 €","  "
"SYSGROUP","NAPOLI","I-3-1"," ICT",2010,"180,771.00 €","  "
"S2","TORINO","I-3-1"," ICT",2009,"199,878.00 €","  "
"TAGLIOROBOT","CERESOLE ALBA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"66,955.25 €","33,477.62 €"
"TALENT","TORINO","I-Ri1-a","MANUNET 2008",2009,"210,000.00 €","  "
"TARGET HEART BIOTEC","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"127,960.00 €","  "
"T.ART  S.R.L.","PRAY","I-3-2","ADOZIONE TIC",2010,"45,446.00 €","  "
"TAURING SPA","LEINI'","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"704,797.43 €","  "
"TAURING SPA","LEINI'","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"36,027.23 €","18,013.61 €"
"T.C.A. INTERNATIONAL S.R.L.","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"21,200.00 €","  "
"TECHNOLOGY BSA","SAN MARZANO OLIVETO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"222,900.00 €","  "
"TECNIC TECNOLOGIE","MONTICELLO D'ALBA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"8,098.63 €","4,049.31 €"
"TECNIKABEL","TORINO","I-Ri7-a","LR34-04  AEREOSPAZIO",2008,"42,000.00 €","  "
"TECNO SYSTEM","MERCENASCO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"23,343.64 €","11,671.82 €"
"TECNOGOMMA","SAN FRANCESCO AL CAMPO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"487,500.00 €","  "
"TECNOGRANDA","DRONERO","I-Ri7-a","LR34-04- AEREOSPAZIO",2008,"67,500.00 €","  "
"TECNOGRANDA","DRONERO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"121,390.00 €","60,695.00 €"
"TECNOGRANDA","DRONERO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"119,776.30 €","59,888.15 €"
"TECNOGRANDA SPA","DRONERO","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"TECNOMECCANICA","NOVARA","I-Ri1-a","MANUNET 2008",2008,"225,000.00 €","180,000.00 €"
"TECNOMESA S.A.S. DI TAMAGNO ALBERTO & C.","SAN SECONDO DI PINEROLO","I-Ri3-c","LR34-04  - TECNOLOGIE",2008,"13,200.00 €","  "
"TECNOPARCO","VERBANIA","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"TECNO-SFER DI FERRERO FABRIZIO","MACELLO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"18,673.89 €","  "
"TECNOSTEEL","ORBASSANO","I-Ri3-a","LR34-04  - INNOVAZIONI",2008,"16,971.43 €","8,485.71 €"
"TECNOTEMPRA","TORINO","I-Ri1-a","MANUNET 2007",2007,"420,000.00 €","126,000.00 €"
"TEKNAL S.N.C. DI FELLONI M. E N.","CHIVASSO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"91,746.19 €","83,317.50 €"
"TEKRON DI GORI MASSIMO & C.","SETTIMO TORINESE","I-3-2"," ADOZIONE TIC",2010,"57,440.00 €","  "
"TELE VCO 2000 SRL","VERBANIA","I-Ri3-c","LR34-04 - TECNOLOGIE",2009,"25,725.00 €","  "
"TELEWORK TEAM","SAN SECONDO DI PINEROLO","I-3-2","ADOZIONE TIC",2010,"39,900.00 €","  "
"T.E.M.A. S.R.L.","VEROLENGO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"9,905.00 €","  "
"TEORESI","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"119,980.00 €","  "
"TERRAMATICA","ROMA","I-3-1"," ICT",2010,"127,644.00 €","  "
"TESEO","DRUENTO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"99,600.00 €","29,880.00 €"
"TESEO","DRUENTO","I-Ri7-a","LR34-04  AEREOSPAZIO",2008,"102,840.00 €","59,990.00 €"
"TESEO","DRUENTO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"289,467.00 €","144,733.50 €"
"TESSITURA LEANDRO PIOVANO S.R.L.","CHIERI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"23,450.00 €","  "
"TESSITURA PERTILE DI PERTILE & C.","CHIERI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"137,076.59 €","124,734.00 €"
"TESSITURA PERTILE DI PERTILE & C.","CHIERI","I-Ri1-a","MANUNET 2008",2008,"321,000.00 €","256,800.00 €"
"TESTA MARCO & C.","SALUGGIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"75,763.77 €","66,759.48 €"
"TEXNO","BRIGA NOVARESE","I-Ri3-a","LR34-04 -  - INNOVAZIONI",2008,"126,446.55 €","126,446.55 €"
"THALES ALENIA SPACE ITALIA","ROMA","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"4,790,840.20 €","556,216.55 €"
"THEBLOGTV","MILANO","I-3-1"," ICT",2009,"192,790.00 €","  "
"TIMTEL","MILANO","I-3-2","ADOZIONE TIC",2010,"199,000.00 €","  "
"TINTORIA FINISSAGGIO 2000","MASSERANO","I-3-2"," ADOZIONE TIC",2010,"71,830.50 €","  "
"TINTORIA FINISSAGGIO 2000","MASSERANO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"36,772.94 €","36,772.94 €"
"TINTORIA MANCINI DI MANCINI MARIO E C","SANDIGLIANO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,170.00 €","  "
"TIPO STAMPA","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"19,444.61 €","19,444.61 €"
"TIPOGRAFIA COMMERCIALE","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"14,657.50 €","  "
"TIPOLITO MELLI  DI PIERO MELLI & C.","BORGONE SUSA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"201,750.00 €","  "
"TIPOLITOGRAFIA GIUSEPPINI","PINEROLO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"202,477.50 €","  "
"TOC TOC BOOK DI BALMA MION SILVIA","CIRIE'","I-3-2","ADOZIONE TIC",2010,"40,203.13 €","  "
"TOF","SAN MAURIZIO D'OPAGLIO","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"15,637.79 €","8,274.20 €"
"TOMATIS LAMIERE","CUNEO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"827,430.97 €","  "
"TOMATIS LAMIERE","CUNEO","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"108,097.50 €","54,048.75 €"
"TONI E TERE DI DALMASSO BERNARDINO E C. SNC","BOVES","I-3-2"," ADOZIONE TIC",2010,"28,062.50 €","  "
"TORINO WIRLESS","TORINO","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"TORNERIA SERRA S.R.L.","POIRINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"23,893.50 €","11,946.75 €"
"TORRE LAMIERE","TORRE CANAVESE","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,494.19 €","20,494.19 €"
"TOSI F.LLI","VARALLO SESIA","I-Ri3-a","LR34-04  - INNOVAZIONI",2008,"131,873.10 €","131,873.10 €"
"TOSINI DI TOSINI MAURO","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"15,990.00 €","15,990.00 €"
"TOSO","COSSANO BELBO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"28,021.33 €","14,010.66 €"
"TRASCON","CASTELL'ALFERO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"549,687.13 €","480,375.00 €"
"TRASCON","CASTELL'ALFERO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"11,637.98 €","5,818.99 €"
"TRATTAMENTI TERMICI FERIOLI E GIANOTTI","TORINO","I-Ri1-a","MANUNET 2007",2007,"300,000.00 €","90,000.00 €"
"TRAUMAVET","RIVOLI","I-3-2"," ADOZIONE TIC",2010,"40,404.00 €","  "
"TREGI SRL","LEINI'","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"91,791.68 €","45,895.84 €"
"TRIBEKA","TORINO","I-3-2","ADOZIONE TIC",2010,"24,658.00 €","  "
"TURCO SILVESTRO DI TURCO BIAGIO & C.","ALBENGA","I-3-2"," ADOZIONE TIC",2010,"90,142.87 €","  "
"TURIN MARATHON","TORINO","I-3-2","ADOZIONE TIC",2010,"60,532.50 €","  "
"TURLO","VARALLO SESIA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"47,414.58 €","47,414.58 €"
"ULIXE TECHNOLOGIES","IVREA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,150.00 €","  "
"UNI.COMP INFORMATICA","TORINO","I-3-1"," ICT",2010,"100,680.00 €","  "
"UNIREFORN","VILLAFALLETTO","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"187,618.64 €","167,812.50 €"
"UNITECH SNC DI RIVETTI ANDREA & C.","BALDISSERO CANAVESE","I-3-2"," ADOZIONE TIC",2010,"29,597.50 €","  "
"UNIVERSITA' DEGLI STUDI DEL PIEMONTE ORIENTALE","VERCELLI","I-1-1","BIOTECNOLOGIE",2009,"275,114.00 €","  "
"UNIVERSITA' DEGLI STUDI DI TORINO","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"217,500.00 €","87,000.00 €"
"UNIVERSITA' DEGLI STUDI DI TORINO","TORINO","I-Ri7-a","LR34-04  - AEREOSPAZIO",2008,"512,500.00 €","205,000.00 €"
"UNIVERSITA' DEGLI STUDI DI TORINO - FACOLTA' DI SCIENZE DELLA FORMAZIONE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"1,080,834.56 €","  "
"UNIVERSITA' DEGLI STUDI DI TORINO - FACOLTA' DI SCIENZE DELLA FORMAZIONE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"1,910,777.05 €","  "
"UNIVERSITA' DEGLI STUDI DI TORINO - FACOLTA' DI SCIENZE DELLA FORMAZIONE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"223,728.31 €","89,491.32 €"
"UNIVERSITA' DEGLI STUDI DI TORINO - FACOLTA' DI SCIENZE DELLA FORMAZIONE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"286,673.01 €","  "
"UNIVERSITA' DEGLI STUDI DI TORINO - FACOLTA' DI SCIENZE DELLA FORMAZIONE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"415,870.00 €","  "
"UNIVERSITA' DEGLI STUDI DI TORINO - FACOLTA' DI SCIENZE DELLA FORMAZIONE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"831,740.00 €","  "
"UNIVERSITA' DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""","VERCELLI","I-1-1","BIOTECNOLOGIE",2009,"441,732.39 €","  "
"UNIVERSITA' DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""","VERCELLI","I-1-1","BIOTECNOLOGIE",2009,"140,756.00 €","  "
"UNIVERSITA' DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""","VERCELLI","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"340,043.38 €","136,017.35 €"
"UNIVERSIT€ DI PISA € DIPARTIMENTO DI INGEGNERIA CHIMICA, CHIMICA INDUSTRIALE E SCIENZA DEI MATERIALI","PISA","I-1-1","BIOTECNOLOGIE",2009,"320,155.50 €","182,800.00 €"
"UNIVERSIT€ DI TORINO","TORINO","I-1-1","BIOTECNOLOGIE",2009,"140,308.14 €","  "
"UPPR","TORINO","I-3-2"," ADOZIONE TIC",2010,"134,003.05 €","  "
"URMA ROLLS DI FENOCCHIO E C","TORINO","I-Ri7-a","LR34-04  - AEREOSPAZIO",2008,"59,650.00 €","  "
"URMA ROLLS DI FENOCCHIO E C","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"19,148.00 €","  "
"UTENSILI FILETTATORI","SPARONE","I-Ri1-a","MANUNET 2007",2007,"392,000.00 €","117,600.00 €"
"UTENSILI FILETTATORI","SPARONE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"159,493.53 €","  "
"VAL GIOVANNI  E FIGLI","RIVARA","I-Ri3-a","LR34-04 INNOVAZIONI",2008,"139,444.52 €","123,930.38 €"
"VALIDA","CHIERI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"154,234.80 €","70,000.00 €"
"VALLERO INTERNATIONAL","OGLIANICO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,516.93 €","  "
"VAL.MEC. DI VALETTI","PIANEZZA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"210,612.98 €","209,740.38 €"
"VALMECCANICA S.P.A.","TORRE CANAVESE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"36,174.74 €","18,087.37 €"
"VALPET SRL","BOLOGNA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"110,250.00 €","  "
"VEBRO","ANDEZENO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"16,602.50 €","  "
"VENCHI","CASTELLETTO STURA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"401,250.00 €","  "
"V-ENERGY","BIELLA","II-1-2"," ENERGIA - SOSTENIBILITA",2008,"1,530,870.40 €","1,475,370.40 €"
"VERCOL DI ROAGNA LORENZO & C S.N.C.","MAGLIANO ALPI","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"7,216.68 €","3,608.34 €"
"VIAGGIATORINO DI STEFANIA PALERMINO E C.","TORINO","I-3-2"," ADOZIONE TIC",2010,"34,950.00 €","  "
"VIDEONORD","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"10,000.00 €","  "
"VIEWEB.IT","TORINO","I-3-1"," ICT",2009,"70,676.60 €","  "
"VIGLIETTI ANTONIO & FIGLIO","MONTANERA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"82,987.50 €","  "
"VILLA LA SORRIDENTE TELEWORK CENTRE S.A.S. DI COLOMBA CARLO & C.","SAN SECONDO DI PINEROLO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,200.00 €","  "
"VILLAGGIO GLOBALE INTERNATIONAL S.R.L.","MOGLIANO VENETO","I-3-2"," ADOZIONE TIC",2010,"200,000.00 €","  "
"VIR VALVOINDUSTRIA ING. RIZZIO","VALDUGGIA","I-Ri3-a","LR34-04  INNOVAZIONI",2008,"60,000.00 €","45,759.77 €"
"VIRTUAL REALITY & MULTI MEDIA PARK SPA","TORINO","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"Vishay Semiconductor Italiana","BORGARO TORINESE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"312,581.06 €","156,290.53 €"
"VITA VIVA","TORINO","I-3-2","ADOZIONE TIC",2010,"32,510.00 €","  "
"VITTORIA S.R.L.","VIGLIANO BIELLESE","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"7,163.00 €","  "
"VOLTAGGIO ENERGIA","GENOVA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"2,650,000.00 €","  "
"VORTEX COMPUTER SERVICE DI METTA MICHELE & C.","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"10,025.00 €","  "
"VOTTERO RICCARDO & C. S.N.C.","BAGNOLO PIEMONTE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"37,576.36 €","18,788.18 €"
"WALKING WORLD CONSULTANCY","TORINO","I-3-2"," ADOZIONE TIC",2010,"24,318.18 €","  "
"WATERTECH","MILANO","I-3-2"," ADOZIONE TIC",2010,"45,700.00 €","  "
"W.A.Y.","TORINO","I-3-1"," ICT",2009,"167,459.11 €","  "
"WEIJI COMUNICAZIONE","TORINO","I-3-1"," ICT",2009,"114,870.00 €","  "
"WIKER GMS","TORINO","I-3-1"," ICT",2010,"182,585.40 €","  "
"WIN X PAL","RIVAROLO CANAVESE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,170.00 €","  "
"WISILDENT SRL","TORINO","I-Ri1-a","MANUNET 2007",2007,"280,000.00 €","  "
"WOLFRAMCARB","CASTELLAMONTE","I-Ri1-a","MANUNET 2007",2007,"170,000.00 €","51,000.00 €"
"WPWEB","TORINO","I-3-1"," ICT",2009,"108,750.00 €","  "
"XENIALAB","TORINO","I-3-1"," ICT",2009,"197,140.00 €","  "
"X-TEK","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"271,115.07 €","263,392.05 €"
"XTEQUE","MILANO","I-3-1"," ICT",2009,"160,550.40 €","  "
"XYNERTECH","COLLEGNO","II-1-2","ENERGIA - SOSTENIBILITA",2009,"733,549.96 €","667,500.00 €"
"YOUPC","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,200.00 €","10,600.00 €"
"ZANCANER S.R.L.","VARALLO SESIA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"4,625.00 €","  "
"ZERO11","VENARIA","I-3-1"," ICT",2009,"92,131.74 €","  "
"ZETA POLIMERI","BURONZO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"988,501.24 €","988,501.24 €"
"ZINCOTRE","BRUINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"520,235.02 €","506,778.57 €"
"ZIRAK","MONDOVI'","I-3-1"," ICT",2010,"293,310.00 €","  "
"ZOOM TORINO","CUMIANA","I-3-2","ADOZIONE TIC",2010,"200,000.00 €","  "
"1000ED1","TORINO","I-3-2","ADOZIONE TIC",2010,"171,000.00 €","  "
"4 TECH S.R.L.","CASALE MONFERRATO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","  "
"4 ZETA","NOVARA","I-3-1"," ICT",2009,"65,020.00 €","  "
"4PRO","TORINO","I-3-1"," ICT",2009,"109,850.00 €","  "
