"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"CECOMP","LA LOGGIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"436,831.77 €","381,750.00 €"
"CEDEO DI CHIARIGLIONE LEONARDO E C","VILLARDORA","I-3-1","ICT",2010,"67,500.00 €","  "
"CELLINO","TORINO","I-3-2","ADOZIONE TIC",2010,"128,515.00 €","  "
"CELLINO","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,288.79 €","  "
"CENTRO SERVIZI INDUSTRIE","TORINO","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"CENTRO STUDI ORTODONZIA E ODONTOIATRIA","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"13,920.00 €","  "
"CENTROMETAL","MARENE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"473,142.00 €","  "
"CESAL","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"95,336.18 €","  "
"CFA AUTOMATION SRL","CERESETO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"66,281.18 €","  "
"C.F.T. COMMERCIO FIBRE TESSILI","VIGLIANO BIELLESE","I-3-2"," ADOZIONE TIC",2010,"26,768.31 €","  "
"CHIARO MACCHINE SPECIALI","CALUSO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"85,589.91 €","  "
"CHIESI FARMACEUTICI","PARMA","I-1-1","BIOTECNOLOGIE",2009,"182,800.00 €","  "
"CHINOOK","PIOSSASCO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"243,496.05 €","121,748.02 €"
"CHIVASSO BUSINESS TRAVEL DI GUIDO THA","CHIVASSO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"21,035.00 €","10,517.50 €"
"CH-7 HELICOPTERS HELI-SPORT","TORINO","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"6,582.39 €","3,291.19 €"
"CID","SALUGGIA","I-1-1","BIOTECNOLOGIE",2009,"2,490,214.11 €","747,064.23 €"
"CIEFFE DI CRIPEZZI FRANCESCO E C.","GRUGLIASCO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"106,117.10 €","106,117.10 €"
"CIMI","CERRETO CASTELLO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"146,303.98 €","  "
"C.I.O.","IVREA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"1,060,361.25 €","  "
"C.I.P. SPA","CANDIOLO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"905,723.25 €","  "
"CITIEMME","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"11,845.00 €","  "
"CITTA STUDI BIELLA SPA","BIELLA","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
