RAGIONE SOCIALE,DENOMINAZIONE,"ANNO FINANZIAMENTO 
PAGAMENTO",PROV,€,amount
LIBELLI S.P.A.,"INNOVATIVO SISTEMA MODULARE COMPONIBILE, SENZA SALDATURE, 
PER LA REALIZZAZIONE DI IMPIANTI PER IL TRATTAMENTO DI ACQUE 
REFLUE DI MEDIE DIMENSIONI E PER LO STOCCAGGIO ED IL 
TRATTAMENTO DI FANGHI DI PROCESSO",2009,PC,€,"156.100,00"
Linea Città s.r.l.,PROGETTO PROTEO,2009,FC,€,"69.500,00"
Litokol SPA,Progettazione e Sviluppo di Malte Epossidiche Fotochimicamente Stabili.,2009,RE,€,"168.500,00"
LOGOMAT S.R.L.,"Progettazione e realizzazione di un sistema per il controllo dell’efficienza della 
valvola degli inalatori aerosol",2009,BO,€,"132.850,00"
LOGOS S.R.L.,"Sviluppo integrato di un analizzatore di gas multifunzionale ad alta sensibilità 
per controlli in processi industriali.",2009,PR,€,"159.500,00"
LORILABORS S.R.L.,"Progettazione CAD e realizzazione di protesi odontoiatriche combinate ed 
implantari mediante sistemi di Reverse Engineering e Rapid Manufacturing",2009,MO,€,"136.300,00"
MAHTECHS Spa,"Sistema Modulare e Distribuito per la gestione intelligente delle utenze 
elettriche in ambito Ferroviario per incremento della efficienza, risparmio 
energetico e riduzione dei costi di impianto",2009,FC,€,"187.900,00"
MANFREDINI E SCHIANCHI S.R.L.,"Identificazione della massa critica di reflui del settore agro alimentare inseribili 
nell’impasto per laterizio comune. Progettazione e produzione di impasti 
innovativi.",2009,MO,€,"108.750,00"
MARINER S.R.L.,Battelli pneumatici di nuova concezione,2009,RA,€,"79.600,00"
MARTAC SRL,"Sviluppo di un nuovo sottotacco per tacchi a spillo ad elevata resistenza  alla 
usura, all’abrasione ed alla rottura",2009,MI,€,"132.850,00"
MARZOCCHI POMPE SPA,"Sviluppo di una nuova gamma di pompe ad ingranaggi silenziose e ad elevati 
rendimenti.",2009,BO,€,"200.550,00"
MASS S.p.A.,"SVILUPPO DI UNA TECNOLOGIA ALTERNATIVA PER LA FORMATURA DI 
CERAMICHE TECNICHE AVANZATE",2009,RE,€,"169.000,00"
MCM ECOSISTEMI S.R.L.,"RICERCA E SVILUPPO SPERIMENTALE PER LA REALIZZAZIONE DI UN 
PRODOTTO INNOVATIVO DENOMINATO “TERRE RICOSTITUITE” PER IL 
RIPRISTINO DELLA FERTILITA’ DEI SUOLI ESAUSTI",2009,PC,€,"126.000,00"
MEC - Microwave Electronics for Communications,"RIGENERA_
RIcerca e sviluppo sperimentale di una nuova GENERAzione di circuiti integrati 
a microonde per telecomunicazioni",2009,BO,€,"181.950,00"
MECTILES ITALIA S.R.L.,"Ricerca progettazione e sviluppo per la creazione di innovativi sistemi di 
abbattimento ad umido di differenti tipologie di inquinanti, comprese le polveri 
anche con granulometrie inferiori a PM10, con azione fotocatalitica sui 
composti organici volatili,",2009,RE,€,"128.150,00"
MECVEL SRL,"Progettazione e realizzazione di attuatori lineari di nuova generazione ad 
elevato rendimento",2009,BO,€,"137.800,00"
MEDICA S.R.L.,"Flussimetro differenziale a distorsione per la misura diretta del calo ponderale 
di un paziente sottoposto a dialisi",2009,MO,€,"174.600,00"
MEEO S.R.L.,"SENSORER - SENSing, mOdeling, and distRibution of EnviRonmental data",2009,FE,€,"81.760,00"
METCO SRL,Metodi per ottenere superfici ceramiche battericide,2009,BO,€,"192.000,00"
MICROPRECISIONE SRL,"Sviluppo di una linea di impianti dentali con piattaforma protesica unica, di un 
innovativo cricchetto dinamometrico utilizzabile sia in ambito chirurgico che 
protesico e di un nuovo kit chirurgico.",2009,MO,€,"91.900,00"
MIXER spa,"Ideazione e messa a punto di mescole elastomeriche antifiamma mediante 
l’impiego di cariche naturali micronizzate e studio di un metodo di reticolazione 
chimico-fisico mediante irraggiamento con sorgenti a bassa energia",2009,RA,€,"99.300,00"
