Beneficiario Finale,Denominazione Progetto,Asse,Codice Obiettivo Operativo,Codice Progetto,Regione,Totale impegnato,Totale erogato (pagamenti monitorati al 31/12/2009)
FONDO 46 Analisi fattuale,FONDO 46 Analisi fattuale,I,I.2,868/a,Multireg,"25,000,000.00","25,000,000.00"
FOX BIT S.r.l.,"Piattaforma e-business innovativa per una soluzione tecnologica sistemica quale integratore dei servizi nei settori: turismo, beni culturali, agro-alimentare",I,I.3,DM23424/3,Campania,"594,826.40","76,828.50"
IBM Italia S.p.A.,Laboratorio di Bioinformatica per la Biodiversità Molecolare,I,I.3,DM19410/3,Puglia,"1,531,611.20","201,811.32"
IBM ITALIA S.p.A.,formazione avanzata di ricercatori esperti di bioinformatica per lo studio della biodiversità molecolare,I,I.3,DM19410/F3,Puglia,"2,105,000.00","631,500.00"
IBM ITALIA S.p.A.,"Piattaforma e-business innovativa per una soluzione tecnologica sistemica quale integratore dei servizi nei settori: turismo, beni culturali, agro-alimentare",I,I.3,DM23424/4,Campania,"3,585,936.40","469,938.36"
IBM ITALIA S.p.A.,"Tecnico per la gestione di sistemi intersettoriali integrati a supporto di PMI dei settori agroalimentare, turismo e beni culturali",I,I.3,DM23424/F4,Campania,"390,000.00","117,000.00"
ID TECHNOLOGY,"OpenKnowTech: Laboratorio di Tecnologie per la Integrazione, Gestione e Distribuzione di Dati, Processi e Conoscenze",I,I.3,DM21301/5,Calabria,"576,861.20","75,861.00"
IMAST SCARL - Distretto sull'Ingegneria dei Materiali Polimerici e Compositi e Strutture,TRIPODE - Laboratorio per lo sviluppo di Tecnologie di Ricerca e Integrazione di POlimeri nei Dispositivi Elettronici,I,I.3,DM20160/2 ,Campania,"3,183,950.00","1,554,454.64"
IMAST SCARL - Distretto sull'Ingegneria dei Materiali Polimerici e Compositi e Strutture,formazione di ricercatori e tecnici per la progettazione di dispositivi elettronici polimerici e delle relative apparecchiature di fabbricazione,I,I.3,DM20160/F2,Campania,"840,000.00","109,664.62"
IMAST SCARL - Distretto sull'Ingegneria dei Materiali Polimerici e Compositi e Strutture,"Progettazione Integrata di componenti multifunzionali per applicazioni in sistemi del settore ferrotranviario e dei vettori di medie dimensioni, associata alla RealizzaziOne di Speciali facilities",I,I.3,DM20162/3  ,Campania,"2,823,306.00","846,991.80"
IMAST SCARL - Distretto sull'Ingegneria dei Materiali Polimerici e Compositi e Strutture,formazione di ricercatori e tecnici di ricerca nel settore della progettazione integrata dei materiali compositi e polimerici applicati a veicoli di trasporto passeggeri e di ricercatori e tecnici specialisti nel comportamento al fuoco di detti materiali,I,I.3,DM20162/F3,Campania,"750,000.00","225,000.00"
IMAST SCARL - Distretto Tecnologico Ingegneria dei Materiali Compositi Polimerici e Strutture,Ottimizzazione delle caratteristiche Acustiche di mateRiali Compositi per l’Aeronautica [ARCA],I,I.3,DM24436,Campania,"4,565,790.00","3,733,810.52"
IMAST SCARL - Distretto Tecnologico Ingegneria dei Materiali Compositi Polimerici e Strutture,Strutture in composito per il posizionamento paziente in sistemi di diagnostica a risonanza magnetica.,I,I.3,DM24438,Campania,"1,038,660.00","934,793.99"
IMAST SCARL - Distretto Tecnologico Ingegneria dei Materiali Compositi Polimerici e Strutture,“Materiali e Circuiti Polimerici per dispositivi di memoria”,I,I.3,DM24439,Campania,"2,025,000.00","2,025,000.00"
IMAST SCARL - Distretto Tecnologico Ingegneria dei Materiali Compositi Polimerici e Strutture,Soluzioni intergrate per la progettazione e realizzazione di elementi in composito,I,I.3,DM24440,Campania,"3,998,344.00","2,838,632.36"
IMAST SCARL - Distretto Tecnologico Ingegneria dei Materiali Compositi Polimerici e Strutture,MACE -MAteriali Compositi innovativi per l’ Edilizia,I,I.3,DM24442,Campania,"2,750,400.00","2,444,957.31"
IMAST SCARL - Distretto Tecnologico Ingegneria dei Materiali Compositi Polimerici e Strutture,PRICE - PRe-Impregnati Carbon-Epossidici per applicazioni aeronautiche-spaziali,I,I.3,DM28656,Campania,"2,591,901.00", -   
Industria O.B.M. Srl,Controllo Qualità ed innovazione Tecnologica,I,I.1,10535,Campania,"2,208,675.00","1,300,190.42"
INDUSTRIE FRACCHIOLLA SRL,Biotecnologie per la produzione di uva da tavola di IV gamma,I,I.3,DM29223/3,Puglia,"221,404.00", -   
INFN - Istituto Nazionale di Fisica Nucleare - Amministrazione Centrale,Sviluppo nuovi trattamenti termici superficiali per materiali metallici,I,I.1,7051/2,Campania,"381,750.00","381,750.00"
Infotel System Srl,Demand Data Picture Archiving and Comunication System,I,I.1,6933,Campania,"785,746.00","146,430.75"
ITALCEMENTI SPA,sintesi materiali fotocatalitici,I,I.1,1649,Puglia,"3,393,000.00","944,445.54"
Itest srl,Studio sul comportamento delle membrane semipermeabili in impianti di osmosi inversa per arricchimento dei mosti,I,I.1,1106,Puglia,"490,320.00","164,392.25"
KEDRION S.p.A.,"Studio per lo sviluppo, la caratterizzazione e l'efficacia di un nuovo preparato ad azione anti-infettiva a base di anticorpi contro antigeni del virus dell'epatite C (HCV)",I,I.3,DM23147/2,Campania,"4,025,000.00","519,750.00"
KEDRION S.p.A.,Formazione di ricercatori altamente qualificati in tutte le tecnologie connesse con lo studio e la produzione di preparati ad azione antiinfettiva a base di anticorpi contro antigeni del virus dell'epatite C,I,I.3,DM23147/F2,Campania,"1,569,000.00","470,700.00"
KERR Italia SpA,studio materiali strumenti endodontici,I,I.1,6116,Campania,"183,960.00","183,960.00"
