"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
"AB ELPO spol. s r. o.",25562843,"Strategie vstupu na zahraniční trhy","OP Podnikání a inovace","ERDF",07/07/08,104550,"21.08.2008",88995,"Finalized"
"AB JET spol. s r.o.",25111647,"Komplexní informační systém ABJET","OP Podnikání a inovace","ERDF","18.11.2008",765000,,0,"Cancelled"
"ABA Šumperk, společnost s ručením
omezeným",60778997,"Nákup a implementace speciálního IS pro řízení
TPV a výrobních činností","OP Podnikání a inovace","ERDF","23.07.2010",714000,,0,"Ongoing"
"ABA Šumperk, společnost s ručením
omezeným",60778997,"Rekonstrukce prostor pro rozšíření výrobní činnosti
firmy ABA Šumperk, společnosti s ručením
omezeným","OP Podnikání a inovace","ERDF",06/05/10,4461650,,0,"Ongoing"
"ABB s.r.o.",49682563,"Rozvoj odborných kompetencí
odborně-technických pracovníků ABB s.r.o. v
PSD Trutnov v oblasti řídících systémů a systémů
chránění","OP Lidské zdroje a zaměstnanost","ESF",12/04/10,2069665,,0,"Ongoing"
"ABCD Služby školám s.r.o.",62244892,"Školicí středisko společnosti ABCD služby školám
s.r.o.","OP Podnikání a inovace","ERDF",08/02/10,377400,,0,"Ongoing"
"ABE.TEC, s.r.o.",25992333,"Nové možnosti zahraničních trhů","OP Podnikání a inovace","ERDF",06/10/08,233750,,0,"Cancelled"
"ABEGU, a.s.",40228649,"Rozšíření výzkumného a vývojového oddělení ve
firmě Abegu, a.s.","OP Podnikání a inovace","ERDF",10/03/08,12122700,"18.01.2010",7814602,"Ongoing"
"ABEX Substráty a.s.",25273221,"Realizace vzdělávacích kurzů pro zaměstnance
společnosti Abex Substráty, a.s.","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",1907826,08/03/10,763130,"Ongoing"
"ABIOGAS s.r.o.",27558908,"abiogas","OP Podnikání a inovace","ERDF","27.07.2010",24480000,,0,"Ongoing"
"ABM MORAVA ,s.r.o.",25067753,"ABM - školící středisko","OP Podnikání a inovace","ERDF","18.03.2010",357000,,0,"Ongoing"
"ABM MORAVA ,s.r.o.",25067753,"Vzdělávání zaměstnanců firmy ABM MORAVA
,s.r.o. pro zvýšení jejich adaptability a snížení
dopadů ekonomické krize","OP Lidské zdroje a zaměstnanost","ESF","15.03.2010",1324361,"19.04.2010",264872,"Ongoing"
"ABM MORAVA ,s.r.o.",25067753,"Vývoj eGroupware systému","OP Podnikání a inovace","ERDF","28.04.2009",1718700,,0,"Cancelled"
"ABNER a.s.",25915207,"Modernizace a rozšíření výroby pro zajištění
odbytových zakázek","OP Podnikání a inovace","ERDF","18.12.2008",3263150,07/04/09,3263150,"Finalized"
"ABNER a.s.",25915207,"Rekonstrukce nevyužívaných objektů pro rozšíření
výroby","OP Podnikání a inovace","ERDF","15.01.2010",2854300,,0,"Ongoing"
"ABO valve, s.r.o.",49609050,"""Výroba armatur s trojitou excentricitou""","OP Podnikání a inovace","ERDF",07/07/10,4496500,,0,"Ongoing"
"ABO valve, s.r.o.",49609050,"Podpora exportu speciálních armatur, zejména na
východních trzích.","OP Podnikání a inovace","ERDF","14.07.2008",1198500,06/08/09,803682,"Finalized"
"ABO valve, s.r.o.",49609050,"Posílení konkurenceschopnosti společnosti ABO
valve, s.r.o. prostřednictvím vzdělávání
zaměstnanců","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",1814170,08/03/10,725667,"Ongoing"
"ABO valve, s.r.o.",49609050,"Pořízení a rozšíření informačních systémů a dalších
prvků ICT","OP Podnikání a inovace","ERDF","24.08.2009",1552950,,0,"Ongoing"
"ABO valve, s.r.o.",49609050,"Rozšíření kapacity vývojového oddělení
společnosti ABO valve","OP Podnikání a inovace","ERDF",09/03/10,7284500,,0,"Ongoing"
"ABO valve, s.r.o.",49609050,"Výstavba školícího střediska v novém sídle
společnosti ABO valve, s.r.o.","OP Podnikání a inovace","ERDF","21.05.2009",4590000,,0,"Ongoing"
"ABREX s.r.o.",25665651,"Rekonstrukce objektu pro výrobu hraček","OP Podnikání a inovace","ERDF",09/10/09,19226150,"18.01.2010",19217440,"Finalized"
"ABS WYDA, s.r.o.",25326431,"Doplněním kompetencí k vyšší prosperitě malé
firmy","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",1277229,01/02/10,510891,"Ongoing"
"ABS WYDA, s.r.o.",25326431,"Implementace kreativních metod do ŠVP v kraji
VY","OP Vzdělávání pro
konkurenceschopnost","ESF",10/02/09,5568184,"26.02.2010",2480208,"Ongoing"
"ABS WYDA, s.r.o.",25326431,"KRUH - propojení klíčových hráčů v oblasti
dalšího vzdělávání dospělých v kraji Vysočina","OP Vzdělávání pro
konkurenceschopnost","ESF","17.05.2010",5228817,"26.05.2010",1045763,"Ongoing"
"ACADEMIA IREAS, o.p.s.",27197484,"Mladý podnikatel","OP Vzdělávání pro
konkurenceschopnost","ESF","30.09.2009",1203600,03/06/10,586829,"Ongoing"
"ACADEMIA IREAS, o.p.s.",27197484,"Rozvoj odborných znalostí pedagogických
pracovníků středních škol Plzeňského kraje v
oblasti společenských věd a udržitelného rozvoje","OP Vzdělávání pro
konkurenceschopnost","ESF","30.03.2009",2280508,"21.07.2010",1110089,"Ongoing"
"ACCORD, spol. s r. o.",45311528,"Dotacemi k rozvoji zaměstnanců společnosti
ACCORD, spol. s r.o.","OP Praha Adaptabilita","ESF","17.02.2010",894764,"16.06.2010",603964,"Ongoing"
"ACCOUNTING DATA s.r.o.",28551184,"Rozvoj profesního vzdělávání","OP Lidské zdroje a zaměstnanost","ESF","30.04.2010",1138622,"18.06.2010",227724,"Ongoing"
"ACET ČR o.s.",49439910,"Zavedení komplexního programu prevence
sociálně-patologických jevů na ZŠ a SŠ","OP Vzdělávání pro
konkurenceschopnost","ESF",03/03/10,6206372,"17.05.2010",2482548,"Ongoing"
"ACJ s.r.o.",25872745,"Snížení energetické náročnosti objektu společnosti
ACJ s.r.o.","OP Podnikání a inovace","ERDF","22.02.2010",918000,,0,"Ongoing"
"ACO Industries Tábor s.r.o.",26033976,"Registrace mezinárodní ochr. známky ACO
CLARA - čistírna odpadních vod","OP Podnikání a inovace","ERDF","23.07.2009",76500,,0,"Ongoing"
"ACO Stavební prvky spol. s r.o.",25980009,"Zvyšování konkurenceschopnosti společnosti ACO
Stavební prvky spol. s r.o. rozvojem lidských
zdrojů","OP Lidské zdroje a zaměstnanost","ESF",10/09/09,2098310,"29.04.2010",839324,"Ongoing"
"ACOMWARE s.r.o.",25047965,"Vzděláváním zaměstnanců ke zvýšení
konkurenceschopnosti společnosti ACOMWARE
s.r.o.","OP Praha Adaptabilita","ESF",08/03/10,841356,"29.07.2010",628974,"Ongoing"
"ACP Traductera, s.r.o.",27198286,"Posílení pozice firmy na zahraničních trzích","OP Podnikání a inovace","ERDF","15.10.2008",540600,"27.07.2009",199171,"Finalized"
"ACP Traductera, s.r.o.",27198286,"Zvýšení efektivity vzdělávání zaměstnanců ACP
Traductera, s. r. o.","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",1411560,08/03/10,564623,"Ongoing"
"ACP Traductera, s.r.o.",27198286,"Zvýšení účinnosti při přenosu a spotřebě energie","OP Podnikání a inovace","ERDF",04/02/10,981750,,0,"Ongoing"
"ACZ,spol. s r.o.",63978164,"Podpora harmonizace pracovního a rodinného
života žen Podbrdského regionu","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",3899236,"22.12.2009",1559694,"Ongoing"
"ACZ,spol. s r.o.",63978164,"Podpora harmonizace pracovního a rodinného
života žen regionu středního Povltaví","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",4196367,"15.12.2009",1678547,"Ongoing"
"AD 7, spol. s r.o.",25598074,"Snížení energetické náročnosti objektu - Hotel
Slezan","OP Podnikání a inovace","ERDF","22.01.2010",6377550,,0,"Ongoing"
"ADAMEC , spol. s r.o.",16556917,"Výrobní areál firmy Adamec s.r.o.","OP Podnikání a inovace","ERDF",07/07/10,15141900,,0,"Ongoing"
"ADAX, spol. s r.o.",63996944,"Úpravy interiéru, zkvalitnění služeb a zvýšení
standardu v hotelu Alice","ROP NUTS II Severozápad","ERDF","24.09.2009",28915095,,0,"Ongoing"
"ADLER Czech, a.s.",25409727,"Zvyšování profesních kompetencí","OP Lidské zdroje a zaměstnanost","ESF",10/09/09,2197077,08/04/10,878830,"Ongoing"
"ADM, a.s.",60742887,"Návštěva výstavy IDS Köln 2009","OP Podnikání a inovace","ERDF","15.10.2008",595000,"25.06.2009",368940,"Finalized"
"ADM, a.s.",60742887,"Patentová ochrana produktů společnosti ADM,
a.s.","OP Podnikání a inovace","ERDF",06/05/10,85000,,0,"Ongoing"
"ADM, a.s.",60742887,"Profesionalitě se můžeme naučit - vzdělávání
zaměstnanců společnosti ADM, a. s.","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",673509,"18.03.2010",269402,"Ongoing"
"ADOR CZ s.r.o.",25292331,"EKO ENERGIE- Modernizace závodu Dolní
Dobrouč","OP Podnikání a inovace","ERDF","21.01.2010",4675000,,0,"Ongoing"
"ADRIA - NEPTUN, spol. s r.o.",40766519,"Vzdělávací program ADRIA-NEPTUN aneb jak
zkvalitnit služby poskytované v cestovním ruchu","OP Praha Adaptabilita","ESF","18.02.2010",3014357,11/06/10,916343,"Ongoing"
"AEF, s.r.o.",46960988,"Vzděláváním a rozvojem k vyšší prosperitě,
konkurenceschopnosti a adaptabilitě","OP Lidské zdroje a zaměstnanost","ESF","30.11.2009",1205377,"13.05.2010",482151,"Ongoing"
"AERO Vodochody a.s.",10545,"AERO zvyšuje konkurenceschopnost na
dynamicky se rozvíjejícím poli celosvětové
letecké kooperační výroby","OP Lidské zdroje a zaměstnanost","ESF","19.05.2010",1163684,,0,"Ongoing"
"AERO Vodochody a.s.",10545,"Aero se vzdělává ve štíhlé výrobě","OP Lidské zdroje a zaměstnanost","ESF","15.01.2010",3063299,"29.04.2010",1225320,"Ongoing"
"AEV, spol. s r. o.",15529231,"Rozvoj a posílení vlastních vývojových kapacit
společnosti AEV, spol. s r. o.","OP Podnikání a inovace","ERDF",12/02/10,3832650,,0,"Ongoing"
"AEV, spol. s r. o.",15529231,"Zvýšení výkonů a konkurenceschopnosti
společnosti AEV, spol. s r. o.","OP Podnikání a inovace","ERDF",10/02/10,1848750,07/05/10,671500,"Ongoing"
"AFSI Europe s.r.o.",27325229,"Specifické vzdělávání zaměstnanců AFSI","OP Lidské zdroje a zaměstnanost","ESF","19.05.2010",4082868,,0,"Ongoing"
"AG Synerko, s.r.o.",26825716,"Další vzdělávání ve výstavbě pro techniky","OP Vzdělávání pro
konkurenceschopnost","ESF","23.02.2010",5199233,"22.07.2010",1219997,"Ongoing"
"AGADOS,spol. s r.o.",43378391,"Rozvoj zahraničních aktivit společnosti AGADOS","OP Podnikání a inovace","ERDF","22.10.2008",425000,,0,"Cancelled"
"AGENTURA J.S., s.r.o.",26038056,"Multifunkční sportovně-relaxační centrum Černé
údolí - II. etapa","ROP NUTS II Jihozápad","ERDF","28.01.2009",2850900,07/07/09,2817905,"Finalized"
"AGENTURA OSMA a.s.",40942171,"Zavedení moderního IS ve společnosti
AGENTURA OSMA a.s.","OP Podnikání a inovace","ERDF","16.10.2009",714000,"18.02.2010",698864,"Finalized"
"AGILE spol. s r.o.",15030741,"Efektivní vzdělávání, osobnostní rozvoj a zvýšení
adaptability zaměstnanců AGILE spol. s r.o.","OP Lidské zdroje a zaměstnanost","ESF","30.07.2009",2482279,08/03/10,992911,"Ongoing"
"AGILE spol. s r.o.",15030741,"Nákup recyklační linky na úpravu stavebních
odpadů","OP Životní prostředí","CF","17.03.2010",7627475,"13.05.2010",7627475,"Ongoing"
"AGILE spol. s r.o.",15030741,"Rekonstrukce a přístavba haly na výrobu
zámečnických a truhlářských výrobků
Průmyslová zóna Vysoké Mýto","OP Podnikání a inovace","ERDF",09/10/09,14467000,,0,"Ongoing"
"AGORA s.r.o.",48952109,"Intenzifikace kompostárny Želivec","OP Životní prostředí","CF","26.04.2010",4199510,"23.07.2010",4185053,"Ongoing"
"AGOS stavební a.s. Pelhřimov",46679626,"Zateplení budov a výměna oken Tomáše ze
Štítného 634, Pelhřimov","OP Podnikání a inovace","ERDF","30.04.2010",1445850,,0,"Ongoing"
"AGRA GROUP a.s.",26020343,"Přihláška vynálezu - přípravek na bázi flavanonol
lignanů a způsob jeho přípravy","OP Podnikání a inovace","ERDF","29.06.2009",42500,,0,"Ongoing"
"AGRA GROUP a.s.",26020343,"Registrace ochranné známky - rozpouštěcí a
stabilizační komplex produktu","OP Podnikání a inovace","ERDF","29.09.2009",390150,,0,"Ongoing"
"AGRA GROUP a.s.",26020343,"Registrace ochranné známky alkoholického nápoje
- na významných zahraničních trzích","OP Podnikání a inovace","ERDF","29.06.2009",390150,,0,"Ongoing"
"AGRA GROUP a.s.",26020343,"Registrace ochranné známky nealko nápoje - na
významných zahraničních trzích","OP Podnikání a inovace","ERDF","29.06.2009",390150,,0,"Ongoing"
"AGRA GROUP a.s.",26020343,"Rekonstrukce kotelny a modernizace malé vodní
elektrárny v AGRA GROUP a.s.","OP Podnikání a inovace","ERDF",01/09/08,1360000,09/01/09,1360000,"Finalized"
"AGRA GROUP a.s.",26020343,"Vynález - kapalná kompozice s obsahem derivátu
triamidu kyseliny fosforečné nebo thiofosforečné a
její použití","OP Podnikání a inovace","ERDF",08/10/09,56950,,0,"Ongoing"
"AGRA GROUP a.s.",26020343,"Způsob úpravy obsahu polyfenolů a křemíku v
pivu a nápojích na bázi piva","OP Podnikání a inovace","ERDF",08/10/09,56950,,0,"Ongoing"
"AGRAT, s.r.o.",26492938,"Rozšíření činnosti - nákup technologie pro AGRAT,
s.r.o.","OP Podnikání a inovace","ERDF","17.09.2008",1729750,,0,"Cancelled"
"AGRICOL s.r.o.",46506721,"Modernizace technologické linky na plnění
majonézy do skla AGRICOL s.r.o.","OP Podnikání a inovace","ERDF",04/06/10,3909150,,0,"Ongoing"
"AGRIMEX, spol. s r.o.",18127495,"Plnicí linka pro společnost AGRIMEX","OP Podnikání a inovace","ERDF","26.04.2010",1989000,,0,"Ongoing"
"AGRIPROD CZ a.s.",26019078,"Agroturistické centrum Dvůr Vondrov -
rekonstrukce jezdeckých stájí","ROP NUTS II Jihozápad","ERDF","15.09.2008",4063999,"25.11.2009",4063999,"Finalized"
"AGRIPROD CZ a.s.",26019078,"Dvůr Vondrov - revitalizace historické památky","ROP NUTS II Jihozápad","ERDF",05/02/09,25174975,01/03/10,17302483,"Ongoing"
"AGRIPROD CZ a.s.",26019078,"Revitalizace hotelu Podhrad - 3. etapa","ROP NUTS II Jihozápad","ERDF",09/09/08,9976025,"19.03.2009",9976025,"Finalized"
"AGRIPROD CZ a.s.",26019078,"Wellness hotel Knížecí Dvůr - 3. etapa","ROP NUTS II Jihozápad","ERDF",06/02/09,8206050,"23.12.2009",7790714,"Finalized"
"AGRO CS a.s.",64829413,"Komplexním vzděláváním zaměstnanců
společnosti AGRO CS, a.s. ke zmírnění dopadů
ekonomické krize","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",3559761,08/03/10,1423903,"Ongoing"
"AGRO CS a.s.",64829413,"ROZŠÍŘENÍ A ZKVALITNĚNÍ NAKLÁDÁNÍ S
ODPADY NA BIOPLYNOVÉ STANICI V
JAROMĚŘI","OP Životní prostředí","CF","14.05.2010",10553146,"27.07.2010",6678824,"Ongoing"
"AGRO CS a.s.",64829413,"Rekonstrukce výrobního areálu (areál bývalé
Tiby) pro výrobní účely společnosti AGRO CS","OP Podnikání a inovace","ERDF","24.07.2009",30552400,,0,"Ongoing"
"AGRO CS a.s.",64829413,"Vybudování školícího střediska v novém areálu
společnosti AGRO CS","OP Podnikání a inovace","ERDF",09/06/09,2638400,,0,"Ongoing"
"AGRO ENERGO a.s.",27445291,"BPS Žihle","OP Podnikání a inovace","ERDF","29.10.2008",5457000,"30.04.2009",4321707,"Finalized"
"AGRO-EKO spol. s r.o.",45193967,"Inovace stroje na zpracování biomasy a
bioodpadu EWA k výrobě biopaliva","OP Podnikání a inovace","ERDF",09/12/09,2550000,,0,"Ongoing"
"AGRO-EKO spol. s r.o.",45193967,"Ochrana PPV na způsob a zařízení pro
pyrolytickou přeměnu spalitelného materiálu","OP Podnikání a inovace","ERDF","20.05.2009",246500,,0,"Ongoing"
"AGRO-EKO spol. s r.o.",45193967,"Ochrana PPV na způsob přeměny
biodegradabilního hygienicky nestabilního
substrátu na hygienicky stabilizovaný výrobek","OP Podnikání a inovace","ERDF","20.05.2009",236300,,0,"Ongoing"
"AGRO-EKO spol. s r.o.",45193967,"Rekonstrukce nevyužité výrobní haly v
Albrechticích","OP Podnikání a inovace","ERDF","23.07.2010",3100800,,0,"Ongoing"
"AGROCORP s.r.o.",60727055,"Bioplynová stanice Spytihněv","OP Podnikání a inovace","ERDF","24.09.2008",5559000,"16.01.2009",3570000,"Ongoing"
"AGROFRUKT, družstvo",49455451,"Ubytování na hipo,cyklo a pěší stezce","ROP NUTS II Jihovýchod","ERDF",01/03/10,9391869,,0,"Ongoing"
"AGROMONT VIMPERK spol. s r.o.",46679987,"MINIMLÉKÁRNA - MODULÁRNÍ SYSTÉM","OP Podnikání a inovace","ERDF",03/11/09,2346000,,0,"Ongoing"
"AGROP NOVA a.s.",26243237,"Prezentace nových výrobků NOVATOP
Elements a NOVATOP Static a podpora prodeje
stávajících produktů společnosti AGROP NOVA
a.s. na zahraničních trzích","OP Podnikání a inovace","ERDF","27.10.2008",1066750,,0,"Cancelled"
"AGROSERVIS JaS s.r.o.",27641724,"Energetické úspory ve společnosti AGROSERVIS
JaS s.r.o.","OP Podnikání a inovace","ERDF","28.12.2009",1790950,,0,"Ongoing"
"AGROSTROJ Pelhřimov, a.s.",9971,"Inovace mulčovač 2008","OP Podnikání a inovace","ERDF","23.11.2009",11390000,,0,"Ongoing"
"AGROTEC a.s.",544957,"Zvýšení adaptability a konkurenceschopnosti
zaměstnanců AGROTEC a.s. a jeho dceřiných
společností","OP Lidské zdroje a zaměstnanost","ESF","15.01.2010",5680859,11/06/10,2272343,"Ongoing"
"AGS-DUO, spol. s r.o.",61946206,"Zefektivnění a zkvalitnění výroby v oblasti
obrábění.","OP Podnikání a inovace","ERDF","22.09.2008",3505400,02/12/09,589374,"Finalized"
"AHOL - Střední škola gastronomie,
turismu a lázeňství",71340815,"Vytváření vzdělávacích programů v souladu s
Národní soustavou kvalifikací a jejich pilotní
ověřování","OP Vzdělávání pro
konkurenceschopnost","ESF","22.02.2010",1481110,"16.03.2010",296222,"Ongoing"
"AHOL - Vyšší odborná škola o.p.s.",25355414,"Vybudování a vybavení multimediální učebny a
zavádění e-learningu do výuky AHOL-Vyšší
odborné školy","ROP NUTS II Moravskoslezsko","ERDF","23.10.2009",3054245,12/02/10,1913234,"Ongoing"
"AHORN CZ, s.r.o.",25588338,"Rozšíření a zkvalitnění služeb v segmentu B2B
zákazníků","OP Podnikání a inovace","ERDF","27.04.2010",1122000,,0,"Ongoing"
"AHORN CZ, s.r.o.",25588338,"Rozšíření marketingových aktivit společnosti
AHORN CZ, s.r.o. na zahraničních trzích","OP Podnikání a inovace","ERDF","29.07.2008",476000,,0,"Cancelled"
"AHORN CZ, s.r.o.",25588338,"Rozšíření technologie konstrukčního opracování a
povrchového dokončení dílců pro lamelové rošty","OP Podnikání a inovace","ERDF","22.09.2008",2805000,,0,"Ongoing"
"AHRA - Consulting, s.r.o.",25378856,"Zefektivnění a zatraktivnění výuky pedagogů na
ZŠ a SŠ včetně aplikování moderních forem
výuky s důrazem na e-learning a využívání
moderní výpočetní techniky a vizualizačních
pomůcek","OP Vzdělávání pro
konkurenceschopnost","ESF","20.11.2009",2369922,07/06/10,637241,"Ongoing"
"AION CS, s.r.o.",60738634,"Rozvoj služeb společnosti AION CS, s.r.o. v
oblasti ICT","OP Podnikání a inovace","ERDF",10/03/09,2974150,"18.03.2010",996306,"Ongoing"
"AIR ČENKOV, a.s.",25054864,"Rekonstrukce haly AIR Čenkov","OP Podnikání a inovace","ERDF","29.10.2009",5906650,,0,"Ongoing"
"AIR ČENKOV, a.s.",25054864,"Zavedení výroby inovovaných
elektropneumatických ventilů AIR Čenkov","OP Podnikání a inovace","ERDF","16.10.2009",14949800,,0,"Ongoing"
"AISIS",67798853,"Minimalizace šikany","OP Vzdělávání pro
konkurenceschopnost","ESF","24.07.2009",40306994,"21.10.2009",10076748,"Ongoing"
