Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
Vitali Logussov FIE,11649519,FŸŸsilisest isikust ettev›tja,Kvalifikatsiooni t›stmise kursused keevitajale,14 750,19.01.2010 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Vitale-XD O†,10264929,OsaŸhing,O† Vitale-XD ravimiohutusjŠrelvalve sŸsteemi vŠljatšštamine ja juurutamine,36 250,19.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Vitadent O†,11292810,OsaŸhing,Hambaravikabineti arenemine,165 500,29.04.2008 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Visahing Designer Agency O†,11284360,OsaŸhing,TEADMISTE JA OSKUSTE ARENDAMISE TOETUS,8 472,12.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Virumaa Teenus O†,11234942,OsaŸhing,Tšštaja koolitus energiaauditi sooritamise kvalifikatsiooni saamiseks,15 000,15.01.2010 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Virumaa Teed AS,11521392,Aktsiaselts,Muudatuste efektiivne juhtimine ja muudatustega toimetulek,36 462,16.06.2009 ... 23.11.2009,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Virumaa Teed AS,11521392,Aktsiaselts,AS Virumaa Teed kvaliteedijuhtimissŸsteemi vŠljaarendamine,49 500,15.12.2009 ... ,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Viru Paas O†,11436670,OsaŸhing,Viru Paas O† tootmisseadme soetamine,200 000,27.05.2008 ... ,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Viru Konsortsium O†,10316454,OsaŸhing,Viru Konsortsium O† ISO 9001:2008 kvaliteedijuhtimise sŸsteemi loomise arenguprojekt,36 000,15.12.2009 ... ,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Vira Baltic O†,11484001,OsaŸhing,Vira Baltic O† arengu alane strateegiline n›ustamine,49 500,11.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
