Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
Vaheseinatehas OÜ ,10189010,Osaühing ,Walleniumi eksporditurunduse plaan ,1 500 000 ,16.09.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Vaata Maailma sihtasutus ,90006377,Sihtasutus ,E-teenuste interaktiivne veebikoolitus ,994 500 ,29.05.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Vaata Maailma sihtasutus ,90006377,Sihtasutus ,ID nõustamiskeskus ,2 786 640 ,28.04.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Vaata Maailma sihtasutus ,90006377,Sihtasutus ,E-buss ,1 559 685 ,29.05.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Vaata Maailma sihtasutus ,90006377,Sihtasutus ,avalike e-teenuste nõustamispunktid ,3 036 524 ,29.05.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Vaata Maailma sihtasutus ,90006377,Sihtasutus ,E-kodaniku koolitusvõrgustik ,6 565 400 ,29.05.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Vaata Maailma sihtasutus ,90006377,Sihtasutus ,Mobiilne koolitusboks ,3 271 310 ,29.05.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
V.G.A. Kaubandus AS ,10113573,Aktsiaselts ,VGA eksporditurundus ,1 462 000 ,05.05.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Uvic AS ,10259621,Aktsiaselts ,AS UVIC eksporditurgudele laienemine ,1 470 000 ,29.09.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Uus-Sauga 38 KÜ ,80168156,Mittetulundusühing ,Uus-Sauga 38 KÜ ,6 150 ,12.08.2009 ... 28.10.2009 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
UseSoft AS ,10308124,Aktsiaselts ,Prodmaster ERP arendusprojekt ,3 116 710 ,26.11.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
UseSoft AS ,10308124,Aktsiaselts ,Prodmaster MRP II arendus ja ekspordiprojekti eeluuring ,284 866 ,16.04.2009 ... 08.09.2009 ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
UPTIME OÜ ,10308733,Osaühing ,Ärianalüüsi ja modelleerimise infosüsteemi väljaarendamine täisteenusliisingu ja autoparkide haldusteenuse firmadele ,225 413 ,22.12.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Universal Industries OÜ ,10104002,Osaühing ,Universal Industries OÜ testimiskeskuse loomine ,8 766 694 ,31.12.2008 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Universal Industries OÜ ,10104002,Osaühing ,Universal Industries ekspordiplaani elluviimine ,1 500 000 ,16.12.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
United Steel Door Industries OÜ ,11671364,Osaühing ,OÜ UNITED STEEL DOOR INDUSTRIES ekspordi turundusplaan araabia Riikides ja SRÜ-s ,1 000 000 ,06.10.2009 ...  ,Tartu maakond ,3.1.10Ühisturunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
United Dogs and Cats OÜ ,11331119,Osaühing ,Uniteddogs.com ja Unitedcats.com ekspordiplaan ,120 500 ,26.02.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Uniprint AS ,10180701,Aktsiaselts ,Tootmisprotsessi uuendamine AS Uniprint. ,4 760 577 ,29.07.2009 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Unipress AS ,10860100,Aktsiaselts ,Trükiste ekspordi laiendamine ,1 130 000 ,16.06.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
ultraKUB OÜ ,11551499,Osaühing ,Energiasimulatsiooni ja test-mõõtetööde teostamine ja nõustamine. ,50 000 ,30.04.2009 ... 30.09.2009 ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Uksekoda OÜ ,10321490,Osaühing ,Uksekoda OÜ ekspordiplaan 2008-2009 ,952 400 ,07.10.2008 ...  ,Tartu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Uksekoda OÜ ,10321490,Osaühing ,Tootearenduse tuletõkkealased katsetused ,50 000 ,10.03.2009 ... 30.09.2009 ,Tartu maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Türi Vallavalitsus ,75033460,Kohaliku omavalituseüksused ,Türi Avatud Noortekeskuse rekonstrueerimine ,6 143 831 ,24.09.2009 ...  ,Järva maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Türi Vallavalitsus ,75033460,Kohaliku omavalituseüksused ,Türi kultuurimaja rekonstrueerimine ,28 510 641 ,11.06.2009 ...  ,Järva maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Türi Toimetulekukool ,75006291,Kohaliku omavalituseüksused ,Türi Toimetulekukooli hoonele õpilaskodu juurdeehitus ja õuerajatiste rajamine ,5 164 758 ,27.11.2009 ...  ,Järva maakond ,2.5.3 Hariduslike erivajadustegaõpilaste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Türi Tallinna 35 KÜ ,80276124,Mittetulundusühing ,Türi Tallinna 35 KÜ ,5 120 ,21.08.2009 ... 28.10.2009 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Tööturuamet ,70005364,Riiklikudüksused ,Tööturuamet 2008 HTA ,2 519 971 ,09.07.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Tööturuamet ,70005364,Riiklikudüksused ,Tööturuamet 2009 HTA ,2 617 320 ,18.02.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Tähtvere Vallavalitsus ,75015404,Kohaliku omavalituseüksused ,Ilmatsalu Põhikooli rekonstrueerimine ,4 530 351 ,03.11.2009 ...  ,Tartu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tõrva Linnavalitsus ,75005699,Kohaliku omavalituseüksused ,Tõrva lasteaia 'Mõmmik' rekonstrueerimine ,11 226 156 ,25.06.2009 ...  ,Valga maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tuuru SA ,90000452,Sihtasutus ,Hiiumaa tööstusklastri algatus ,144 960 ,20.11.2008 ... 01.02.2010 ,Hiiu maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tuuru SA ,90000452,Sihtasutus ,Alihankinta 2009 ja Automaatio 2009 külastamine ,43 257 ,08.10.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Turismiklaster MTÜ ,80275583,Mittetulundusühing ,Turismiklastri algatus- Külalislahkem Eesti ,153 787 ,20.11.2008 ...  ,Tartu maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tudulinna Vallavalitsus ,75004205,Kohaliku omavalituseüksused ,Tudulinna lasteaia rekonstrueerimine ,7 161 047 ,16.02.2010 ...  ,Ida-Viru maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Trives OÜ ,10887406,Osaühing ,Trives OÜ Ekspordiplaan 2008 ,1 262 500 ,16.09.2008 ...  ,Tartu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Trilliants OÜ ,10810177,Osaühing ,By karin E turustamine ja turundamine välisturgudel ,309 750 ,31.12.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TreTimber OÜ ,10638717,Osaühing ,TreTimber 2. termoahi ,6 790 624 ,31.12.2008 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TreTimber OÜ ,10638717,Osaühing ,Eksporditurundus ,1 168 735 ,07.10.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Trek Grupp OÜ ,11109728,Osaühing ,Trek Grupp OÜ eksporditurunduse programm aastateks 2008 - 2010 ,336 500 ,21.08.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Travel Balt OÜ ,10972649,Osaühing ,Konsultatsioon ja tootearendus eri rahvusest klientide paremaks teenindamiseks ,49 970 ,22.12.2009 ...  ,Ida-Viru maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Transparent Flux OÜ ,11697777,Osaühing ,Project Amundsen (patendiuuring loodavale tarkvarale) ,49 880 ,16.02.2010 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tori Vallavalitsus ,75011760,Kohaliku omavalituseüksused ,Tori põhikooli võimla ehitus ,8 083 330 ,23.09.2008 ... 10.08.2009 ,Pärnu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TOP Marine OÜ ,11001787,Osaühing ,Paadisildade eksport ,196 250 ,21.01.2010 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toompuiestee 33 KÜ ,80142530,Mittetulundusühing ,Toompuiestee 33 KÜ ,6 077 ,21.08.2009 ... 28.10.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Toom Tekstiil AS ,10250287,Aktsiaselts ,Heimtextil ,301 500 ,29.12.2009 ...  ,Viljandi maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toom Tekstiil AS ,10250287,Aktsiaselts ,Lapimessid ,193 000 ,26.05.2009 ... 18.12.2009 ,Viljandi maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tondi Tennisekeskus OÜ ,11520501,Osaühing ,Rahvusvaheline Tennisespordi Keskus ja Tenniseakadeemia ,50 000 000 ,21.07.2009 ...  ,Harju maakond ,3.1.13 Turismitoodete arendamise toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toila Sanatoorium AS ,10338119,Aktsiaselts ,Toila Sanatooriumi ekspordi turundusplaani elluviimine ,1 498 917 ,21.08.2009 ...  ,Ida-Viru maakond ,3.1.5 Ettevõtja turismiturunduse toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toidu- ja Fermentatsioonitehnoloogia Arenduskeskus MTÜ ,80206810,Mittetulundusühing ,Nanoamorfse külmutatud toidu tehnoloogia ,219 857 ,01.09.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toidu- ja Fermentatsioonitehnoloogia Arenduskeskus MTÜ ,80206810,Mittetulundusühing ,COMPETENCE CENTER OF FOOD AND FERMENTATION TECHNOLOGIES ,110 017 881 ,28.05.2009 ...  ,Harju maakond ,3.1.9 Tehnoloogia arenduskeskuste toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toidu- ja Fermentatsioonitehnoloogia Arenduskeskus MTÜ ,80206810,Mittetulundusühing ,Competence Center of Food and Fermentation Technologies ,14 140 041 ,26.08.2008 ...  ,Harju maakond ,3.1.9 Tehnoloogia arenduskeskuste toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toidu- ja Fermentatsioonitehnoloogia Arenduskeskus MTÜ ,80206810,Mittetulundusühing ,Premium-klassi kääritatud õunamahlatoodete valmistamine Eesti tooraine baasil ,175 100 ,19.05.2009 ... 01.10.2009 ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Toidu- ja Fermentatsioonitehnoloogia Arenduskeskus MTÜ ,80206810,Mittetulundusühing ,Kolmemõõtmelise front-face fluoresents-spektromeetria rakendamine ,2 160 716 ,11.12.2008 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Titanium System OÜ ,10955148,Osaühing ,CRBMS Uued turud ,1 729 000 ,04.08.2009 ...  ,Tartu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Titanium System OÜ ,10955148,Osaühing ,CRBMS Ekspordiplaan ,1 400 000 ,08.07.2008 ... 05.06.2009 ,Tartu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Titania Tõlked OÜ ,11213986,Osaühing ,Tõlkemälude turvalisuse tagamine terminalserveris töötamisel ,50 000 ,05.01.2010 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tiptiptap OÜ ,11043461,Osaühing ,Tiptiptap OÜ mänguväljakute eksport aastatel 2008-2010 ,1 500 000 ,16.12.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tiptiptap OÜ ,11043461,Osaühing ,Konsultatsioonid laste motoorika arengut toetavate mänguväljakute mudelite koostamisel ,37 941 ,15.10.2009 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tilde Eesti OÜ ,10647228,Osaühing ,Web-based Multilingual Automated Terminology Translation System ,767 000 ,26.02.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tiksoja Puidugrupp AS ,10151651,Aktsiaselts ,Vesialuseliste toodete pihustamise viimistlusautomaatliin ,3 614 740 ,20.07.2009 ...  ,Tartu maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TFL Estonia MTÜ ,80278672,Mittetulundusühing ,'Transiitmaa Eesti võimalused' turundusreis Hiina Rahvavabariiki Märts 2009 ,211 000 ,31.03.2009 ... 16.09.2009 ,Üleriiklikud/maakondade vahelised projektid ,3.1.10Ühisturunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TFL Estonia MTÜ ,80278672,Mittetulundusühing ,Logistika turunduse ja müügi klaster ,390 000 ,01.12.2009 ...  ,Harju maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tervisliku Piima Biotehnoloogiate Arenduskeskus OÜ ,11077336,Osaühing ,Bio Competence Centre of Healthy Dairy Products ,12 776 665 ,26.08.2008 ...  ,Tartu maakond ,3.1.9 Tehnoloogia arenduskeskuste toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tervisliku Piima Biotehnoloogiate Arenduskeskus OÜ ,11077336,Osaühing ,Bio-Competence Centre of Healthy Dairy Products ,114 305 960 ,28.05.2009 ...  ,Tartu maakond ,3.1.9 Tehnoloogia arenduskeskuste toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tervisliku Piima Biotehnoloogiate Arenduskeskus OÜ ,11077336,Osaühing ,Eeltaotlus piima klastri moodustamiseks ,397 500 ,20.11.2008 ... 12.02.2010 ,Tartu maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Teraviljatoode OÜ ,11577286,Osaühing ,Teraviljatoode OÜ toodete kaitsmine kasuliku mudeliga ,37 800 ,19.01.2010 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Terasplast OÜ ,10801646,Osaühing ,"Sujuval reguleeritava hüdromootori/pumba parameetrite mõõtmine, testimine ",48 000 ,31.03.2009 ... 18.01.2010 ,Tartu maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Terasman OÜ ,10750914,Osaühing ,Ekspordiplaan uutele turgudele sisenemiseks ,277 220 ,14.04.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Teooria OÜ ,11551789,Osaühing ,Ühtne eesti ja vene keelne e-õppeprogramm autokoolidele ,50 000 ,24.09.2009 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tene Kaubandus OÜ ,10430670,Osaühing ,Tene Kaubanduse Hispaania ekspordi arendamise projekt 2008-2010 ,1 498 880 ,18.11.2008 ...  ,Lääne maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Temper OÜ ,10294184,Osaühing ,OÜ Temper CNC-plasmalõikuspingi ja CNC-painutuspingi soetamine ,1 067 156 ,31.12.2008 ... 03.07.2009 ,Lääne-Viru maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Telema AS ,10584597,Aktsiaselts ,Tarneahela infovoogude integratsiooni platvormi tootearenduse eeluuring ,199 800 ,11.08.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Telema AS ,10584597,Aktsiaselts ,Läti ja Leedu turu hõivamine sihipärase turundustegevuse toel ,1 749 300 ,01.12.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Telegrupp AS ,10201478,Aktsiaselts ,Kodu ja väikekontorite videovalvelahenduste tehnoloogia uurimine ,246 240 ,21.07.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tehvandi Spordikeskus SA ,90007715,Sihtasutus ,Tehvandi staadioni rekonstrueerimine multifunktsionaalseks aastaringse kasutusega rahvusvaheliseks spordi- ja turismikompleksiks ,59 500 000 ,18.06.2009 ...  ,Valga maakond ,2.4.4Üleriigilise tähtsusega kultuuri- ja turismiobjektide väljaarendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Technomar&Adrem AS ,10282494,Aktsiaselts ,Parketi ekspordi arendamine ,1 500 000 ,20.01.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tech Group AS ,10786243,Aktsiaselts ,Tehnoloogiaalane teadlikkuse tõstmine visuaalse ja ergonoomika disaini ning Rapid Prototyping (RP) suunal ,49 920 ,01.10.2009 ... 21.12.2009 ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Teamwood OÜ ,11031765,Osaühing ,Teamwood OÜ investeeringustrateegia 2009-2015 ,1 424 000 ,20.07.2009 ...  ,Ida-Viru maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Teaduskeskus AHHAA SA ,90007572,Sihtasutus ,Teaduskeskus AHHAA uue hoone ehitamine koos püsiekspositsiooni ehitusega ,80 000 000 ,17.09.2009 ...  ,Tartu maakond ,2.4.4Üleriigilise tähtsusega kultuuri- ja turismiobjektide väljaarendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TBD-Biodiscovery OÜ ,11204964,Osaühing ,Antratsükliinse antibiootikumi semisünteetilise tehnoloogia arendus - rakendusuuring ,7 729 153 ,18.06.2009 ...  ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TBD-Biodiscovery OÜ ,11204964,Osaühing ,Antratsükliinse antibiootikumi semisünteetilise tehnoloogia arendus- eeluuring ,226 535 ,14.10.2008 ... 24.03.2009 ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TBD-Biodiscovery OÜ ,11204964,Osaühing ,Urokaanhappe ja zoledroonhappe uute sünteesitehnoloogiate väljatöötamine- eeluuring ,131 039 ,27.10.2009 ...  ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tarvastu Vallavalitsus ,75012191,Kohaliku omavalituseüksused ,Tarvastu lasteaia rekonstrueerimine ,7 332 794 ,02.12.2008 ...  ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Tarvastu Vallavalitsus ,75012191,Kohaliku omavalituseüksused ,Tarvastu Muusika- ja Kunstikooli rekonstrueerimine ,5 929 425 ,29.05.2009 ...  ,Viljandi maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Tarvastu Vallavalitsus ,75012191,Kohaliku omavalituseüksused ,Kärstna mõisa peahoone renoveerimine Kärstna lasteaia sissekolimiseks ,3 632 463 ,09.12.2008 ... 12.01.2010 ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TartuÜlikooli Kliinikum SA ,90001478,Sihtasutus ,TartuÜlikooli Kliinikumi Maarjamõisa meditsiinilinnaku II ehitusjärk ,510 000 000 ,09.04.2009 ...  ,Tartu maakond ,2.6.1 Kesk- ja piirkondlike haiglate infrastruktuuri optimeerimine ,ERDF ,Sotsiaalministeerium ,2007-2013 
TartuÜlikool ,74001073,Riiklikudüksused ,Bioloogilise mitmekesisuse tippkeskus ,67 910 000 ,07.07.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.2.1 Teaduse tippkeskuste arendamine ,ERDF ,Sihtasutus Archimedes ,2007-2013 
TartuÜlikool ,74001073,Riiklikudüksused ,TartuÜlikooli keskkonna- ja materjalianalüüsi teaduskeskus ,303 855 000 ,19.01.2009 ...  ,Tartu maakond ,3.2.2 Teadus- ja arendusasutuste ning kõrgkoolide õppe- ja töökeskkonna infrastruktuuri kaasajastamine ,ERDF ,Sihtasutus Archimedes ,2007-2013 
TartuÜlikool ,74001073,Riiklikudüksused ,BACNet tester ,3 848 457 ,03.03.2009 ...  ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
TartuÜlikool ,74001073,Riiklikudüksused ,Tartu Tähetorni kui UNESCO maailmapärandi objekti restaureerimine ja kaasajastamine külastuskeskusena ,21 014 639 ,15.01.2009 ...  ,Tartu maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
