Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A536828,EAKR,Energiapuukorjuun aloittaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,25.10.2007,31.7.2008,METSƒ TOMMOLA KY,3 300,3 300,3 300,3 300,6 600,6 600
A536829,EAKR,Kansainv‰listymisen laajentamishanke.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,26.10.2007,31.12.2009,ENVIRONICS OY,53 998,0,44 002,0,98 000,0
A536833,EAKR,"Komposiittimoduulien tuotteistaminen, markkinakartoitukset ja messuosallistumiset ulkomailla.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,25.10.2007,31.12.2009,JOPTEK OY COMPOSITES,47 198,0,30 302,0,77 500,0
A536843,EAKR,Punkaharjun Kes‰maan kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,29.10.2007,30.6.2011,FINLAND EASYHOLIDAY OY,215 586,150 033,138 414,96 328,354 000,252 359
A536883,EAKR,Laiteinvestoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,1.11.2007,1.12.2008,KILPIYKK÷SET KY,2 741,1 410,1 759,906,4 500,2 316
A536889,EAKR,Leipomotoiminnan kehitt‰minen ja laajennus,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.11.2007,31.7.2010,SIRKAN RAVINTOLAT OY,38 367,19 747,24 633,12 679,65 775,33 254
A536893,EAKR,Ohjelmistosuunnittelutoimiston perustaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,1.11.2007,30.6.2009,PROTACON SOFTWARE OY,9 805,4 294,6 295,2 757,16 100,7 051
A536894,EAKR,Toiminnan k‰ynnist‰minen Miktech-yrityshautomossa,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.11.2007,30.10.2009,TAJA MEDIA KY,7 607,1 944,4 883,1 249,12 490,3 193
A537008,EAKR,Kone- ja laitehankinnat metalliyrityksen toiminnan aloittamiseen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,14.11.2007,31.10.2008,RIITEK OY,4 491,0,3 659,0,8 150,0
A537018,EAKR,Sis‰-Savon seudulliset yrityspalvelut,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,15.11.2007,31.12.2010,SISƒ-SAVON SEUTUYHTYMƒ,111 550,46 228,0,0,185 929,56 735
A537019,EAKR,Tehtaan laajennus.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,14.11.2007,30.9.2010,KUHMON BETONI OY,36 992,13 311,36 258,13 048,73 250,26 359
