,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536943,EAKR,Liiketoiminnan ja kansainvälistymisen käynnistäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,6.11.2007,30.11.2008,DERMAGENE OY,5 000,3 783,5 000,3 782,10 000,7 565
A536946,EAKR,Toiminnan laaajentaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,7.11.2007,1.5.2009,MMM INVEST OY,80 100,79 853,120 150,119 780,200 250,199 633
A536953,EAKR,Tuotantokapasiteetin lisääminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,8.11.2007,30.6.2008,CLIMETIC OY,13 653,12 880,31 857,30 053,45 510,42 933
A536966,EAKR,eFactory2012,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,9.11.2007,31.12.2009,METECO OY,166 200,119 876,249 300,179 815,415 500,299 691
A536977,EAKR,Tuotantokapasiteetin lisäys,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,12.11.2007,31.12.2008,AISIKON OY,8 070,8 070,12 310,12 308,20 380,20 378
A536978,EAKR,"Tuotekehityksen, suunnittelun ja tuotannon virtaviivaistaminen",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,9.11.2007,30.6.2010,FORSFOOD OY,59 281,0,90 419,0,149 700,0
A536994,EAKR,Toiminnan tehostaminen ja laajentaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,13.11.2007,30.6.2008,AKAAN KONDITORIA OY,8 400,2 034,8 400,2 034,16 800,4 068
A535842,EAKR,Tuotannon kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,19.7.2007,30.9.2009,SATATERÄS OY,49 528,44 245,74 292,66 368,123 820,110 613
A535847,EAKR,Yritystoiminnan aloittaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,17.7.2007,30.9.2008,DEMIDOO OY,8 244,8 244,12 366,12 366,20 610,20 610
A535893,EAKR,Markkinointistrategia,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,6.8.2007,30.3.2009,PORIN 1-SANEERAUS & SIIVOUS AVOIN YHTIÖ,4 200,2 271,6 300,3 405,10 500,5 676
A535898,EAKR,Avainhenkilön palkkaus,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,2.8.2007,31.7.2008,INSINÖÖRITOIMISTO PROLINE OY,7 500,7 126,7 500,7 124,15 000,14 250
A535945,EAKR,Automaattinen tiedonkeruu,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,10.8.2007,15.12.2008,PELLONPAJA OY,10 835,0,16 525,0,27 360,0
A535947,EAKR,König Artisan SFR-laitteiston hankinta,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,10.8.2007,30.4.2008,PYYMÄEN LEIPOMO OY,11 625,11 625,11 625,11 625,23 250,23 250
A535967,EAKR,Tuhkankäsittelylaitos,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,13.8.2007,31.12.2009,FA FOREST OY,172 100,172 100,172 100,172 100,344 200,344 200
A536021,EAKR,Tehokas ja kannattava kasvu,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,16.8.2007,30.6.2010,EMECA OY,27 540,20 996,41 310,31 494,68 850,52 490
A536031,EAKR,Tuotannon kehittämisinvestoinnit,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,16.8.2007,30.6.2010,ÄÄNEKOSKEN HITSAUS-KOLMIO OY,15 000,8 768,15 000,8 768,30 000,17 536
A535681,EAKR,Dr. Elma kehityshanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,29.6.2007,30.6.2009,DR.ELMA OY,13 500,7 242,13 500,7 240,27 000,14 482
A535695,EAKR,Tuotannon kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,15.7.2007,31.12.2009,LIUSKEMESTARIT  & CO  OY,30 200,10 916,45 300,16 375,75 500,27 291
A535696,EAKR,Huonekaluteollisuuden joustava valmistusjärjestelmä,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,2.7.2007,31.12.2010,NIEMEN TEHTAAT OY,34 860,0,52 290,0,87 150,0
A535712,EAKR,Saltex kansainvälistyminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,3.7.2007,31.12.2008,SALTEX  GROUP OY,10 716,6 299,17 484,10 277,28 200,16 576
A535730,EAKR,Salivirta Oy:n yrityshautomohanke.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,6.7.2007,31.7.2009,SALIVIRTA OY,24 000,23 900,24 000,23 899,48 000,47 799
