"Prio","OD","Nr","Projectnaam","Promotor","EFRO","Totale kost","EFRO-%","Startdatum","Einddatum"
"P2",2,308,"sociale incubatie","BEDRIJVENCENTRUM DE PUNT",163600,409000,40.00%,12/02/12,12/01/14
"P2",2,309,"EEN FACILITEREND KADER  VOOR DE KLEINE ‘ZWAKKERE’ ZELFSTANDIGE in het arrondissement Leuven","VOKA - Kamer van Koophandel Arrondissement Leuven",43354.8,108387,40.00%,01/02/13,01/01/15
"P2",2,311,"Uitbouw van een uniek bedrijvenloket","Gemeente Mol",12388.14,30970.35,40.00%,10/02/12,06/02/14
"P2",2,312,"Uniek Ondernemersloket Kortrijk","Stad Kortrijk",244769.13,611922.78,40.00%,01/02/13,01/01/15
"P2",2,313,"StuBry","VOKA - Kamer van Koophandel Oost-Vlaanderen",43500,108860,39.96%,03/02/13,09/01/14
"P2",2,318,"kennisplatform voor starters","Unie van Zelfstandige Ondernemers",430807.2,1077018,40.00%,11/02/12,11/01/14
"P2",2,398,"Eerste Hulp bij BouwAdministratie","DIENSTENCENTRUM BOUWUNIE LIMBURG",85440,213600,40.00%,12/02/12,12/01/14
"P2",2,402,"Meer ondernemerschap door industriële en diensten spin-offs","Innovatie-, Technologie- en Kenniscentrum",747550,1868876.92,40.00%,"3/18/13","3/17/15"
"P2",2,488,"KMO Boost","Schüpp associates",268631.85,862179.63,31.16%,11/03/13,11/01/15
"P2",2,493,"SPK doorstartplan","Strategische Projectenorganisatie Kempen",178000,560000,31.79%,01/02/14,01/01/16
"P2",2,495,"Zenitor Preventief Bedrijfsbeleid","Tussenstap - zenitor",217000,690000,31.45%,11/02/13,11/01/15
"P2",2,497,"Managen in onzekere tijden","Universiteit Hasselt - Instituut KIZOK",430000,1400000,30.71%,01/09/14,01/08/16
"P2",3,213,"Project Ondernemings Begeleiding Oekraïne (Company Guidance Ukraine)","VOKA - Kamer van Koophandel Oost-Vlaanderen",39000,98020,39.79%,01/02/13,04/01/14
"P2",3,230,"International Coach","UNIZO - INTERNATIONAAL",195284.4,488211,40.00%,10/02/12,10/01/14
"P2",3,315,"Internationaal groeien","VOKA - Kamer van Koophandel Limburg",62466,156165,40.00%,01/02/13,01/01/15
"P3",1,133,"Multimodale containerterminal","Joint Venture Combinant",4372000,10930000,40.00%,08/02/12,03/02/14
"P3",1,375,"Leefbare Haven Zeebrugge","Provincie West-Vlaanderen",818889,2047222,40.00%,04/02/13,04/01/15
"P3",1,386,"Interpom Project Logistiek","POM Limburg",785300,1963250,40.00%,07/02/13,07/01/15
"P3",2,14,"BISY","West-Vlaamse Intercommunale",269070,672674.97,40.00%,10/02/12,10/01/12
"P3",2,174,"Westelijke Ontsluiting Stationsomgeving/bedrijvenzone Koudijs","Gemeentebestuur Diest",315078,787694,40.00%,"10/21/12","10/21/14"
"P3",2,214,"Juridische verankering verkoopvoorwaarden bedrijventerreinen","SOLvA",16854.66,42136.38,40.00%,03/01/11,"2/28/13"
"P3",2,234,"Aarschot op sporen","Stad Aarschot",1584046.2,3960115.51,40.00%,11/02/12,11/01/14
"P3",2,237,"Kristalpark III(b)","Stad Lommel",8057884.93,32231539.72,25.00%,06/04/13,06/03/15
"P3",2,249,"DuGlO","West-Vlaamse Intercommunale",243064.5,607661.26,40.00%,06/02/13,06/01/15
"P3",2,330,"Actie voor Starters - materiële component","Provincie West-Vlaanderen",2375000,13000000,18.27%,"4/16/13","4/15/15"
"P3",2,331,"IZ Bree Noord - langs water over water","Stad Bree",106788.52,355961.73,30.00%,07/02/11,06/01/13
"P3",2,332,"The Loop - Pégoudlaan","AG Stadsontwikkelingsbedrijf Gent",671021.58,2684086.33,25.00%,04/02/11,01/01/13
"P3",2,344,"The Loop - Ringwegen","AG Stadsontwikkelingsbedrijf Gent",2440071.13,9197403.43,26.53%,10/02/13,10/01/13
"P3",2,350,"Wetenschapspark Arenberg","Katholieke Universiteit Leuven",130667.52,435558.39,30.00%,10/02/11,10/01/13
"P3",2,370,"Verduurzaming Brabantse Poort I: ontsluiting bedrijventerrein via aanleg fiets- en voetgangerstunnel","Provincie Antwerpen",563526.48,1878421.61,30.00%,"6/16/13","6/15/15"
"P3",2,389,"Lt. Coppenskazerne","Gemeente Brasschaat",1048069.6,3493565.6,30.00%,10/02/12,10/02/14
"P3",2,418,"Duurzaam kruispunt in Lier","POM Antwerpen",232853.87,776179.59,30.00%,12/03/13,12/02/15
"P3",2,421,"Revitalisering en herontwikkeling van een bedrijventerrein op site Zolder-Lummen","De Scheepvaart NV",235382.33,784607.78,30.00%,01/02/13,12/02/13
"P3",3,31,"Waterschei bedrijventerrein","Stad Genk",2052415.17,6874716.96,29.85%,08/02/12,04/01/14
"P3",3,34,"Amival: modernisering van de gebouwen met oog op iso-certificering","Arbeid voor Minder-Validen",800000,4349130.84,18.39%,07/02/11,07/01/13
"P3",3,113,"Bedrijvencentrum voor sociale economie","SPIT - Tewerkstelling",921850,4327542.03,21.30%,12/02/11,12/01/13
"P3",3,191,"Xpo als internationale poort - materiële component","XOM NV",4360647,10901618,40.00%,10/02/12,04/01/14
"P3",3,196,"Regionaal Lascentrum","LASCENTRUM arrondissement Mechelen",1486681,3716702,40.00%,"10/24/12","10/23/14"
"P3",3,329,"Huis van de sociale economie","Gemeente Denderleeuw",135000,337500,40.00%,09/02/12,"8/31/14"
"P3",3,340,"Uitbreiding VDAB Maritiem","VDAB",1493159.21,3732898.03,40.00%,"6/16/13","6/15/15"
"P3",3,348,"FaLoMi management voor Bio-technologie bedrijven","Bio-Incubator Leuven",65680,164200,40.00%,09/02/12,09/01/14
"P3",3,349,"Bio-Incubator","Bio-Incubator Leuven",1970470,7851113.84,25.10%,"1/23/14","1/22/16"
"P3",3,371,"CVE voor het Meetjesland","DE KRINGWINKEL MEETJESLAND",247195.97,1647973.12,15.00%,06/02/12,"5/31/14"
"P3",3,372,"Kazerne Michotte","Centrum voor basiseducatie Leuven-Hageland",404107,2396801,16.86%,"10/23/13","10/22/15"
"P3",3,378,"Inrichting terrein havenopleidingen Zeebrugge","Compensatiefonds voor Bestaanszekerheid voor de Haven van Zeebrugge",427425.43,1068563.57,40.00%,12/02/12,12/01/14
"P3",3,384,"Campus TIO_","Stad Ronse",2542755.33,7834363.93,32.46%,09/02/13,09/02/15
"P3",3,394,"Sociale Campus Spiegelfabriek Herentals","OCMW Herentals",1088477.28,2721193.2,40.00%,12/04/13,12/03/15
"P3",3,401,"Uitbreiding vestiging Kringwinkel Tongeren met uitbouw van een textiel sorteringscentrum","Kringloopcentrum De Koop",65771.46,263085.86,25.00%,01/02/13,07/02/14
"P3",3,437,"Centrum voor creatieve bedrijsinnovatie en ondernemerschap","Stad Genk",1453974,3634936,40.00%,12/03/13,12/02/15
"P3",3,501,"Logistiek Platform West-Poort - Materiële component","Provincie West-Vlaanderen",140000,780000,17.95%,"1/16/14","1/15/16"
"P3",3,502,"VELO op site voor sociale economie","VELO vzw",296020.23,740050.57,40.00%,12/02/11,12/01/13
"P3",3,506,"Wonen en Werken Site Sociale Economie","Wonen en Werken Tewerkstelling",887479.87,2779407.4,31.93%,"10/24/12",07/01/14
"P3",4,355,"Dienstencentrum Duwijckpark","POM Antwerpen",437777.21,1094443.04,40.00%,"8/19/13","8/18/15"
"P4",1,112,"Kanaalpark Vilvoorde","Stad Vilvoorde",1036720,2591800,40.00%,11/04/12,11/04/14
"P4",1,157,"Kievit wordt nieuwe toegang tot Centraal Station","Autonoom gemeentebedrijf- Antwerpen Nieuw Noord",2486786,6216965,40.00%,06/02/12,06/01/14
"P4",1,192,"Ledeberg leeft - actie 1: realisatie van een welzijnsknoop","Stad Gent",1556169.28,3890423.21,40.00%,09/03/12,09/02/14
"P4",1,193,"Winkelgebied Oud-Berchem en Singel Zuid: Opwaardering openbaar domein","Stad Antwerpen",1758689.94,4396724.84,40.00%,09/02/12,09/01/14
"P4",1,232,"Project Gent Sint-Pieters: Herinrichting Clementinalaan met vrije tram/busbedding","Stad Gent",389000,972500,40.00%,09/02/11,01/01/13
"P4",1,239,"Project Gent Sint-Pieters - Deelproject 1 Max Mobiel","AG Stadsontwikkelingsbedrijf Gent",318578.11,796445.27,40.00%,04/02/11,04/01/13
"P4",1,325,"Benedenstad herleeft/d","Stad Mechelen",1701671.72,4254179.29,40.00%,02/02/13,02/01/15
"P4",1,327,"Aanleg stadsplein Genk","Stad Genk",2461596,6193506.66,39.74%,"4/24/11",01/01/14
"P4",1,376,"KoBra - Heraanleg Korenmarkt en aanpalende straten in Gent","Stad Gent",2352068,5880170,40.00%,01/02/13,01/01/15
"P4",1,390,"Heraanleg Werfplein en Frits De Wolfkaai","Stad Aalst",917957,2294893.38,40.00%,08/04/13,08/03/15
