"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Konkurencieschopnosť a Hospodársky rast","41838050 - Siták Ľubomír","25130120028 - Hotel Čierny orol",2009,"Apríl",2010,"Január",143627.72,122083.56,21544.16,143627.72,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","33793115 - Róbert Vavrek-RMG","25130120025 - Turistický objekt SKORUŠINA",2009,"Máj",2010,"Január",196685.21,167182.43,29502.78,196685.21,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","31438610 - UNIGROUP, v.o.s.","25110120067 - Rozšírenie výrobných priestorov a nákup inovatívne",2009,"Júl",2010,"Marec",300000,170000,30000,200000,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00616915 - THERMO/SOLAR Žiar s.r.o.","25110120013 - Modernizácia výroby slnečných kolektorov",2009,"Apríl",2009,"December",309217.95,262835.25,46382.69,309217.94,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00616915 - THERMO/SOLAR Žiar s.r.o.","25110120184 - Rozšírenie a zefektívnenie výroby slnečných kolekt",2009,"Jún",2010,"Február",147392.42,125283.56,22108.86,147392.42,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00650820 - AXA, spol. s r.o.","25110120040 - Zvýšenie konkurencieschopnosti a zlepšenie pozície",2009,"Apríl",2010,"November",122319.59,103971.65,18347.94,122319.59,8859.44,1563.43,10422.87
"OP Konkurencieschopnosť a Hospodársky rast","00695599 - ELCOM, s.r.o. Prešov","25110120008 - Účasť spoločnosti ELCOM na výstave ""CeBIT 2009""",2008,"December",2009,"November",55433.85,47118.77,8315.08,55433.85,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00695599 - ELCOM, s.r.o. Prešov","25110120173 - Nákup HIGH-TECH technológií ELCOM, s.r.o., Prešov",2009,"August",2010,"December",257424.69,122883.71,21666.44,144550.15,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","17079039 - Janka a Juraj Gantner spol, s r.o.","25130120017 - Hotel Club v Kežmarku",2009,"Apríl",2010,"September",314101.6,161283.16,28467.66,189750.82,33247.75,5868.47,39116.22
"OP Konkurencieschopnosť a Hospodársky rast","30776520 - ZIN  s.r.o.","25110120193 - Inovácia výroby v spoločnosti ZIN s.r.o.",2009,"Apríl",2009,"Júl",168317.61,143069.97,25247.64,168317.61,143069.97,25247.64,168317.61
