Nazwa beneficjenta,Tytu_ projektu,Program Operacyjny,Dzia_anie,Poddzia_anie,Warto__ ogó_em,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyp_acenia ostatniej raty
Systema Sp z o.o.,Obs_uga komputera najlepsza inwestycja w siebie,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"937,143.20","921,399.32",2008,2009
Systema Sp. z o.o.,"Poznaj narz_dzia e-learningu, aby uczy_ nowocze_niej, ciekawiej, skuteczniej",Program Operacyjny Kapita_ Ludzki,9.4. Wysoko wykwalifikowane kadry systemu o_wiaty,,"890,370.00","889,642.36",2008,2009
"Szef Kancelarii Prezesa Rady Ministrów, Biuro Dyrektora Generalnego, Instytucja Po_rednicz_ca II stopnia w Priorytecie V Programu Operacyjnego Kapita_ Ludzki",Wsparcie kadrowe KPRM w 2007 roku w zakresie wdra_ania programów operacyjnych EFS,Program Operacyjny Pomoc techniczna,1.1 Wsparcie zatrudnienia,,"380,000.00","214,874.88",2007,2008
Szk_oland spó_ka z ograniczona odpowiedzialnoscia,Wdrozenie eko-innowacyjnych technologii przyjaznych srodowisku naturalnemu przez Szk_oland Sp. z o.o,Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.5. Wsparcie M_P - promocja produktów i procesów przyjaznych dla _rodowiska,"1,500,600.00","615,000.00",2008,2009
Szkolenia i Doradztwo Andrzej Doma_ski,E-badanie jako optymalizacja procesu szkoleniowego,Program Operacyjny Innowacyjna Gospodarka,8.1. Wspieranie dzia_alno_ci gospodarczej w dziedzinie gospodarki elektronicznej,,"95,950.00","66,251.28",2008,2009
"Szkolenia, Doradztwo Zawodowe KWANT Sp. z o.o.",W_asna firma - to mozliwe!,Program Operacyjny Kapita_ Ludzki,6.2. Wsparcie oraz promocja przedsi_biorczo_ci i samozatrudnienia,,"227,369.68","226,623.13",2008,2009
Szkoleniowiec Sp. z o.o.,"KADRY PRZYSZ_O_CI. Szkolenia z zakresu ksi_gowo_ci, kadr, informatyki dla osób pracuj_cych z Wielkopolski.",Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"773,909.57","747,884.17",2007,2009
Szkoleniowiec Sp. z o.o.,Pokieruj swoj_ karier_. Kurs prawa jazdy kategorii C dla osób pracuj_cych z Wielkopolski.,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"763,255.15","738,384.59",2008,2009
Szko_a J_zyka Angielskiego English Garden,J_zyk angielski-kurs doskonal_cy dla nauczycieli nauczania pocz_tkowego z terenu gminy miasta Elbl_g,Program Operacyjny Kapita_ Ludzki,9.4. Wysoko wykwalifikowane kadry systemu o_wiaty,,"98,320.00","83,032.57",2008,2009
Szko_a J_zyka Angielskiego English Garden,Doskonalenie kadry o_wiatowej miasta i gminy Pas__k – kurs j_zyka angielskiego,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,890.00","49,542.72",2008,2009
Szko_a J_zyka Francuskiego Ambasador Katarzyna Pikor-Gamblin,Dzieci Europy z Gminy Trzebownisko,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"224,493.32","208,109.19",2008,2009
Szko_a J_zyków Europejskich UNIVERSUS S.C.,Nie daj si_ skaza_ na _mier_ zawodow_- wyd_ na przeciw oczekiwaniom lokalnego rynku pracy,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"464,418.96","464,024.38",2007,2009
Szko_a J_zyków Europejskich UNIVERSUS Sp. z o.o.,TELC lub City&Guilds-certyfikaty j_zykowe szans_ na zachowanie pozycji zawodowej,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"816,471.00","783,806.66",2007,2009
Szko_a J_zyków Obcych Akcent,Wzrost kompetencji kadry w regionie dzi_ki profesjonalnym szkoleniom j_zykowym.,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"958,066.00","957,813.63",2008,2009
Szko_a J_zyków Obcych DIALOG s. c.,Angielski na dobry pocz_tek: kursy j_zykowe dla nauczycieli,Program Operacyjny Kapita_ Ludzki,9.4. Wysoko wykwalifikowane kadry systemu o_wiaty,,"391,200.00","332,148.55",2008,2009
Szko_a J_zyków Obcych i T_umaczenia,Podniesienie kwalifikacji poprzez nauk_ j_zyka angielskiego,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"34,600.00","34,586.19",2008,2009
Szko_a J_zyków Obcych Premium mgr Marek Wn_k,Bli_ej Edukacji w powiecie jaworskim,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,650.00","49,620.00",2007,2009
Szko_a J_zyków Obcych Premium mgr Marek Wn_k,Bli_ej Edukacji,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,950.00","49,930.00",2007,2009
Szko_a J_zyków Obcych PROGRAM - Bell,PROGRAM - Bell - Kszta_cenie w zakresie j_zyka angielskiego osób aktywnych zawodowo.,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"603,042.80","603,042.80",2008,2009
Szko_a Podstawowa im. 24 lutego 1863 Roku,"Chc_ si_ uczy_, czyli cykl zaj__ pozalekcyjnych dla uczniów szko_y w Dobrej ukierunkowany na rozwój kompetencji kluczowych",Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"93,576.00","93,227.38",2008,2009
Szko_a Podstawowa im. Adama Mickiewicza w Gogolewie,My te_ mamy przedszkole,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,999.10","42,622.79",2007,2009
Szko_a Podstawowa im. Bohaterów 7. Ko_obrzeskiego Pu_ku Piechoty w Niedrzwicy Du_ej,"Ma_ymi krokami do wielkich celów
",Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"686,497.20","686,471.10",2008,2009
Szko_a Podstawowa im. Bohaterów Westerplatte w Godkowie,"Wspieranie rozwoju m_odzie_y poprzez nauk_, zabaw_ i wypoczynek",Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,995.60","47,876.43",2008,2009
Szko_a Podstawowa im. Henryka Sienkiewicza,Wczesna edukacja drog_ do sukcesu,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.1 Zmniejszanie nierówno_ci w stopniu upowszechnienia edukacji przedszkolnej,"247,573.32","208,754.56",2008,2009
Szko_a Podstawowa im. J. Brzechwy w Paprotni,To nie takie trudne,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,991.38","49,991.37",2008,2009
Szko_a Podstawowa im. J. Brzechwy w Paprotni,Ja id_ do przedszkola ...,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,999.40","49,998.87",2008,2009
Szko_a Podstawowa im. Janusza Korczaka,Nasza szko_a szko__ równych szans,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,025.00","47,022.92",2008,2009
Szko_a Podstawowa im. Marii Konopnickiej w Lipinach,Integracyjne w_drówki,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"50,000.00","50,000.00",2008,2009
Szko_a Podstawowa im. Tadeusza Ko_ciuszki,Godzina z dzieckiem-szcz__cie na lata,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,859.98","49,131.99",2007,2009
Szko_a Podstawowa nr 1 im. III Tysi_clecia,Aktywni mog_ wi_cej - zak_adamy stowarzyszenie w _rodowisku lokalnym,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"36,720.00","36,720.00",2007,2009
Szko_a Podstawowa nr 1 im. Leonida Teligi w Ustce,Jak Teliga p_yniemy po sukcesy - wyrównywanie szans edukacyjnych uczniów SP1 w Ustce,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"312,425.00","310,870.33",2008,2009
Szko_a Podstawowa Nr 1 w Parczewie                                       ,"Niemo_liwe stanie si_ mo_liwe
",Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"130,510.00","114,281.23",2008,2009
Szko_a Podstawowa nr 2 im. Jana Paw_a II w Gorzycach,Sukces w zasi_gu r_ki,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"177,582.30","177,582.29",2008,2009
Szko_a Podstawowa nr 2 im. Ojca _wi_tego Jana Paw_a II w Chmielniku,Punkt Przedszkolny przy SP nr 2,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.1 Zmniejszanie nierówno_ci w stopniu upowszechnienia edukacji przedszkolnej,"99,988.25","95,303.62",2008,2009
Szko_a Podstawowa nr 4 z Oddzia_ami Integracyjnymi im. Tadeusza Ko_ciuszki w Ozorkowie,RAZEM SPRAWNIEJSI - Rodzinna Spartakiada Integracyjna,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"39,380.00","39,379.99",2008,2009
Szko_a Podstawowa nr 5 im. Jana Drze_d_ona,Popularyzacja tradycji i historii Kaszub w mikroregionie,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"50,000.00","50,000.00",2007,2009
Szko_a Podstawowa Nr 8 w Rzeszowie,Z komputerem w przysz_o__,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"297,977.82","297,969.27",2008,2009
Szko_a Podstawowa Nr 8 w Rzeszowie,Dosi_gn__ gwiazd!,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"300,000.00","299,825.34",2008,2009
Szko_a Podstawowa Osowo,RÓWNAJ W GÓR_ -wyrównywanie szans edukacyjnych uczniów SP Osowo,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"89,468.00","89,468.00",2008,2009
Szko_a Podstawowa w Chodaczowie,Warto dorasta_ w przedszkolu,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.1 Zmniejszanie nierówno_ci w stopniu upowszechnienia edukacji przedszkolnej,"90,865.01","87,719.73",2008,2009
Szko_a Podstawowa w Laszczynach,Bawi_ si_ i ucz_.,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.1 Zmniejszanie nierówno_ci w stopniu upowszechnienia edukacji przedszkolnej,"93,262.01","89,600.58",2008,2009
Szko_a Podstawowa w _uszczowie,"Przekroczy_ próg
",Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"172,810.00","172,810.00",2008,2009
Szko_a Podstawowa w Nied_wiedziu                ,"Uwierz w siebie
",Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"77,350.00","76,620.42",2008,2009
Szko_a Podstawowa w Poniatowej Kolonii,Klub Przedszkolaka w Szkole Podstawowej w Poniatowej Kolonii,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,000.00","44,186.68",2008,2009
Szko_a Podstawowa w Radymnie,Daj sobie szans_ - otwórz si_ na sukces. ,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"184,940.00","184,920.41",2008,2009
Szko_a Podstawowa w Ro_nowie Nowogardzkim,Aktywno__ znosi bariery,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"50,000.00","49,999.67",2008,2009
Szko_a Podstawowa w Szkudaju,Ucze_ na scenie - Bawmy si_ w teatr,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"45,000.40","44,617.73",2008,2009
Szko_a Podstawowa z Oddzia_ami Integracyjnymi w Zielonej Pas_eckiej,Moja szko_a dba o Bezpiecze_stwo Ruchu Drogowego,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"46,001.50","44,019.50",2008,2009
Szko_a Policealna im. Jadwigi Romanowskiej,Wysoko wykwalifikowana kadra szko_y gwarancj_ na sukces zawodowy m_odzie_y w regionie,Program Operacyjny Kapita_ Ludzki,9.4. Wysoko wykwalifikowane kadry systemu o_wiaty,,"163,746.42","134,696.54",2008,2009
Szko_a Policealna w Olsztynie,Uzyskanie formalnego potwierdzenia wiedzy i umiej_tno_ci z zakresu us_ug kosmetycznych nabytych poprzez do_wiadczenie oraz w drodze edukacji nieformalnej i pozaformalnej,Program Operacyjny Kapita_ Ludzki,9.3. Upowszechnienie formalnego kszta_cenia ustawicznego,,"50,622.18","49,967.69",2008,2009
Szkó_ka Tenisowa Smecz Piotr Gorczyca,"Zakup hali tenisowej z wyposa_eniem, celem zwi_kszenia dost_pu do us_ug i ograniczeniu ich sezonowo_ci",Regionalny Program Operacyjny Województwa Lubuskiego,2.1 Mikroprzedsi_biorstwa.,,"245,220.00","79,918.03",2008,2009
Szpital Powiatowy im. Alfreda Soko_owskiego w Z_otowie,Poprawa jako_ci i dost_pno_ci do systemu ratownictwa medycznego w Szpitalu Powiatowym im.A. Soko_owskiego w Z_otowie poprzez wymian_ infrastruktury medycznej. ,Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"234,759.37","179,612.62",2008,2009
Szpital Powiatowy Sp. z o.o. w Che_m_y,"Poprawa efektywno_ci systemu ochrony zdrowia poprzez zakup Karetki typu ""S"" przez Szpital Powiatowy w Che_m_y.",Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"420,608.63","356,922.33",2008,2009
Szpital Powiatowy w Radomsku,Rozwój i poprawa jako_ci ratownictwa medycznego w powiecie radomszcza_skim poprzez zakup trzech ambulansów z wyposa_eniem medycznym,Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"855,000.00","726,340.72",2008,2009
Szpital Powiatowy we Wrze_ni Sp. z o.o.,Wyposa_enie pracowni endoskopowej Szpitala Powiatowego we Wrze_ni w nowoczesn_ aparatur_ medyczn_,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 5.3. Poprawa warunków funkcjonowania systemu ochrony zdrowia w województwie,,"838,500.82","599,859.03",2008,2009
Szpital Specjalistyczny nr 2 w Bytomiu,Poprawa jako_ci i dost_pno_ci us_ug medycznych poprzez zakup nowej aparatury medycznej w postaci tomografu komputerowego przez Szpital Specjalistyczny Nr 2 w Bytomiu.,Regionalny Program Operacyjny Województwa _l_skiego,9.1. Infrastruktura lecznictwa zamkni_tego,,"1,821,320.00","1,548,122.00",2009,2009
Szpital Specjalistyczny w Pile im. Stanis_awa Staszica,Zakup dwóch ambulansów na potrzeby zespo_ów ratownictwa medycznego Szpitalnego Oddzia_u Ratunkowego Szpitala Specjalistycznego w Pile.,Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"773,835.36","650,964.00",2008,2009
Szpital Tucholski Sp. z o.o.  z siedzib_ w Tucholi,"Poprawa efektywno_ci systemu ochrony zdrowia przez zakup Karetki typu ""S"" przez Szpital Tucholski Sp. z o.o.",Program Operacyjny Infrastruktura i _rodowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"422,557.46","355,626.48",2008,2009
Szpital Uniwersytecki Nr 2 im. dr. Jana Biziela w Bydgoszczy,„ROZWÓJ ORAZ DOSTOSOWANIE DO WYMAGANYCH STANDARDÓW WYSOKOSPECJALISTYCZNYCH PROCEDUR LECZNICZYCH I OPERACYJNYCH POPRZEZ ZAKUP NOWOCZESNEJ APARATURY MEDYCZNEJ”. ,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,3.2. Rozwój infrastruktury ochrony zdrowia i pomocy spo_ecznej,,"5,113,667.75","3,166,894.44",2008,2009
"Szymoniak Maria ""Nowy S_uch"" O_rodek Diagnostyki Niedos_uchu - Aparaty S_uchowe",Zakup urz_dze_ do diagnostyki s_uchu i mowy oraz bezinwazyjnego badania naczy_ krwiono_nych,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"394,860.00","249,885.30",2008,2009
_l_ska Fundacja Wspierania Przedsi_biorczo_ci,Czas na Toszeckie Super Babki,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"50,000.00","48,273.84",2008,2009
_l_ska Fundacja Wspierania Przedsi_biorczo_ci,Akademia Aktywno_ci,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"44,094.11","43,033.27",2008,2009
_l_ska Izba Rolnicza w Katowicach,STOP dla wykluczenia kobiet- warsztaty jurajskie,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"48,650.00","46,730.23",2008,2009
"_l_ski Urz_d Wojewódzki, Wydzia_ Instytucji Po_rednicz_cej w Certyfikacji, Instytucja Po_rednicz_ca w Certyfikacji",Finansowanie kosztów zatrudnienia pracowników Instytucji Po_rednicz_cej w Certyfikacji w _l_skim Urz_dzie Wojewódzkim w Katowicach w 2007 i 2008 roku,Program Operacyjny Pomoc techniczna,1.1 Wsparcie zatrudnienia,,"1,056,341.00","681,229.02",2008,2009
_l_skie Centrum Przedsi_biorczo_ci ,Roczny Plan Dzia_a_ na rok 2007 w ramach Dzia_ania 10.1 Wsparcie procesu zarz_dzania i wdra_ania. ,Regionalny Program Operacyjny Województwa _l_skiego,10.1. Wsparcie procesu zarz_dzania i wdra_ania,,"70,590.94","57,928.36",2008,2008
_l_skie Centrum Przedsi_biorczo_ci ,Roczny Plan Dzia_a_ na rok 2008 w ramach Dzia_ania 10.1 Wsparcie procesu zarz_dzania i wdra_ania.,Regionalny Program Operacyjny Województwa _l_skiego,10.1. Wsparcie procesu zarz_dzania i wdra_ania,,"3,718,660.00","2,297,610.30",2008,2009
_l_skie Centrum Przedsi_biorczo_ci ,Roczny Plan Dzia_a_ na rok 2008 w ramach Dzia_ania 10.2 Dzia_ania informacyjne i promocyjne.,Regionalny Program Operacyjny Województwa _l_skiego,10.2. Dzia_ania informacyjne i promocyjne,,"170,000.00","138,485.86",2008,2009
_l_skie Centrum Rehabilitacji w Ustroniu,Poprawa jako_ci us_ug medycznych _wiadczonych pacjentom Poradni Kardiologicznej _l_skiego Centrum Rehabilitacji w Ustroniu poprzez zakup aparatu echokardiograficznego,Regionalny Program Operacyjny Województwa _l_skiego,9.2. Infrastruktura lecznictwa otwartego.,,"442,210.00","374,845.77",2008,2009
"_wi_tokrzyski Urz_d Wojewódzki, Wydzia_ Instytucji Po_rednicz_cej w Certyfikacji, Instytucja Po_rednicz_ca w Certyfikacji",Finansowanie kosztów zatrudnienia pracowników IPOC w _wi_tokrzyskim Urz_dzie Wojewódzkim,Program Operacyjny Pomoc techniczna,1.1 Wsparcie zatrudnienia,,"212,690.00","180,495.93",2008,2008
"_wi_tokrzyski Urz_d Wojewódzki, Wydzia_ Instytucji Po_rednicz_cej w Certyfikacji, Instytucja Po_rednicz_ca w Certyfikacji",Finansowanie kosztów zatrudnienia pracowników IPOC w _wi_tokrzyskim Urz_dzie Wojewódzkim w 2008 r. ,Program Operacyjny Pomoc techniczna,1.1 Wsparcie zatrudnienia,,"796,981.43","668,109.15",2008,2009
_wi_tokrzyskie Centrum Innowacji i Transferu Technologii Sp. z o.o.,Lokalne Incjatywy na Rzecz Wykorzystania Odnawialnych _róde_ Energii w Gminie Smyków,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"39,444.44","39,106.90",2008,2009
_wi_tokrzyskie Towarzystwo Zapobiegania Patologiom Spo_eczny,Profesjonalni pracownicy - aktywizacja i szkolenia drog_ do sukcesu na rynku pracy,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"347,595.00","343,639.33",2008,2009
TADBUD Tadeusz Wodecki P.P.H.U.,"Wzrost innowacyjno_ci firmy P.P.H.U. TADBUD poprzez zakup innowacyjnej linii do t_oczenia trapezu oraz utworzenie Dzia_u B+R
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"851,560.00","418,800.00",2008,2009
"Tadeusz Bortniak i Barbara Bortniak, wspólnicy spó_ki cywilnej: „BO-BRUK” Bortniak Tadeusz i Barbara",Podniesienie mozliwo_ci konkurencyjnych oraz potencja_u BO-BRUK poprzez zakup sprz_tu specjalistycznego,Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsi_biorczo_ci,1.1.2 Inwestycje w mikroprzedsi_biorstwach,"150,328.40","75,497.50",2008,2009
Targi Pomorskie Sp z o.o.,"Udzia_ firmy Targi Pomorskie Sp. z o.o. w 15 _wiatowych Targach Narz_dzi. Struktura Formy, Wzornictwo i Rozwój Produktu ""EuroMold 2008"", w dniach 03-06 grudnia 2008, Frankfurt nad Menem (Niemcy)",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"84,073.03","31,650.66",2008,2009
TASTA Armatura Spó_ka z ograniczon_ odpowiedzialno_ci_,Rozwój przedsi_biorstwa TASTA Armatura Sp. z o.o. poprzez eksport,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2009
TDM Agencja Wydawniczo-Reklamowa sp. z o.o.,"Wykorzystanie dzia_a_ doradczych w zakresie zastosowania rozwi_za_ zaawansowanego technologicznie systemu klasy CRM
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat II: Specjalistyczne projekty doradcze,"213,988.00","80,100.00",2008,2009
"Techdent (Demo Studio, Centrum Frezowania T-Cam)",Wzrost konkurencyjno_ci Laboratorium Protetycznego Techdent poprzez zakup innowacyjnego Centrum Frezowania Lava,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsi_biorczo_ci,,"853,421.20","344,080.00",2008,2009
TechMaster Monika Stasica,Edukacja i integracja na terenie Gminy Buczkowice,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,162.00","45,534.26",2008,2009
TECHMET A.M.M.Z.JUZWA Spó_ka jawna,Wzrost konkurencyjno_ci przedsi_biorstwa poprzez zakup innowacyjnych maszyn,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"481,168.00","236,640.00",2009,2009
