Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
ADLER-APOTHEKE FRITSCH & CO. KG,Qualifizierung für Beschäftigte,"3,962",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER-APOTHEKE/DROGERIE,Qualifizierung für Beschäftigte,"1,473",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER-WERK LACKFABRIK  JOHANN BERGHOFER GMBH & COKG,Qualifizierung für Beschäftigte,"4,689",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLER-WERK LACKFABRIK  JOHANN BERGHOFER GMBH & COKG,Qualifizierung für Beschäftigte,"9,789",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADLERAPOTHEKE DR. KARL BLASKOPF PÄCHTER MR. PHARM. CHARLOTTE STUTZENSTEIN,Qualifizierungsverbund,"4,053",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADOLF HEUBERGER  ELOXIERANSTALT GMBH,Qualifizierung für Beschäftigte,"3,967",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADOLF SCHUSS BÜROMASCHINENHANDEL GES.M.B.H. & COKG,Qualifizierung für Beschäftigte,413,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADPL-SOLUTIONS EUROPE GMBH,Qualifizierung für Beschäftigte,117,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADPL-SOLUTIONS INTERNATIONAL GMBH,Qualifizierung für Beschäftigte,493,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADRIA-WIEN PIPELINE GMBH,Qualifizierung für Beschäftigte,"1,549",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AEE ENERGIEDIENSTLEISTUNGEN GMBH,Qualifizierung für Beschäftigte,"1,778",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AEGIS MEDIA AUSTRIACENTRAL SERVICES GMBH,Qualifizierung für Beschäftigte,456,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AFFENGRUGER JOHANN,Qualifizierung für Beschäftigte,"2,100",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AFRICAN SAFARI-CLUB GMBH,Qualifizierung für Beschäftigte,"5,228",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AFS - ALL FREIGHT SYSTEMS SPEDITIONS GMBH & CO KG,Qualifizierung für Beschäftigte,797,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AFS MEDICAL MEDIZINISCHE GERÄTE,Qualifizierung für Beschäftigte,333,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGENTUR SCHANDA GMBH.,Qualifizierung für Beschäftigte,340,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGES-BAU ASPHALT GES.M.B.H.,Qualifizierung für Beschäftigte,336,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGIP RASTSTATIONEN  LEODIPPOLT,Qualifizierung für Beschäftigte,964,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA BETEILIGUNGS-AG,Qualifizierung für Beschäftigte,"1,847",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA BIOETHANOL GMBH,Qualifizierungsvebrund,"5,013",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA FRUIT AUSTRIA GMBH WERK KRÖLLENDORF,Qualifizierung für Beschäftigte,"1,200",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA FRUIT AUSTRIA GMBH.,Qualifizierung für Beschäftigte,"2,765",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA ZUCKER GMBH,Qualifizierungsverbund Koordination,"1,161",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA ZUCKER GMBH,Qualifizierung für Beschäftigte,230,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRANA ZUCKER GMBH,Qualifizierungsverbund,"6,943",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRAR-SPEICHER-BETRIEBS-GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,517,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AGRU KUNSTSTOFFTECHNIK GMBH.,Qualifizierungsverbund,"17,778",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AHA-ALTENBETREUUNGS- UND PFLEGE GMBH,Qualifizierung für Beschäftigte,462,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AHB ATLANTIS HOTELBETR. GMBH,Qualifizierung für Beschäftigte,"3,967",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AHC-OBERFLÄCHENTECHNIK GMBH,Qualifizierung für Beschäftigte,"1,200",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AHORNER INGRID,Qualifizierung für Beschäftigte,186,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AHS AUSTRIA HARTWAREN SERVICES,Qualifizierung für Beschäftigte,139,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AHT COOLING SYSTEMS GMBH,Qualifizierung für Beschäftigte,"4,254",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHBERGER GESMBH & CO KG,Qualifizierung für Beschäftigte,"1,064",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHELIN GES.M.B.H.,Qualifizierung für Beschäftigte,270,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHFELD APOTHEKE  MAG.PHARM. VEIT-ROTHLAUER KG,Qualifizierung für Beschäftigte,645,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHHORN GMBH,Qualifizierung für Beschäftigte,103,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHINGER GERHARD GMBH,Qualifizierung für Beschäftigte,988,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHINGER GMBH,Qualifizierung für Beschäftigte,175,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AICHINGER OPTIK GESMBH,Qualifizierung für Beschäftigte,450,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AIGNER ALBERT BETRIEBSGESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,599,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AIGNER FISCHER UNTER  RECHTSANWALTSPARTNERSCHAFT,Qualifizierung für Beschäftigte,829,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AIGNER FISCHER UNTER RECHTSANWALTSPARTNERSCHAFT,Qualifizierung für Beschäftigte,364,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AIREST GASTRONOMY  RETAIL GMBH,Qualifizierung für Beschäftigte,"1,173",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AIRPLUS AIR TRAVEL CARD VERTRIEBSGESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"1,527",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AIRPORT RETAIL AUSTRIA  HANDELSG.M.B.H.,Qualifizierung für Beschäftigte,"1,047",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKADEMIE DER BILDENDEN KÜNSTE WIEN,Qualifizierung für Beschäftigte,825,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKATECH PRODUKTIONS- UND HANDELS GMBH,Qualifizierung für Beschäftigte,"7,879",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKKORD GRAZ  DIENSTLEISTUNGS GMBH,Qualifizierung für Beschäftigte,"4,826",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKKORD KLAGENFURT  DIENSTLEISTUNGS GES.M.B.H.,Qualifizierung für Beschäftigte,"12,405",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKKURAT  BAU- UND OBJEKTMANAGEMENT GMBH,Qualifizierung für Beschäftigte,280,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKS,Qualifizierung für Beschäftigte,880,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKS,Qualifizierung für Beschäftigte,825,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKS FÜR VORSORGE UND SOZIALMEDIZIN,Qualifizierung für Beschäftigte,182,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKTION  TAGESMÜTTER,Qualifizierung für Beschäftigte,"1,997",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKTION TAGESMÜTTER OÖ,Qualifizierung für Beschäftigte,"2,567",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKTIVBAU GES.M.B.H,Qualifizierung für Beschäftigte,667,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKZENT DIRECT KOSMETIKVERTRIEB GESMBH,Qualifizierung für Beschäftigte,"3,048",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AKZO NOBEL COATINGS GMBH,Qualifizierung für Beschäftigte,615,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AL-KO KOBER GMBH,Qualifizierungsverbund,"7,575",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALASKA SPORTDRESS  WILHELM STEPEK GMBH & CO KG,Qualifizierung für Beschäftigte,603,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALBA PROTOTYPING & PRODUCTION GMBH,Qualifizierung für Beschäftigte,"2,726",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALBE BETEILIGUNGEN UND MANAGEMENT GMBH,Qualifizierung für Beschäftigte,"1,437",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALBIN SORGER GMBH & CO KG  ZUM WEINREBENBÄCKER,Qualifizierung für Beschäftigte,"2,553",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALBRECHTSBERGER WALTER,Qualifizierung für Beschäftigte,"1,828",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALBRECHTSBERGER WALTER,Qualifizierung für Beschäftigte,807,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALBÖ - KAMINBAU GESMBH,Qualifizierung für Beschäftigte,536,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALCO-BAUELEMENTE  HANDELS GMBH,Qualifizierung für Beschäftigte,400,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALEXANDER GATTRINGER ELEKTROINSTALLATION,Qualifizierung für Beschäftigte,412,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALEXANDER MUHR,Qualifizierung für Beschäftigte,817,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALFRED WALL GMBH,Qualifizierung für Beschäftigte,674,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALIS  ALTENHEIM IMPLACEMENTSTIFTUNG,Qualifizierung für Beschäftigte,"3,518",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALKOR-VENILIA GMBH.,Qualifizierung für Beschäftigte,"4,327",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALL TIP GMBH,Qualifizierung für Beschäftigte,"3,885",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLCON   PERSONALMANAGEMENT GMBH,Qualifizierung für Beschäftigte,"2,750",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLERTSHAMMER WOLFGANG DI,Qualifizierung für Beschäftigte,"1,033",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLGEM. ÖFFENTL. KRANKENHAUS D. BARMHERZIGE BRÜDER,Qualifizierung für Beschäftigte,"3,566",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLGEMEINE BAU CHEMIE,Qualifizierung für Beschäftigte,"2,007",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLGEMEINE BAUGESELLSCHAFT  A. PORR AKTIENGESELLSCHAFT,Qualifizierung für Beschäftigte,"2,470",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLGEMEINE FINANZBERATUNGGMBH,Qualifizierung für Beschäftigte,"7,545",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLGEMEINE STRAßENBAU GMBH,Qualifizierung für Beschäftigte,299,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLIANZ ELEMENTAR  VERSICHERUNGS-AG,Qualifizierung für Beschäftigte,"10,542",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLIANZ INVESTMENTBANK AG,Qualifizierung für Beschäftigte,"5,705",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"ALLMAYER HERBERT, DR.",Qualifizierung für Beschäftigte,272,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALLPLAN  GMBH,Qualifizierung für Beschäftigte,615,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALMHOF-KAMMERLANDER  HOTEL GMBH &CO.KG,Qualifizierungsverbund,842,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALMI  GES.M.B.H & CO KG,Qualifizierung für Beschäftigte,"5,422",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALOIS PFURTSCHELLER HOCH- U. TIEFBAU GMBH,Qualifizierung für Beschäftigte,480,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALOIS SPECKBACHER KG,Qualifizierungsverbund,643,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALOIS WINKLER  SPORTHOTEL CHESA MONTE,Qualifizierung für Beschäftigte,307,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALOM - BÖHMERWALDWERKSTATT,Qualifizierung für Beschäftigte,"3,646",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALOM - MANUFAKTUR HASLACH  TEXTILWERKSTATT,Qualifizierung für Beschäftigte,180,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALPBACHER BERGBAHN GMBH  & CO KG,Qualifizierungsverbund,"1,630",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALPEN ADRIA  WIRTSCHAFTSPRÜFUNGS GMBH,Qualifizierung für Beschäftigte,"4,175",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALPEN-CREATIV-BAU GMBH,Qualifizierung für Beschäftigte,323,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALPENBAD HOTEL HOHENHAUS FAMILIE EGGER,Qualifizierung für Beschäftigte,667,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ALPENBANK AKTIENGESELLSCHAFT,Qualifizierung für Beschäftigte,"3,467",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
