BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
MANUELA HERNANDO LOPEZ-JAVIER GABINA HERNANDO-ALBERTO G,Mejorar a empleabilidad de las personas desempleadas,"950,38",,
MANUELA POZO SL,Mejorar a empleabilidad de las personas desempleadas,"506,40",,
MANUELA-RED SL,Mejorar a empleabilidad de las personas desempleadas,"1.444,86",,
MANUFACTURA INDUSTRIAL DEL POLIESTER SA,Mejorar a empleabilidad de las personas desempleadas,"408,76",,
MANUFACTURA MODERNA DE METALES SA,Mejorar a empleabilidad de las personas desempleadas,"468,84",,
MANUFACTURADOS ESPANOLES DE RESINAS FLUORADAS SL,Mejorar a empleabilidad de las personas desempleadas,"2.452,43",,
MANUFACTURADOS FERRICOS SA,Mejorar a empleabilidad de las personas desempleadas,"2.629,87",,
MANUFACTURADOS GARCIA FUENLABRADA SA,Mejorar a empleabilidad de las personas desempleadas,"3.099,90",,
"MANUFACTURADOS T.E.G. XXI,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.733,42",,
MANUFACTURADOS TEXTILES SA,Mejorar a empleabilidad de las personas desempleadas,"3.800,00",,
MANUFACTURAS 7 ISLAS SL,Mejorar a empleabilidad de las personas desempleadas,"991,62",,
MANUFACTURAS ALCO SA,Mejorar a empleabilidad de las personas desempleadas,"489,91",,
MANUFACTURAS ALUCINE SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,73",,
MANUFACTURAS ALZABARES SL,Mejorar a empleabilidad de las personas desempleadas,"496,57",,
MANUFACTURAS ALZANIA SL,Mejorar a empleabilidad de las personas desempleadas,"886,58",,
