BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
DAHU PASTISSERS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DAJIVA COMUNICA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DALANAR LIMPIEZAS DEL MEDITERRANEO, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.250,00"
DANIEL-LO ACCESORIOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
DANIFAT SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"DCIP CONSULTING-INTEGRACION DE 
DISPOSITIVOS MOVILE","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DEALER COMPANY SPAIN SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DECOARTBEA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
DECOR VALVERDE SL EN CONSTITUCION,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"DECORACION DE INTERIORES SIMON, S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"DECORACION ORTS SANCHEZ, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"DECORACIONES ANSAR, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DECORACIONES MIRAMO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
DECORACIONES VALTOR SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DECORADOS ARIAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DECORALGI SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
DEL MORAL & ARRIBAS ABOGADOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DELTA-R TECNOLOGIAS DE DECISION SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
"DELYTEL ELECTRONICA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DEM-2000 SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","466,68"
"DEPORTES CASANOVA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.000,00"
DEPORTIVOS ARIAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
"DERCO-RIEL, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"DESANCHIS & SANCHIS DISTRIBUCIONES SL 
(EN CONSTITU","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
DESEGUR GESTIO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DESGUACE CORTES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DESGUACE SILLA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DESGUACES VINAROZ SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"DESPACHOS L. M. B., S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
DEXTRA ASESORES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DEYAVUXAT, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DG EMPLEO E INSERCION LABORAL (AREA 
DE FOMENTO DE EMPLEO)","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","13.498,50"
"DG EMPLEO E INSERCION LABORAL (AREA 
DE FOMENTO DE EMPLEO)",Favorecer la integración social y laboral de las personas inmigrantes,"33.000,00"
"DG EMPLEO E INSERCION LABORAL (AREA 
DE FOMENTO DE EMPLEO)",Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas,"3.600,00"
"DG EMPLEO E INSERCION LABORAL (AREA 
DE FOMENTO DE EMPLEO)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.522.177,00"
"DG EMPLEO E INSERCION LABORAL (AREA 
DE FOMENTO DE EMPLEO)","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","127.516,86"
"DG EVALUACION, INNMOVACION Y CALIDAD 
EDUCATIVA",Prevención del abandono escolar y refuerzo de la formación inicial,"55.843,94"
"DG EVALUACION, INNMOVACION Y CALIDAD 
EDUCATIVA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","81.087,40"
DH PASTELERIAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
"DIACON 21, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DIANUM ALIMENTS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DIARA HOSTELERIA,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DIETETICA JUIMAR, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
DIETETICA SOLANES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DIPOLACK SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DIPUTACION DE VALENCIA,Prevención del abandono escolar y refuerzo de la formación inicial,"207.791,00"
DIPUTACION DE VALENCIA,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","9.549,90"
"DISCOMEL, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DISFOOD SELECCION SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","48.000,00"
DISFRIBEN XXI SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DISID TECHNOLOGIES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
DISMINUIDOS DE CASTALLA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","62.546,04"
DISMOIL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DISMUNTEL S.A.L.,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","23.000,00"
"DISOLVI, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
DISTRIBUCION INTEGRAL DE TIENDAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"DISTRIBUCIONES BATOY, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
DISTRIBUCIONES CARNICAS DISCARSA SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DISTRIBUCIONES DE CAFE ELCHE SL EN 
CONST","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
DISTRIBUCIONES REGION ESTE SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","30.000,00"
"DISTRIBUCIONES SANITARIAS MARUENDA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
"DISTRI-DIRECT MARE NOSTRUM SL (EN 
CONST)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DIVISION SUELAS SL UNIPERSONAL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.000,00"
DO.NETA FMS. SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
DOBLETALL ONTINYENT S.L,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DOMINGO RODENAS SL UNIPERSONAL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DOMOTICA INTEGRAL CASTELLON SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
DOMOTICA Y SONIDO SLL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"DON DINO LEVANTE IMPORT, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","30.000,00"
DON VITE SLL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
DONABRI SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
DORMILEGA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DROGADONA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DRYCER SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
DULCES LA PLANA SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
"DUO GLOBAL SOLUTIONS, SL.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
DUPAN SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
"DYSEM LEVANTE, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
E A POR 2 SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","24.000,00"
EASY LIFE BY AWA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
EASYTAB SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","16.125,00"
ECLITEC MONTAJES SL LABORAL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ECO ACTRINS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ECOJARDINERIA MANTENIMIENTOS Y 
SERVICIOS, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
ECOLEX GESTION SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ECONATURA SAFOR SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","13.608,58"
"ECOSONNEN, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ECO-TRATAMIENTOS Y SERVICIOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
EDELWEIS TRABAJOS VERTICALES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
EDICIONES Y PUBLICACIONES TERRA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"EDIFICACION LOGISTICA INDUSTRIAL Y 
TERCIARIA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"EDIFICACIONES Y CONSTRUCCIONES LA 
VALL SA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.000,00"
EDITORIAL MARFIL SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
EDO & BASCUÑANA ASESORES SLL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
EFEBEGE INFORMATICA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"EIROA-MARTINEZ ASESORES DE 
EMPRESAS,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
EL ANTOJITO ILICITANO SL UNIPERSONAL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
EL BADALL 2 SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.937,50"
EL CASAL DE LA PAELLA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
EL CORTE INGLES SA,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","11.553,48"
EL CORTE INGLES SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","39.287,22"
EL CORTE INGLES SA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
EL DESCEPADO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"EL DETALL NOVOLLAR, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","17.000,00"
EL FORN DE GIL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
"EL HIBA 2005, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.875,00"
"EL LLOP 93, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
EL PEBRE NEGRE XATIVA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
"EL POLLO ROBUSTO ME LO COMO A GUSTO 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
EL POMERAL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
EL REINO DEL BEBE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ELABORACION DE CHAPAS SA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
"ELCHE ADMINISTRACION DE FINCAS SL EN 
CONSTITUCION","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
"ELECTRICIDAD ALSANBO, SA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ELECTRICIDAD CARDONA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ELECTRICIDAD J GRANDE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ELECTRICIDAD JORGE MUÑOZ, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ELECTRICIDAD MANUEL GARCIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ELECTRICIDAD MONTSENY, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
ELECTRICIDAD ORILUX SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ELECTRIFICACIONES ORISUR,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ELECTRO ANTON SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ELECTRO MANICAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ELECTRODOMESTICOS ARAGO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ELECTRODOMESTICOS GRAN, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ELECTRODOMESTICOS NUÑEZ SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ELECTROMED SISTEMAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ELECTRONICA SANCHO, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
ELECTRONICA VICHE SL,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","120,00"
ELECTROPOWER SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ELECTRORECAMBIOS ALICANTE, S.L.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ELECTROTECNIA MONRABAL SL U,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","16.000,00"
ELECTRO-ZAMAN SL EN CONSTITUCION,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ELEMOVIL SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ELIAS & FRANCISCO-ASESORIA GONZALEZ SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ELMOVIL SA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
ELS QUITOS PRODUCTOS CARNICOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ELVTE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.625,00"
EMAUS,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","46.291,20"
EMILIO ARNAU VIVES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
EMPRESA CICLON SLU,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"EMPRESA DE GESTION URBANISTICA Y 
SERVICIOS DE ALBO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","15.000,00"
"EMPRESA MIXTA DE AGUAS RESIDUALES DE 
ALICANTE SA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
EMSERO RULIO SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","12.000,00"
ENCUADERNACION Y CARPETERIA M.C.D. SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
ENERGIA CONTROLADA DEL MEDITERRANEO,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ENERGIA SOLAR MAER SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.125,00"
ENERGICLIMA INGENIERIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
ENGLOBA ESTUDIO DE MARKETING SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ENRIQUE BELLIDO CONSTRUCCIONES, SL.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ENVALIMENT MEDITERRANEA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ENVIDUR SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
EPORTALES BUSINESS CONSULTING SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ERASMUSWEB SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.875,00"
ERNESTO COSTA FERRER SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ERNESTO Y RICARDO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
EROSION Y COPIADO PALAO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ESBE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ESC SERVICIOS GENERALES S.L,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
ESCAYOLAS ESCRIVA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ESCOLA D´ART I SUPERIOR DE DIS,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","19.775,00"
ESCOLA DE FORMACIO PROFESIONAL,Prevención del abandono escolar y refuerzo de la formación inicial,"57.146,00"
ESCOLA DE FORMACIO PROFESIONAL,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","11.628,00"
"ESCOLA INFANTIL, EL PEIXET SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","20.000,00"
ESCOLA SUPERIOR DE CERAMICA DE,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","814,00"
ESCUELA DE ARTE Y SUPERIOR DE,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","3.605,00"
ESCUELA DE CAPATACES AGRICOLAS,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","6.248,00"
"ESCUELA DE MONITORES CULTURALES AULA 
ABI","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ESCUELA INFANTIL JESUS-KIND, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
"ESCUELA INFANTIL LAMARSA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","17.500,00"
ESCUELA INFANTIL RENACUAJOS SL (CONST),"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","11.000,00"
ESCUELAS CRISTIANAS HERMANOS D,Prevención del abandono escolar y refuerzo de la formación inicial,"56.793,73"
ESCUELAS CRISTIANAS HERMANOS D,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","15.465,00"
ESCUELAS PROFESIONALES DE ARTE,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","19.079,20"
ESCUELAS PROFESIONALES LUIS AM,Prevención del abandono escolar y refuerzo de la formación inicial,"171.438,00"
ESCUELAS PROFESIONALES LUIS AM,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","52.979,50"
ESCUELAS SAN JOSE EN VALENCIA,Prevención del abandono escolar y refuerzo de la formación inicial,"142.570,00"
ESCUELAS SAN JOSE EN VALENCIA,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","25.721,00"
"ESLUAB, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ESMIKS, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
ESPACK EUROLOGISTICA SL,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","240,00"
ESPACK EUROLOGISTICA SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
ESPADAN CORKS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
"ESPAIVER SERVICIOS INMOBILIARIOS, S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","11.250,00"
"ESPAIVERD ALIANZAS, SL EN CONST","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ESPAÑOLA DE I D SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ESPASA MOVIL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ESPURNA CENTRO ESPECIAL DE EMPLEO SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","74.907,43"
ESTABLEMIMIENTOS BAIXENS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","17.000,00"
"ESTACION DE SERVICIO CASTELL DE XIVERT 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ESTACION DE SERVICIO LOS EUCALIPTOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ESTACION DE SERVICIOS EL MORO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.600,00"
ESTAGAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","11.000,00"
ESTAMPADOS PRATO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
"ESTRATEGIAS PARA EL DESARROLLO 
MEDIOAMBIENTAL, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ESTRUCTURAS DE CONCRETO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ESTRUCTURAS EMUSA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ESTRUCTURAS HERMESAN, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
"ESTRUCTURAS METALICAS MARTINEZ 
TERRES SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
ESTUCADOS ABAD S.L,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ESTUCADOS ORTUCA & RUIBER, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ESTUCOS VEGA BAJA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ESTUDIO JURIDICO 4 SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ESTUDIO LADAA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ESTUDIO MIGUEL ANGEL SANZ SLU,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ESTUDIO ROCHE ARQUITECTURA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
"ESYSE INVERSION, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ETIART SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
EULEN SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","131.578,00"
EULEN SA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","40.402,00"
EULEN SEGURIDAD SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","112.000,00"
EULEN SERVICIOS SOCIOSANITARIOS SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","26.875,00"
