"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"ALMACENES EL CANDADO-ANTONIO J","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALMACENES EL CARMEN SA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ALMACENES GUERRA ARENAS, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES JUGUETES RIVERA SL","Mejorar la empleabilidad de las personas desempleadas","2.500,00"
"ALMACENES LA RONDA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES MATERIALES DE CONSTR","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES PACO CLEMENTE SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES PAEZ SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","8.786,57"
"ALMACENES PRADAS SL","Mejorar la empleabilidad de las personas desempleadas","5.250,00"
"ALMACENES PRADAS SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES ROPY CHIQUI SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALMACENES SAN BLAS CORTEGANA,","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ALMACENES SAN BLAS S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
"ALMACENES SANTA CATALINA SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALMACENES YEBENES, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ALMACONCE SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"AL-MARIYYA EXPENDEDORAS SL UNI","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
