"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"SALON AMERICA SL","Mejorar la empleabilidad de las personas desempleadas","424,98"
"SALON BLONDE SL","Mejorar la empleabilidad de las personas desempleadas","1.086,06"
"SALON CASABLANCA SL","Mejorar la empleabilidad de las personas desempleadas","1.143,66"
"SALON CELEBRACIONES EL CORTIJO SL","Mejorar la empleabilidad de las personas desempleadas","889,89"
"SALON COFETT SL","Mejorar la empleabilidad de las personas desempleadas","408,37"
"SALON DE BEAUTE, S.L.","Mejorar la empleabilidad de las personas desempleadas","422,59"
"SALON DE BELLEZA BAVIERA SL","Mejorar la empleabilidad de las personas desempleadas","1.614,90"
"SALON DE BELLEZA BURBUJAS 2000 SL","Mejorar la empleabilidad de las personas desempleadas","283,32"
"SALON DE BELLEZA GREVOL CB","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"SALON DE BELLEZA LOS EXTREMENOS SL","Mejorar la empleabilidad de las personas desempleadas","66,08"
"SALON DE BELLEZA MAR SL","Mejorar la empleabilidad de las personas desempleadas","70,83"
"SALON DE BELLEZA MARLO SL","Mejorar la empleabilidad de las personas desempleadas","3.096,99"
"SALON DE BELLEZA MIQUEBO SL","Mejorar la empleabilidad de las personas desempleadas","3.036,19"
"SALON DE BELLEZA ROSBEL SL","Mejorar la empleabilidad de las personas desempleadas","432,06"
"SALON DE BELLEZA Y PELUQUERIA HOBBY SL","Mejorar la empleabilidad de las personas desempleadas","649,27"
"SALON DE BELLEZA ZAYITAS SL","Mejorar la empleabilidad de las personas desempleadas","1.009,28"
"SALON DE CAFE GRETTEL, SL","Mejorar la empleabilidad de las personas desempleadas","448,58"
"SALON DE LA SONRISA SL","Mejorar la empleabilidad de las personas desempleadas","1.776,59"
"SALON DE PELUQUERIA ANAIS, CB","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"SALON DE PELUQUERIA GALATEA, SL","Mejorar la empleabilidad de las personas desempleadas","1.244,23"
"SALON DE PELUQUERIA LOCIBE SL","Mejorar la empleabilidad de las personas desempleadas","670,84"
"SALON DE PELUQUERIA Y ESTETICA DEVA S L","Mejorar la empleabilidad de las personas desempleadas","665,76"
"SALON DE PELUQUERIA Y ESTETICA TRIEM, SL","Mejorar la empleabilidad de las personas desempleadas","469,21"
"SALON DEL MUEBLE SA","Mejorar la empleabilidad de las personas desempleadas","1.204,11"
"SALON ISABEL PEREZ, S.L.L.","Mejorar la empleabilidad de las personas desempleadas","910,00"
"SALON MARIEN CB","Mejorar la empleabilidad de las personas desempleadas","115,67"
"SALON PELUQUERIA Y BELLEZA CACHE SL","Mejorar la empleabilidad de las personas desempleadas","136,94"
"SALON PRAT,SL","Mejorar la empleabilidad de las personas desempleadas","11,14"
"SALON RECREATIVO REINO SA","Mejorar la empleabilidad de las personas desempleadas","366,67"
"SALON RECREATIVO Y CAFETERIA LA RIBERA SA","Mejorar la empleabilidad de las personas desempleadas","1.945,42"
"SALON TERESA AGUIRRE SL","Mejorar la empleabilidad de las personas desempleadas","195,42"
"SALON UNIVERSO SL","Mejorar la empleabilidad de las personas desempleadas","354,15"
"SALONES BOYMA, SL","Mejorar la empleabilidad de las personas desempleadas","1.266,73"
"SALONES CATSI SL","Mejorar la empleabilidad de las personas desempleadas","1.131,67"
"SALONES DE BANQUETES MARTINO,S.L.","Mejorar la empleabilidad de las personas desempleadas","590,24"
"SALONES DE BELLEZA MANITAS, SL","Mejorar la empleabilidad de las personas desempleadas","1.584,07"
"SALONES DE BELLEZA Y PELUQUERNA DEL SUR MML SL","Mejorar la empleabilidad de las personas desempleadas","162,91"
"SALONES DE BODAS PARAISO, S.L.","Mejorar la empleabilidad de las personas desempleadas","151,25"
"SALONES DE PELUQUERIA AIRE 1O SL","Mejorar la empleabilidad de las personas desempleadas","537,80"
"SALONES EFSA, S.L.","Mejorar la empleabilidad de las personas desempleadas","410,79"
"SALONES ELYELLA SL","Mejorar la empleabilidad de las personas desempleadas","2.833,10"
"SALONES FIGARO SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","2.758,32"
"SALONES JARDIN EL OLIVAR SL","Mejorar la empleabilidad de las personas desempleadas","7.081,85"
"SALONES MAR BLAU SL","Mejorar la empleabilidad de las personas desempleadas","1.029,87"
"SALONES MASIA DEL ROSARIO, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.267,43"
"SALONES RAMONA SL","Mejorar la empleabilidad de las personas desempleadas","555,58"
"SALONES RAMOS SL","Mejorar la empleabilidad de las personas desempleadas","980,00"
"SALONES SIGLO XXI SL","Mejorar la empleabilidad de las personas desempleadas","3.183,25"
"SALONES TROPICANA, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.283,25"
"SALONS DEVELOPMENT, S.L.","Mejorar la empleabilidad de las personas desempleadas","919,36"
"SALONS PLATJA BONA SL","Mejorar la empleabilidad de las personas desempleadas","3.341,68"
"SALOP PALMA, S.L.U.","Mejorar la empleabilidad de las personas desempleadas","1.253,28"
"SALORA SIGLO XXI","Mejorar la empleabilidad de las personas desempleadas","793,69"
"SALORD JOVER SA","Mejorar la empleabilidad de las personas desempleadas","2.200,64"
"SALORD Y C. DOUX, SL","Mejorar la empleabilidad de las personas desempleadas","763,27"
"SALORIO RIOBO, S.L.","Mejorar la empleabilidad de las personas desempleadas","184,14"
"SALOU NUEVO HABITAT SL","Mejorar la empleabilidad de las personas desempleadas","578,82"
"SALOUDIS,SA","Mejorar la empleabilidad de las personas desempleadas","1.363,27"
"SALOU-ROMA APARTAMENTS, SL","Mejorar la empleabilidad de las personas desempleadas","200,01"
"SALOYAM CLIMA SL","Mejorar la empleabilidad de las personas desempleadas","300,00"
"SALPAFLEX SL","Mejorar la empleabilidad de las personas desempleadas","363,53"
"SALPE SA","Mejorar la empleabilidad de las personas desempleadas","793,33"
"SALPICACAO C.B.","Mejorar la empleabilidad de las personas desempleadas","192,43"
"SALPON SL","Mejorar la empleabilidad de las personas desempleadas","1.296,57"
"SALROSAN COURIER SL","Mejorar la empleabilidad de las personas desempleadas","1.491,06"
"SALSA NATURA,SL","Mejorar la empleabilidad de las personas desempleadas","885,36"
"SALSADECO,S.L.","Mejorar la empleabilidad de las personas desempleadas","770,00"
"SALSANTA SL","Mejorar la empleabilidad de las personas desempleadas","1.093,24"
"SALSAS Y COMIDAS PREPARADAS S.L.","Mejorar la empleabilidad de las personas desempleadas","7.122,73"
"SALSENCH AMBROS SA","Mejorar la empleabilidad de las personas desempleadas","9.660,14"
