nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
JUNTA DE EXTREMADURA,OB072CR01037-Abertura. Retablo mayor iglesia parroquial San Juan Bautista,"29.999,00",29999.00,"29.999,00",29999.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17022-RESTAURACIÓN Y CONSOLID NAVE CENTRAL IGL STA Mª CONSOLACIÓN,"48.502,58",48502.58,"48.502,58",48502.58,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17024-OBRAS RESTAURACIÓN CALEFACCIÓN E ILUMINACIÓN IGLESIA DE SAN BLAS,"58.212,82",58212.82,"58.212,82",58212.82,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072CR01044-Villafranca de los Barros. Restauración del órgano de la Iglesia de Ntra Sra de la Coronada,"28.000,00",28000.00,"28.000,00",28000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17028-OBRAS ADJUDICACIÓN CUBIERTAS IGLESIA SAN ANTONIO DE PADUA,"58.261,35",58261.35,"58.261,35",58261.35,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17028-H.D Y COORD RESTAURACIÓN CUBIERTA IGLESIA PARROQUIAL.,"2.720,00",2720.00,"2.720,00",2720.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17028-HONOR DIRECCIÓN OBRA.,"1.920,00",1920.00,"1.920,00",1920.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17013-DIRECCIÓN FACULTATIVA OBRA,"4.000,00",4000.00,"4.000,00",4000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17013-DIREC Y COORD SEGU Y SALUD OBRA,"4.800,00",4800.00,"4.800,00",4800.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OB072PA17020-HONORARIOS  DIRECCI Y COORDIN OBRAS,"2.950,00",2950.00,"2.950,00",2950.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
