nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,"3.148,30",3148.30,"3.148,30",3148.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,"10.671,20",10671.20,"10.671,20",10671.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,"9.862,80",9862.80,"9.862,80",9862.80,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,ASOCIACION FUNDIDORES P. VASCO Y NAVARRA,"6.288,53",6288.53,"6.288,53",6288.53,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"2.431,81",2431.81,"2.431,81",2431.81,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"10.395,48",10395.48,"10.395,48",10395.48,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"5.267,81",5267.81,"5.267,81",5267.81,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"7.925,00",7925.00,"7.925,00",7925.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"16.830,58",16830.58,"16.830,58",16830.58,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"9.893,75",9893.75,"9.893,75",9893.75,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"5.247,30",5247.30,"5.247,30",5247.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"10.400,00",10400.00,"10.400,00",10400.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION GAIA,ASOCIACION GAIA,"9.600,00",9600.00,"9.600,00",9600.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
