"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"IMPERMEABILIZACION EN CONSTRUCCION Y MEDIOAMBIENTE, S.L","Mejorar la empleabilidad de las personas desempleadas","2873,39"
"IMPERMEABILIZACION PROTECCION Y LIMPIEZA, SL","Mejorar la empleabilidad de las personas desempleadas","376,59"
"IMPERMEABILIZACION SANITARIOS Y CONSTRUCCION SL","Mejorar la empleabilidad de las personas desempleadas","2440,65"
"IMPERMEABILIZACION Y MONTAJES EXTREMENOS, SL","Mejorar la empleabilidad de las personas desempleadas","108,85"
"IMPERMEABILIZACIONES BALEAR, S.L.","Mejorar la empleabilidad de las personas desempleadas","1093,24"
"IMPERMEABILIZACIONES BILKO, SL","Mejorar la empleabilidad de las personas desempleadas","1893,33"
"IMPERMEABILIZACIONES CAMPOY SL","Mejorar la empleabilidad de las personas desempleadas","958,49"
"IMPERMEABILIZACIONES CGI 2060, S.L.","Mejorar la empleabilidad de las personas desempleadas","806,63"
"IMPERMEABILIZACIONES ESTRELLA, SL","Mejorar la empleabilidad de las personas desempleadas","393,24"
"IMPERMEABILIZACIONES FEGARVI, S.L.","Mejorar la empleabilidad de las personas desempleadas","400,02"
"IMPERMEABILIZACIONES HICHAM SL","Mejorar la empleabilidad de las personas desempleadas","250,01"
"IMPERMEABILIZACIONES IMPALAG SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMPERMEABILIZACIONES IMPERDAN SL","Mejorar la empleabilidad de las personas desempleadas","937,31"
"IMPERMEABILIZACIONES INMAR,S.L.","Mejorar la empleabilidad de las personas desempleadas","1184,51"
"IMPERMEABILIZACIONES ISFATEC SL","Mejorar la empleabilidad de las personas desempleadas","767,33"
"IMPERMEABILIZACIONES J. M. DEL CASTILLO SL","Mejorar la empleabilidad de las personas desempleadas","106,23"
"IMPERMEABILIZACIONES LAS VINAS SL","Mejorar la empleabilidad de las personas desempleadas","942,26"
"IMPERMEABILIZACIONES LOPEZ BAEZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","275,56"
"IMPERMEABILIZACIONES MOLINA, SL","Mejorar la empleabilidad de las personas desempleadas","896,57"
"IMPERMEABILIZACIONES PAROD S.L.","Mejorar la empleabilidad de las personas desempleadas","62,16"
"IMPERMEABILIZACIONES PEVIMA S.L.","Mejorar la empleabilidad de las personas desempleadas","51,06"
"IMPERMEABILIZACIONES RAMAJO SL","Mejorar la empleabilidad de las personas desempleadas","342,16"
"IMPERMEABILIZACIONES SINASFAL 2000 SA","Mejorar la empleabilidad de las personas desempleadas",390
"IMPERMEABILIZACIONES TECNICAS LA CALA,S.L.","Mejorar la empleabilidad de las personas desempleadas","483,19"
"IMPERMEABILIZACIONES VILLAFRANCA S.L.","Mejorar la empleabilidad de las personas desempleadas","451,13"
"IMPERMEABILIZACIONES Y AISLAMIENTOS AISTER SL","Mejorar la empleabilidad de las personas desempleadas","76,59"
"IMPERMEABILIZACIONES Y AISLAMIENTOS GOTEK SL","Mejorar la empleabilidad de las personas desempleadas","708,3"
"IMPERMEABILIZACIONES Y AISLAMIENTOS SOANCA, SL","Mejorar la empleabilidad de las personas desempleadas","1184,38"
"IMPERMEABILIZACIONES Y PAVIMENTOS JUMAR SL","Mejorar la empleabilidad de las personas desempleadas",800
"IMPERMEABILIZACIONES Y REFORMAS ASTURIANAS SL","Mejorar la empleabilidad de las personas desempleadas","1666,6"
"IMPERMEABILIZACIONES Y REHABILITACIONES LOS SANABRIA, S","Mejorar la empleabilidad de las personas desempleadas","22,23"
"IMPERMEABILIZANTES MANUEL ANDRES PEREZ SA","Mejorar la empleabilidad de las personas desempleadas","5348,86"
"IMPERMEALIBILIZACION,REHABILITACION Y SERVICIOS APLICAD","Mejorar la empleabilidad de las personas desempleadas","1323,32"
"IMPERMECO J RUBIO SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMPERNOVA SERVICIOS INTEGRALES, SL","Mejorar la empleabilidad de las personas desempleadas","1064,43"
"IMPERPAVIMENTOS EXTREMENOS S.L.","Mejorar la empleabilidad de las personas desempleadas","386,63"
"IMPERPLASTIC SA","Mejorar la empleabilidad de las personas desempleadas","95,52"
"IMPERQUIMICA SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMPERREFUERZOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","333,3"
"IMPERTAU SL","Mejorar la empleabilidad de las personas desempleadas","497,71"
"IMPERTEX VALENCIA S.L","Mejorar la empleabilidad de las personas desempleadas","526,63"
"IMPERVEDRA SL","Mejorar la empleabilidad de las personas desempleadas","242,12"
"IMPETAX ASESORES SL","Mejorar la empleabilidad de las personas desempleadas","1345,77"
"IMPEX CONSULTING, S.L.U.","Mejorar la empleabilidad de las personas desempleadas","636,53"
"IMPEX EUROPA SL","Mejorar la empleabilidad de las personas desempleadas","139,27"
"IMPEX MEDRANO SL","Mejorar la empleabilidad de las personas desempleadas",400
